Romanian	Ligurian	probability
kʲ	ʤ	1.0
nʲ	ŋ	1.0
ˈau̯	ˈɔː	1.0
b	-	0.251
e	u	0.081
i	a	0.101
i	i	0.401
j	j	0.061
j	u	0.061
k	ɡ	0.301
l	l	0.591
o̯ˈa	ˈɔ	0.131
r	u	0.051
r	r	0.431
v	v	0.961
w	ŋ	0.081
w	ʧ	0.251
w	u	0.371
z	z	0.111
ʃ	ʒ	0.081
ˈi	ˈe	0.261
e	a	0.132
e̯ˈa	-	0.062
i	e	0.342
k	ʤ	0.062
m	ŋ	0.052
o	ɥ	0.202
p	v	0.092
u	w	0.302
ə	-	0.052
ɨ	-	0.672
ʃ	-	0.242
ʃ	ʃ	0.332
ˈe	ˈeː	0.22
ˈi	ˈi	0.262
ˈu	ˈyː	0.092
ˈu	ˈuː	0.102
e	-	0.393
e̯ˈa	ˈe	0.623
j	i	0.103
z	ʒ	0.213
ʒ	z	0.413
ʧ	-	0.193
ˈa	ˈa	0.163
ˈe	ˈe	0.483
ˈi	-	0.183
ˈi	ˈiː	0.183
ˈo	ˈø	0.103
a	ˈaː	0.114
a	a	0.594
d	d	0.924
e	e	0.364
f	f	0.914
j	ˈiː	0.054
k	k	0.524
l	-	0.364
o̯ˈa	ˈø	0.064
u	-	0.104
ŋ	z	0.194
ʧ	ʒ	0.234
ʧʲ	k	0.154
ˈa	ˈaː	0.454
ˈɨ	ˈaː	0.054
e̯ˈa	ˈa	0.065
o̯ˈa	ˈy	0.065
p	ʧ	0.055
r	j	0.085
r	-	0.425
w	ˈuː	0.095
w	v	0.095
z	w	0.055
ə	e	0.15
ɡ	ʤ	0.305
ɡ	ɡ	0.65
ʦ	s	0.215
ʧ	j	0.075
ʧ	s	0.455
ʧʲ	-	0.095
ʧʲ	ʃ	0.435
ˈa	ˈɛː	0.225
ˈo	ˈɔː	0.085
ˈo	w	0.165
k	-	0.056
o̯ˈa	ˈuː	0.316
t	t	0.626
ŋ	ŋ	0.806
ə	u	0.076
ʤ	-	0.276
ʦ	j	0.116
ʧʲ	ŋ	0.316
ˈa	-	0.066
ˈo	ˈyː	0.06
ˈo	ˈøː	0.276
ˈu	ˈu	0.486
ˈə	ˈi	0.626
i	ˈeː	0.157
j	-	0.457
m	m	0.777
u	ˈyː	0.127
w	v_u	0.107
z	d	0.577
ə	a	0.637
ʒ	ʤ	0.587
ʦ	ʒ	0.27
ˈo	ˈɔ	0.117
ˈo	-	0.147
ˈə	ˈe	0.187
ˈə	ˈɛ	0.187
ˈɨ	ˈa	0.747
j	l	0.148
n	ŋ	0.38
n	n	0.428
t	-	0.328
ʃ	s	0.328
ʤ	ʤ	0.058
ʤ	z	0.638
ˈu	ˈy	0.158
a	ˈɛ	0.279
b	b	0.649
e̯ˈa	ˈeː	0.249
f	b	0.059
m	-	0.129
n	-	0.09
n	ɲ	0.09
o	ɔː	0.229
o	u	0.529
o̯ˈa	ˈɔː	0.319
p	-	0.069
p	p	0.69
s	s	0.89
u	u	0.39
ɨ	a	0.109
ɨ	ˈa	0.219
ʦ	t	0.399
ˈe	-	0.169
ˈɨ	ˈe	0.199
