Upper Franconian	Upper Franconian	probability
β	-	1.0
ˈɛː	-	1.0
ˈɘ	-	1.0
ˈɒː	ˈɑː	1.0
ˈɒ_l	ˈœu̯	1.0
ˈɒ_f	ˈɑː_p	1.0
ˈuː_d̥	ˈoː	1.0
ˈaʊ̯	ˈœɪ̯	1.0
ˈa	ˈæː	1.0
ʦ	t	1.0
ɾ_ɐ	r	1.0
ɾ	d_ə	1.0
ɣ̊	-	1.0
ɡ̊_s	s	1.0
ɡ̊_r	χ_r	1.0
ɡ̊_n	k	1.0
ə	-	1.0
ŋ_a	ŋ	1.0
ç_d̥	χ	1.0
z̥_n	t	1.0
z̥	t	1.0
x_d̥	χ	1.0
v̥	p	1.0
v	v	1.0
t	t	1.0
s_ˈɪ	s_ˈə	1.0
r	r	1.0
n_a	n	1.0
l	ɫ	1.0
j	j	1.0
i	-	1.0
h	ɦ	1.0
f_#>	p_#>	1.0
f	v̥	1.0
eː	i_n	1.0
d̥_r	d_r	1.0
d̥_n	d̥	1.0
b̥͡v̥	p	1.0
b̥_#>	v̥_#>	1.0
b̥	b	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
m	m	0.897
ˈɒ	ˈa	0.833
a	-	0.818
s	s	0.743
ʃ	s	0.731
ˈʊ	ˈɔ	0.684
ˈiː	ˈi	0.636
ʃ_d̥	s_t	0.6
ˈɪ	ˈə	0.591
ɐ	r	0.581
n	n	0.564
#>	n_#>	0.55
ˈoː	ˈɑː	0.545
x	χ	0.545
ˈuː	ˈu	0.526
ɡ̊	k	0.515
ˈɔ	ˈɔ	0.5
ˈaɪ̯	ˈəɪ̯	0.5
ç	k	0.5
ɡ̊	χ	0.485
ŋ	ŋ	0.462
x	k	0.455
d̥	d̥	0.443
ˈeː	ˈɪə̯	0.4
ʃ_d̥	s	0.4
ˈaː	ˈɪə̯	0.389
ˈuː	ˈʊə̯	0.368
d̥	d	0.361
ˈaː	ˈʊə̯	0.333
ɐ	ə_r	0.326
n	-	0.309
ŋ	χ	0.308
ˈeː	ˈʊə̯	0.3
ˈeː	-	0.3
ç	χ	0.3
ˈaː	ˈəɪ̯	0.278
ˈoː	ˈa	0.273
ʃ	s_k	0.269
s	t	0.257
ŋ	-	0.231
ˈʊ	-	0.211
ˈɛ	ˈɪə̯	0.2
ˈɛ	ˈɛ	0.2
ˈɛ	ˈɑː	0.2
ˈɛ	ˈæ	0.2
ç	ŋ	0.2
ˈɪ	ˈœ	0.182
a	n	0.182
ˈɔ	ˈʊə̯_r	0.167
ˈaɪ̯	ˈœɪ̯	0.15
ˈaɪ̯	ˈi	0.15
#>	v̥_#>	0.15
ˈɪ	-	0.136
ˈiː	ˈə	0.136
ˈiː	ˈu	0.136
d̥	t	0.115
ˈɔ	ˈʊə̯	0.111
ˈɔ	ˈa	0.111
ˈɔ	-	0.111
ˈʊ	ˈœ	0.105
ˈuː	-	0.105
m	-	0.103
ˈɛ	ˈæː	0.1
ˈɛ	ˈa	0.1
ˈaɪ̯	ˈə	0.1
ˈaɪ̯	ˈyː	0.1
#>	r_#>	0.1
#>	k_#>	0.1
#>	j_#>	0.1
ɐ	ə	0.093
ˈɪ	ˈɛ	0.091
ˈoː	ˈɪø̯	0.091
ˈoː	-	0.091
ˈiː	-	0.091
ˈɒ	ˈɑː	0.083
ˈɒ	-	0.083
d̥	-	0.082
n	n_d	0.073
n	ŋ	0.055
