Danish	Bokmål Norwegian	probability
b̥	b	0.824
b̥	p	0.176
d̥	d	1.0
e	ɪ	1.0
f	f	1.0
h	h	1.0
i	i	1.0
j	j	0.639
j	k	0.176
j	-	0.141
jˀ	ˈæɪ̯	1.0
k	k	0.551
k	ʃ	0.309
k	kː	0.14
kʰ	kʰ	0.605
kʰ	ɕ	0.395
l	l	0.911
l	lː	0.089
lˀ	lː	0.611
lˀ	l	0.297
lˀ	ɾ	0.092
m	m	0.792
m	mː	0.208
mˀ	m	0.906
mˀ	mː	0.094
n	n	0.76
n	nː	0.217
nˀ	nː	0.965
p	p	0.825
p	pː	0.175
pʰ	pʰ	1.0
s	s	0.883
s	-	0.063
t	tː	0.46
t	t	0.453
t	ʈ	0.059
w	ʋ	0.588
w	ɡ	0.292
w	ə	0.081
wˀ	ʋ	1.0
ð̞ˠ	t	0.493
ð̞ˠ	d	0.222
ð̞ˠ	tː	0.187
ð̞ˠ	-	0.098
ŋ	ŋː	0.523
ŋ	ŋ	0.477
ŋˀ	ŋː	1.0
ɐ	ɾ	0.823
ɐ	ə_ɾ	0.105
ɐ	-	0.071
ɐˀ	ɾ	1.0
ə	ə	0.95
ə	-	0.05
ɡ̊	ɡː	0.384
ɡ̊	ɡ	0.316
ɡ̊	j	0.252
ʁ	ɾ	1.0
ʋ	ʋ	0.982
ʌ	ə	0.78
ʌ	ɾ_ə	0.22
ʦʰ	tʰ	0.92
ʦʰ	ɕ	0.08
ʨ	tʰ	1.0
ˈa	ˈɑ	0.82
ˈa	ˈɑː	0.103
ˈa	ˈɛ	0.077
ˈaː	ˈɑː	1.0
ˈe	ˈɪ	0.698
ˈe	ˈɛ	0.235
ˈeˀ	ˈæɪ̯	0.401
ˈeˀ	ˈeː	0.337
ˈeˀ	ˈɛ	0.126
ˈeˀ	ˈøː	0.098
ˈeː	ˈeː	0.5
ˈeː	ˈɛ	0.5
ˈi	ˈɪ	0.668
ˈi	ˈyː	0.332
ˈiˀ	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈo	ˈuː	0.856
ˈo	ˈɑ	0.113
ˈoˀ	ˈuː	0.888
ˈoˀ	ˈʉː	0.059
ˈoˀ	ˈɔ	0.052
ˈoː	ˈɔ	0.368
ˈoː	ˈuː	0.32
ˈoː	ˈɪ	0.312
ˈu	ˈʉ	0.952
ˈuˀ	ˈʉː	1.0
ˈuː	ˈʉː	0.89
ˈuː	ˈʉ	0.11
ˈy	ˈʏ	0.885
ˈy	ˈʉ	0.115
ˈyˀ	ˈyː	0.941
ˈyˀ	ˈʉː	0.059
ˈyː	ˈyː	0.908
ˈyː	ˈʉː	0.092
ˈæ	ˈæː	0.551
ˈæ	ˈɑ	0.341
ˈæ	ˈɛ	0.108
ˈæˀ	ˈɑː	1.0
ˈæː	ˈɑː	1.0
ˈø	ˈʏ	0.948
ˈø	ˈœ	0.052
ˈøˀ	ˈøː	1.0
ˈøː	ˈøː	1.0
ˈœ	ˈœ	0.706
ˈœ	ˈʏ	0.294
ˈœˀ	ˈœ	0.583
ˈœˀ	ˈøː	0.417
ˈœː	ˈøː	1.0
ˈɑ	ˈɑ	0.327
ˈɑ	-	0.279
ˈɑ	ˈɛ	0.17
ˈɑ	ˈæ	0.116
ˈɑ	ˈæɪ̯	0.109
ˈɑˀ	ˈæɪ̯	0.5
ˈɑˀ	ˈɑː	0.327
ˈɑˀ	ˈɑ	0.174
ˈɑː	ˈɑː	1.0
ˈɒ	ˈoː	0.675
ˈɒ	ˈɔ	0.325
ˈɒˀ	ˈoː	0.848
ˈɒˀ	ˈuː	0.152
ˈɒː	ˈoː	1.0
ˈɔ	ˈʉ	1.0
ˈɔˀ	ˈoː	0.889
ˈɔˀ	ˈɔ	0.111
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.582
ˈɛ	ˈɑ	0.325
ˈɛ	-	0.063
ˈɛˀ	ˈæː	0.486
ˈɛˀ	ˈeː	0.332
ˈɛˀ	ˈɑː	0.097
ˈɛˀ	ˈɛ	0.085
ˈɛː	ˈɑː	0.501
ˈɛː	ˈeː	0.499
ˈɶ	ˈœ	0.675
ˈɶ	ˈuː	0.325
ˈɶˀ	ˈœ	1.0
ˈʌ	ˈɔ	0.432
ˈʌ	ˈʊ	0.231
ˈʌ	ˈɑ	0.131
ˈʌ	ˈuː	0.12
ˈʌ	ˈøː	0.069
ˈʌˀ	ˈøː	0.5
ˈʌˀ	ˈœʏ̯	0.5
