Auvergnat	Auvergnat	probability
ˈɪ_j	e	1.0
ˈɛ	ˈɛ	1.0
ˈɔ̃	-	1.0
ˈɔ_ʀ	r_t	1.0
ˈỹ	ˈu	1.0
ˈũ	ˈo	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈã	ˈa	1.0
ˈa_#>	ˈe_#>	1.0
ʒ	ʒ	1.0
ʃ	ʨ	1.0
ɪ	s	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ_#>	n_#>	1.0
z	-	1.0
y	j	1.0
w_ˈɔ̃	ˈo	1.0
w_ˈɔ	ˈɔ	1.0
w_ʀ	v	1.0
w_t	ˈo_s	1.0
w_b	l_b	1.0
vʲ	v	1.0
v_ˈa	v_ˈa	1.0
pʲ	p_ˈe	1.0
p	p	1.0
m	m	1.0
lː	ʒ_o	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ʀ	ˈe	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	e	1.0
dʲ	d	1.0
d_ɔ	t_a	1.0
d	d	1.0
ã	a	1.0
a	a	1.0
<#_ʤ	<#_ʒ	1.0
<#_ʀ	<#_r	1.0
<#_ɪ	<#_ʃ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ʒ	1.0
ɔ	a	0.944
ɒ	a	0.867
l	l	0.833
ʀ	r	0.83
ə_#>	#>	0.824
n	n	0.824
v	v	0.8
ʀ_ə	e_r	0.778
ˈy	ˈu	0.75
u	o	0.75
t	t	0.75
ə	e	0.722
b	b	0.722
ɲ	ɲ	0.714
w_#>	f_#>	0.714
s_#>	ʃ_#>	0.714
ˈẽ	ˈɛ	0.7
ˈe_j	ˈɛ	0.7
ˈœ	w_ˈɛ	0.667
s	s	0.595
ˈe	ˈɛ	0.552
ʧ	ʨ	0.542
ˈa	ˈa	0.525
ˈɪ̃	ˈɛ	0.5
ˈɪ̃	ˈe	0.5
ˈɔ	ˈɛ	0.5
ˈu	ˈo	0.476
ˈɪ	ˈe	0.471
ʤ	j	0.429
ˈɪ	ˈe_j	0.412
ŋ	n	0.391
ʎ	d_l	0.389
#>	t_#>	0.353
ˈœ	w	0.333
j	j	0.333
w	ˈɔ	0.31
w	w	0.31
ŋ	ŋ	0.304
ŋ	n_t	0.304
ˈɔ	-	0.3
ˈẽ	-	0.3
ˈe_j	ˈa	0.3
ˈu	ˈo_w	0.286
ʤ	ʥ	0.286
ʤ	-	0.286
ɲ	-	0.286
w_#>	#>	0.286
s_#>	ʨ_#>	0.286
ʎ	l	0.278
ˈy	-	0.25
u	u	0.25
t	s_t	0.25
ʀ_ə	e	0.222
j	ˈɛ	0.222
j	e	0.222
j	-	0.222
ˈɔ	ˈu	0.2
ˈa	ˈɛ	0.2
v	ɡ	0.2
ə_#>	j_#>	0.176
n	n_ˈe	0.176
#>	ʃ_#>	0.176
#>	w_r_#>	0.176
#>	n_#>	0.176
w	ˈo	0.172
ʎ	j	0.167
ʎ	-	0.167
ə	j	0.167
l	-	0.167
b	-	0.167
ˈu	-	0.143
ˈe	j_ˈɛ	0.138
ˈe	j	0.138
ɒ	e	0.133
ʧ	k	0.125
s	ʧ	0.119
ˈɪ	j	0.118
#>	ʦ_#>	0.118
ə	ˈe	0.111
b	v	0.111
ˈe	-	0.103
w	ˈɛ	0.103
w	-	0.103
ˈa	w	0.1
ˈu	o	0.095
s	ʨ	0.095
s	ʦ	0.095
ʧ	ʥ	0.083
ʧ	ʃ_ʨ	0.083
ʧ	t	0.083
ʧ	-	0.083
ˈa	-	0.075
ˈe	ˈe	0.069
ʀ	ˈe	0.064
ʀ	-	0.064
ɔ	-	0.056
