Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʒ	ʧ	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʁ_i	ɾ_ˈe	1.0
ɲ	ɲ	1.0
ɛɪ̯	ˈe_s	1.0
ɑ	-	1.0
œ_v	a_β	1.0
øʏ̯	ˈe_ɣ	1.0
æɛ̯_ʁ	e_ɾ	1.0
w_ɛ	ˈe	1.0
v_ʁ	β_ɾ	1.0
t_#>	t_a_#>	1.0
p	p	1.0
o	s	1.0
m	m	1.0
k_ʁ	k_ɾ	1.0
j_#>	ʎ_a_#>	1.0
i_ʁ	ˈi_ɾ	1.0
aœ̯	ˈo	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
f	f	0.846
l	l	0.788
d	d	0.778
k	k	0.762
y	ˈu	0.75
v	b	0.727
ɑɔ̯	w	0.714
ʁ	ɾ	0.71
ɪ	ˈi	0.688
ɥ	ˈu	0.667
t	t	0.643
ʃ	k	0.636
ɛ	ˈe	0.632
a	a	0.611
ɡ	ɡ	0.6
z	-	0.6
b	b	0.6
n	n_a	0.571
ɔ	w_ˈe	0.556
#>	o_#>	0.545
s	θ	0.522
e	ˈa_ɾ	0.522
œ	w_ˈe	0.467
ɔ	-	0.444
oʊ̯	j_ˈe	0.444
ɛ_#>	θ_#>	0.429
w	ˈe	0.421
ɒ̃ʊ̯̃	ˈo_n	0.417
ɡ	ɣ	0.4
œ	e	0.4
z	a	0.4
a	ˈa	0.389
ɥ	w	0.333
æɛ̯	ˈa	0.333
oʊ̯	ˈa_l	0.333
n	n	0.333
u	ˈo	0.312
ɛ_#>	ð_o_#>	0.286
ɛ_#>	#>	0.286
ɑɔ̯	o	0.286
ʃ	k_a	0.273
i	ˈi	0.267
b	β	0.267
#>	a_#>	0.256
ɒ̃ʊ̯̃	ˈe_n	0.25
y	-	0.25
u	o	0.25
ẽɪ̯̃	ˈa_n	0.25
ã	ˈe_n	0.25
ã	ˈa_n	0.25
j	ʎ	0.235
j	j_ˈe	0.235
j	j	0.235
oʊ̯	ˈo	0.222
d	ʝ	0.222
s	s	0.217
e	-	0.217
t	s_t	0.214
w	e	0.211
i	ˈe	0.2
ẽɪ̯̃	ˈi_n	0.2
æɛ̯	ˈe	0.194
ɪ	j	0.188
u	ˈu	0.188
v	β	0.182
j	ˈe	0.176
s	-	0.174
ɒ̃ʊ̯̃	n	0.167
ɒ̃ʊ̯̃	-	0.167
ɛ	ˈa	0.158
w	ˈu	0.158
ẽɪ̯̃	ɲ_o	0.15
ẽɪ̯̃	ŋ	0.15
ẽɪ̯̃	n	0.15
t	ʃ	0.143
k	k_w	0.143
œ	i	0.133
i	ˈi_ɣ	0.133
i	ˈe_j	0.133
i	j_t	0.133
i	i	0.133
b	b_w	0.133
ʁ	ˈe_ɾ	0.129
ɪ	-	0.125
u	ˈu_ʎ	0.125
u	u	0.125
ã	ˈa_ŋ	0.125
ã	ˈa	0.125
ã	n	0.125
ã	e_n	0.125
#>	e_#>	0.124
j	-	0.118
æɛ̯	ˈa_j	0.111
æɛ̯	j	0.111
ɛ	t_ˈa	0.105
ɛ	j	0.105
w	ˈu_n	0.105
w	e_ʝ	0.105
ẽɪ̯̃	t_o	0.1
n	n_w	0.095
k	ɡ	0.095
ʃ	-	0.091
v	-	0.091
l	l_ˈe	0.091
s	ʃ_a	0.087
e	ˈa_s	0.087
e	ˈa	0.087
e	ɾ	0.087
æɛ̯	j_ˈe	0.083
f	β_o	0.077
f	-	0.077
l	ʎ_a	0.061
l	ʎ	0.061
æɛ̯	ˈe_j	0.056
æɛ̯	a_ð	0.056
æɛ̯	a	0.056
