Brazilian Portuguese	Romanian	probability
a	ˈa	0.334
a	a	0.227
a	ə	0.134
a	-	0.109
a	ˈə	0.106
a	e	0.09
b	b	0.526
b	p	0.259
b	-	0.179
d	t	0.563
d	d	0.3
d	z	0.105
e	-	0.442
e	ə	0.168
e	i	0.111
e	o̯ˈa	0.098
e	ˈi	0.08
e	a	0.055
ẽ	r	0.489
ẽ	-	0.256
ẽ	i	0.205
f	f	0.97
h	-	0.81
h	d	0.172
i	e	0.7
i	-	0.092
i	ə	0.091
i	i	0.061
ĩ	j	0.644
ĩ	i	0.356
j	p	0.451
j	-	0.337
j	w	0.113
j	e	0.056
j̃	n	0.282
j̃	m_n	0.188
j̃	n_e	0.181
j̃	j	0.124
j̃	-	0.109
k	k	0.809
k	ʧ	0.098
l	l	0.733
l	-	0.106
l	ˈə	0.088
l	e̯ˈa	0.061
m	m	0.815
m	-	0.115
m	m_j	0.07
n	n	0.978
o	u	0.496
o	o	0.192
o	e	0.147
o	o̯ˈa	0.101
o	-	0.065
õ	u	1.0
p	p	0.849
p	p_j	0.112
s	ʃ	0.33
s	s	0.324
s	ʧ	0.217
s	r_s	0.055
t	t	0.703
t	n_t	0.093
t	-	0.092
t	ʦ	0.081
u	-	0.619
u	u	0.1
u	ə	0.08
u	e	0.069
u	ˈi	0.062
ũ	u	1.0
v	v	0.454
v	-	0.421
v	p	0.059
w	-	0.247
w	l	0.181
w	w	0.157
w	u	0.112
w	e	0.081
w	r	0.07
w	i	0.067
w	r_e	0.058
w̃	n_e	0.445
w̃	-	0.225
w̃	n	0.112
w̃	t	0.109
w̃	w	0.109
z	ʧ	0.566
z	s	0.183
z	ʦ	0.183
z	ʃ	0.069
ɐ	ə	0.601
ɐ	e	0.161
ɐ	-	0.143
ɐ	a	0.05
ɐ̃	u	1.0
ɡ	k	0.492
ɡ	ɡ	0.353
ɡ	b	0.054
ɦ	r	1.0
ɾ	r	0.718
ɾ	-	0.231
ɾ	ˈe	0.051
ʃ	s	0.397
ʃ	-	0.283
ʃ	k	0.119
ʃ	ʃ	0.097
ʃ	p	0.051
ʎ	j	0.358
ʎ	k	0.221
ʎ	w	0.192
ʎ	n	0.191
ʒ	ʤ	0.452
ʒ	ʒ	0.348
ʒ	n_ʤ	0.158
ʤ	z	0.489
ʤ	t	0.29
ʤ	-	0.11
ʤ	d	0.11
ʧ	t	0.442
ʧ	n_t	0.246
ʧ	ʦ	0.229
ʧ	r_t	0.083
ˈa	ˈa	0.746
ˈa	t_ˈi	0.088
ˈe	ˈe	0.504
ˈe	-	0.152
ˈe	ˈa	0.113
ˈe	e̯ˈa	0.1
ˈe	ˈe_ʤ	0.061
ˈẽ	ˈi	0.44
ˈẽ	ˈa	0.188
ˈẽ	ˈe	0.139
ˈẽ	ˈɨ_n	0.096
ˈi	ˈi	0.713
ˈi	-	0.133
ˈi	i	0.078
ˈĩ	ˈi	0.496
ˈĩ	j	0.343
ˈĩ	ˈu	0.161
ˈo	ˈo	0.562
ˈo	ˈu	0.2
ˈo	o̯ˈa	0.103
ˈo	ˈa	0.074
ˈõ	ˈu	0.471
ˈõ	o̯ˈa_m	0.285
ˈõ	ˈu_n	0.16
ˈõ	ə	0.073
ˈu	ˈu	0.623
ˈu	ˈu_r	0.125
ˈu	ˈo	0.088
ˈu	u	0.059
ˈu	j	0.053
ˈu	-	0.052
ˈũ	ˈu	0.923
ˈũ	ˈu_n	0.077
ˈɐ̃	ˈɨ	0.555
ˈɐ̃	ˈa	0.212
ˈɐ̃	-	0.168
ˈɐ̃	j	0.066
ˈɔ	ˈo	0.39
ˈɔ	ˈu	0.268
ˈɔ	o̯ˈa	0.267
ˈɔ	u	0.075
ˈɛ	j_ˈe	0.195
ˈɛ	e̯ˈa	0.19
ˈɛ	ˈa	0.169
ˈɛ	j	0.141
ˈɛ	j_ˈa	0.126
ˈɛ	-	0.095
ˈɛ	ˈe	0.06
