Friulian	Friulian	probability
ˈɛ_ŋ	ˈẽ	1.0
ˈɛ_l	ˈa	1.0
ˈɔː	-	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈoː_s	w_ˈɛ	1.0
ˈo_ŋ	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_ŋ	ˈẽ	1.0
ˈi_n	ˈɛ̃	1.0
ˈi_l	ˈɛ_j	1.0
ˈi_#>	ˈi_#>	1.0
ˈeː_t	w_ˈɛ	1.0
ˈeː	-	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_#>	w_ˈɛ_#>	1.0
ˈaː_s	ˈɛ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_r	ˈɛ_ʀ	1.0
ˈa_d	ˈɛː	1.0
ʤ	ʤ	1.0
ɡ_e	w	1.0
ɟ	-	1.0
ŋ	ˈɛ̃	1.0
z	-	1.0
w_ˈɛ	ˈɔ	1.0
w_ˈi	ˈuː	1.0
w_ˈa	w_ˈa	1.0
w	-	1.0
u	-	1.0
t_r	t	1.0
s_t	s	1.0
s_i	ʃ	1.0
s_#>	#>	1.0
r_t	ʀ	1.0
r_#>	#>	1.0
o_n	ɔ̃	1.0
n_e	n	1.0
l_e_#>	l_#>	1.0
l_e	j	1.0
l_#>	#>	1.0
k_#>	#>	1.0
j_ˈu	ˈœ̃	1.0
j_u	ɛː	1.0
j_e	j	1.0
i_ŋ	ẽ	1.0
f_#>	#>	1.0
f	f	1.0
e_#>	#>	1.0
d_ˈu	t_ˈɔ	1.0
a_v	f	1.0
<#_ɲ	<#_n	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
p	p	0.935
k	k	0.92
c	ʧ	0.895
m	m	0.857
v	v	0.839
b	b	0.824
ɲ	ɲ	0.8
r	ʀ	0.78
ˈoː	ˈøː	0.714
s	s	0.706
ˈiː	ˈi	0.7
l	l	0.696
d	d	0.619
ˈɔ	-	0.6
ˈa_n	ˈɑ̃	0.6
j	j	0.6
o	ɔ	0.571
i_#>	#>	0.571
t	-	0.564
ˈaː	ˈe	0.542
ˈuː	ˈøː	0.5
ˈuː	ˈuː	0.5
ˈu	ˈy	0.5
ˈu	ˈu	0.5
ˈa_l	ˈɔː	0.5
ˈa_l	ˈoː	0.5
ɡ	ɡ	0.5
n	-	0.5
i	-	0.5
a	a	0.5
<#	<#_ʤ	0.5
<#	<#_a	0.5
ˈe	-	0.471
ʧ	s	0.471
ˈɛ	-	0.444
ˈo	-	0.444
ˈi	ˈiː	0.429
o	-	0.429
i_#>	ʀ_#>	0.429
ˈe	ˈɛ	0.412
ʧ	-	0.412
ˈɔ	ˈɔ	0.4
ˈa_n	ˈɛ̃	0.4
ˈo	ˈɔ	0.389
a	-	0.389
t	t	0.385
e	-	0.381
d	-	0.381
ˈɛ	j	0.333
j_ˈɛ	ˈɛ	0.333
j_ˈɛ	ˈiː	0.333
j_ˈɛ	j_ˈɛ	0.333
ˈa	ˈa	0.308
ˈiː	ˈiː	0.3
n	ˈɛ̃	0.3
s	ʃ	0.294
ˈaː	ˈiː	0.292
ˈoː	ˈɔ	0.286
ˈi	ˈɛ	0.286
ɡ	-	0.286
e	j	0.286
#>	n_#>	0.286
j	-	0.267
ˈɛ	ˈɛː	0.222
i	i	0.222
r	-	0.22
l	-	0.217
ɡ	k	0.214
#>	ˈa_#>	0.214
#>	ʀ_#>	0.214
ɲ	n	0.2
n	n	0.2
ˈa	ˈɔː	0.192
ˈa	-	0.192
b	-	0.176
ˈo	ˈuː	0.167
ˈaː	-	0.167
i	ɛ	0.167
v	-	0.161
ˈi	j	0.143
ˈi	-	0.143
m	-	0.143
e	f	0.143
#>	j_#>	0.143
#>	f_#>	0.143
j	ˈɛ	0.133
ˈe	w	0.118
ʧ	ʒ	0.118
ˈa	ˈɛ	0.115
ˈa	w	0.115
i	ˈe	0.111
a	ɑ̃	0.111
c	-	0.105
e	w	0.095
e	n	0.095
l	ˈa	0.087
k	-	0.08
ˈa	ˈoː	0.077
p	-	0.065
t	s	0.051
