Bellunese	Bellunese	probability
θ_a	s_ɔ	1.0
θ	s	1.0
ˈɛ_r	ˈe_ʀ	1.0
ˈɔ_t	ˈœ_j	1.0
ˈo_r_#>	ˈu_#>	1.0
ˈi_r	ˈi	1.0
ˈi_o	ˈɪ_w	1.0
ˈe_l	ˈa_l	1.0
ˈa_r	ˈa	1.0
ʧ_o	ʎ	1.0
ʧ	k_l	1.0
ʤ	ʎ	1.0
ɲ	ɲ	1.0
ɡ_ˈa	ə	1.0
ð	ʤ	1.0
w	-	1.0
v_e	w	1.0
u	-	1.0
t_#>	#>	1.0
s_t	t	1.0
s_#>	#>	1.0
r_ˈe	ʀ_ˈɪ	1.0
r_t	ˈɔ_ʀ	1.0
r_o	ʀ	1.0
r_#>	#>	1.0
p	p	1.0
o_s	y	1.0
m_j	mʲ	1.0
j_ˈe	ˈe	1.0
e_#>	#>	1.0
d_e	j	1.0
b	b	1.0
<#_ˈe	<#_ˈɪ	1.0
<#_ɡ	<#	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈa	1.0
m	m	0.909
ŋ	ŋ	0.812
ɡ	ɡ	0.8
d	d	0.773
a	ɔ	0.768
s	s	0.75
l_#>	l_#>	0.75
f	f	0.737
t	t	0.722
z	-	0.714
ˈɛ	ˈe	0.667
<#_θ	<#_s	0.667
ˈi	ˈi	0.643
e	ə	0.632
r	ʀ	0.622
e_r	e	0.6
n	n	0.583
i	-	0.571
ˈu	ˈy	0.556
v	v	0.545
ˈa	ˈa	0.526
k	k	0.515
ɡ_o	ˈɔ_k	0.5
ɡ_o	k	0.5
l	l	0.5
k	ʧ	0.485
ˈe	ˈɪ	0.478
#>	ɔ_#>	0.467
ˈɔ	w	0.462
j	l	0.462
e_r	ʀ	0.4
ˈɔ	w_ˈɔ	0.385
j	ʎ	0.385
o	-	0.379
ˈo	ˈu	0.375
ˈi	ˈĩ	0.357
ˈu	ˈu	0.333
<#_θ	<#	0.333
ˈa	ˈã	0.316
i	i	0.286
ˈo	w	0.281
o	u	0.276
#>	ə_#>	0.267
n	ŋ	0.25
l_#>	#>	0.25
l	ʎ	0.25
l	-	0.25
ˈɛ	-	0.238
ˈe	ˈẽ	0.217
o	ə	0.207
ɡ	k	0.2
r	ʀ_ə	0.2
v	vʲ	0.182
s	ɪ	0.179
t	-	0.167
n	-	0.167
a	ɒ	0.161
ˈa	ˈe_j	0.158
f	fʲ	0.158
e	-	0.158
ˈɔ	ˈu	0.154
j	-	0.154
z	ʒ	0.143
z	ɡʲ	0.143
i	ĩ	0.143
v	b	0.136
v	-	0.136
d	dʲ	0.136
#>	s_#>	0.133
#>	j_#>	0.133
ˈe	ˈɪ̃	0.13
ˈo	w_ˈɔ̃	0.125
ˈu	ˈỹ	0.111
t	ʧ	0.111
f	-	0.105
e	ɒ	0.105
e	j	0.105
o	ˈu	0.103
ˈɛ	ˈɛ	0.095
ˈo	ˈœ	0.094
m	-	0.091
d	-	0.091
ˈe	ˈe	0.087
ˈe	ʀ	0.087
s	-	0.071
ˈo	ˈũ	0.062
ˈo	-	0.062
ŋ	n	0.062
ŋ	m	0.062
ŋ	-	0.062
