Swabian	Westphalian	probability
a	n	0.889
a	m	0.052
b	b	0.631
b	v	0.296
b̥͡f	p	1.0
d	d	0.646
d	t	0.254
d	-	0.099
e	ə	0.78
e	ɐ	0.22
eə̯	aɪ̯	1.0
f	f	0.683
f	p	0.253
h	h	0.957
j	j	1.0
kʰ	k	1.0
l	l	0.992
m	m	0.924
m	v	0.076
n	n	0.985
s	s	0.575
s	t	0.337
s	z	0.074
t	d	1.0
x	x	0.527
x	k	0.368
x	ç	0.104
ç	k	0.778
ç	ç	0.222
ŋ	ŋ	0.945
ŋ	-	0.055
ɡ	x	0.367
ɡ	ɡ	0.184
ɡ	ç	0.146
ɡ	ŋ	0.131
ɡ	k	0.112
ɪ	ɪ	1.0
ʁ	r	0.879
ʁ	-	0.075
ʃ	ʃ	0.809
ʃ	s	0.191
ʋ	v	0.724
ʋ	ʋ	0.218
ʋ	-	0.058
ʌ	ɐ	0.934
ʌ	-	0.066
ʕ	-	1.0
ʣ	t	1.0
ʦ	t	1.0
ˈa	ˈa	0.645
ˈa	ˈaː	0.104
ˈa	ˈɔ	0.086
ˈa	ˈɛ	0.082
ˈae̯	ˈaɪ̯	0.271
ˈae̯	ˈɪə̯	0.178
ˈae̯	ˈeː	0.177
ˈae̯	ˈø	0.109
ˈae̯	ˈiː	0.1
ˈae̯	ˈuː	0.083
ˈao̯	ˈuː	0.366
ˈao̯	ˈaʊ̯	0.351
ˈao̯	ˈʊ	0.248
ˈaː	ˈa	0.372
ˈaː	ˈaː	0.194
ˈaː	ˈɒː	0.113
ˈaː	ˈɛ	0.108
ˈaː	ˈɛː	0.079
ˈaː	ˈɔː	0.074
ˈaː	ˈaʊ̯	0.06
ˈe	ˈɪ	0.751
ˈe	ˈɛ	0.218
ˈeə̯	ˈaɪ̯	0.395
ˈeə̯	ˈøː	0.395
ˈeə̯	ˈɪɛ̯	0.211
ˈeː	ˈɪɛ̯	0.324
ˈeː	ˈiɛ̯	0.188
ˈeː	ˈɪ	0.177
ˈeː	ˈœː	0.118
ˈeː	ˈaɪ̯	0.1
ˈeː	ˈøː	0.094
ˈi	ˈɪ	0.631
ˈi	ˈiː	0.077
ˈi	ˈɛ	0.073
ˈi	ˈeː	0.059
ˈi	ˈɪɛ̯	0.053
ˈiə̯	ˈaɪ̯	0.643
ˈiə̯	ˈøː	0.357
ˈiː	ˈaɪ̯	0.37
ˈiː	ˈɪə̯	0.195
ˈiː	ˈiɛ̯	0.185
ˈiː	ˈøː	0.122
ˈiː	ˈɪ	0.072
ˈiː	ˈiː	0.055
ˈo	ˈʊ	0.711
ˈo	ˈɔː	0.167
ˈo	ˈuː	0.055
ˈoː	ˈaʊ̯	0.468
ˈoː	ˈɔː	0.258
ˈoː	ˈa	0.157
ˈoː	ˈuə̯	0.07
ˈu	ˈuːə̯	0.227
ˈu	ˈʏ	0.227
ˈu	ˈoː	0.147
ˈu	ˈuə̯	0.147
ˈu	ˈɔ	0.147
ˈu	ˈʊ	0.104
ˈuə̯	ˈoː	0.512
ˈuə̯	ˈøː	0.261
ˈuə̯	ˈaʊ̯	0.14
ˈuə̯	ˈuə̯	0.087
ˈuː	ˈoː	0.773
ˈuː	ˈuː	0.227
ˈɔ	ˈɔ	0.392
ˈɔ	ˈuːə̯	0.168
ˈɔ	ˈœː	0.168
ˈɔ	ˈuə̯	0.158
ˈɔ	ˈyː	0.114
ˈɔe̯	ˈeː	0.93
ˈɔe̯	ˈaɪ̯	0.07
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈɔː	0.782
ˈɔː	ˈa	0.128
ˈɔː	ˈɪə̯	0.09
ˈəi̯	ˈiː	0.643
ˈəi̯	ˈyː	0.218
ˈəi̯	ˈɪ	0.139
ˈɛ	ˈɛ	0.351
ˈɛ	ˈɪɛ̯	0.216
ˈɛ	ˈa	0.108
ˈɛ	ˈiː	0.078
ˈɛ	ˈɛː	0.077
ˈɛ	ˈɪ	0.065
ˈɛ	ˈø	0.059
ˈɛː	ˈœː	0.349
ˈɛː	ˈɛ	0.196
ˈɛː	ˈɛː	0.133
ˈɛː	ˈaɪ̯	0.12
ˈɛː	ˈɪə̯	0.12
ˈɛː	ˈɪɛ̯	0.082
ˈɪ	ˈɪ	0.715
ˈɪ	ˈʏ	0.285
ˈʌ	ˈɪɛ̯	1.0
