Swabian	Westphalian	probability
a	n	0.746
a	-	0.17
a	m	0.049
a	ə	0.041
b	b	0.665
b	v	0.149
b	f	0.123
b	p	0.052
b̥	p	0.241
b̥͡f	p	0.491
d	d	0.558
d	t	0.293
d	-	0.143
e	ə	0.74
e	ɐ	0.135
f	f	0.747
f	p	0.181
f	v	0.036
f	b	0.034
f	-	0.033
h	h	0.915
h	k	0.085
j	j	1.0
k	-	0.491
kʰ	k	1.0
l	l	0.974
l	-	0.032
m	m	0.898
m	v	0.055
m	-	0.053
n	n	0.949
n	-	0.051
p͡f	p	1.0
s	s	0.546
s	t	0.376
s	z	0.049
s	-	0.031
t	d	1.0
x	x	0.506
x	k	0.188
x	ç	0.184
ç	k	0.734
ç	ç	0.257
ŋ	ŋ	1.0
ɐ	n	0.241
ə	-	1.0
ɡ	x	0.465
ɡ	ç	0.14
ɡ	k	0.113
ɡ	ɡ	0.084
ɡ	ŋ	0.062
ɪ	ɪ	1.0
ʁ	r	0.871
ʁ	-	0.086
ʁ	z	0.043
ʃ	ʃ	0.569
ʃ	ʃ_k	0.217
ʃ	s	0.205
ʋ	w	0.892
ʋ	v	0.06
ʋ	-	0.051
ʌ	ɐ	0.925
ʌ	-	0.073
ʕ	-	1.0
ʦ	t	1.0
ˈa	ˈa	0.53
ˈa	ˈaː	0.215
ˈa	ˈɔ	0.134
ˈa	ˈɛ	0.065
ˈa	ˈɪ	0.05
ˈa_ʕ	ˈa	0.491
ˈae̯	ˈaɪ̯	0.259
ˈae̯	ˈuː	0.196
ˈae̯	ˈø	0.196
ˈae̯	ˈeː	0.127
ˈae̯	ˈɪə̯	0.127
ˈao̯	ˈuː	0.337
ˈao̯	ˈaʊ̯	0.318
ˈao̯	ˈʊ	0.223
ˈao̯	ˈɔ	0.1
ˈaː	ˈaː	0.215
ˈaː	ˈa_n	0.187
ˈaː	ˈaʊ̯	0.123
ˈaː	ˈa	0.094
ˈaː	ˈɛ	0.092
ˈe	ˈɪ	0.484
ˈe	ˈɛ	0.231
ˈe	ˈiɛ̯	0.175
ˈe	ˈɪɛ̯	0.08
ˈeə̯	ˈaɪ̯	0.361
ˈeə̯	ˈøː	0.361
ˈeə̯	ˈɪɛ̯	0.204
ˈeː	ˈɪɛ̯	0.266
ˈeː	ˈaɪ̯	0.231
ˈeː	ˈœː	0.175
ˈeː	ˈɪ	0.175
ˈeː	ˈøː	0.114
ˈi	ˈɪ	0.452
ˈi	ˈiː	0.143
ˈi	ˈeː	0.082
ˈi	ˈiə̯	0.082
ˈi	ˈɛ	0.082
ˈiə̯	ˈaɪ̯	0.562
ˈiə̯	ˈøː	0.416
ˈiː	ˈaɪ̯	0.192
ˈiː	ˈiː	0.192
ˈiː	ˈøː	0.192
ˈiː	ˈɪə̯	0.192
ˈo	ˈʊ	0.581
ˈo	ˈɔː	0.191
ˈo	ˈuː	0.11
ˈo	ˈʏ	0.11
ˈoː	ˈaʊ̯	0.482
ˈoː	ˈɔː	0.177
ˈoː	ˈuːə̯	0.117
ˈoː	ˈa	0.117
ˈoː	ˈuə̯	0.065
ˈu	ˈʏ	0.297
ˈu	ˈoː	0.182
ˈu	ˈuːə̯	0.182
ˈu	ˈɔ	0.182
ˈuə̯	ˈoː	0.654
ˈuə̯	ˈaʊ̯	0.137
ˈuə̯	ˈuə̯	0.137
ˈuː	ˈoː	0.372
ˈuː	ˈuː	0.183
ˈɔ	ˈɔ	0.367
ˈɔ	ˈuːə̯	0.242
ˈɔ	ˈœː	0.242
ˈɔ	ˈyː	0.096
ˈɔe̯	ˈeː	0.851
ˈɔe̯	ˈaɪ̯	0.148
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈɔː	0.668
ˈɔː	ˈa	0.151
ˈɔː	ˈɪə̯	0.093
ˈɔː_ʕ	ˈɔː	1.0
ˈəi̯	ˈiː	0.665
ˈəi̯	ˈyː	0.157
ˈəi̯	ˈɪ	0.13
ˈɛ	ˈɛ	0.392
ˈɛ	ˈa	0.203
ˈɛ	ˈɪɛ̯	0.191
ˈɛ	ˈiː	0.087
ˈɛ	ˈʏ	0.087
ˈɛ_ʕ	ˈɛː	1.0
ˈɛː	ˈaɪ̯	0.173
ˈɛː	ˈɛ	0.173
ˈɛː	ˈɛː	0.173
ˈɛː	ˈɪə̯	0.173
ˈɛː	ˈɪɛ̯	0.173
ˈɪ	ˈɪ	0.768
ˈɪ	ˈʏ	0.174
ˈʌ	ˈɪɛ̯	1.0
