Italian	Italian	probability
ˈu_tː	ˈo	1.0
ˈi_ʎː	ˈi	1.0
ʧː	-	1.0
ʧ	θ	1.0
ʦː	θ	1.0
ʤː	-	1.0
ʤ_e	e	1.0
ʎː	ʝ	1.0
ʃː_e	θ_ˈe	1.0
ɲː	ɲ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈɔ	ˈo	1.0
v_ˈe	b_ˈe	1.0
u	-	1.0
t_o	u	1.0
t_e	t_e	1.0
t_a	ð_a	1.0
s_o	s_u	1.0
s	s	1.0
rː	ˈe_r	1.0
r_ˈa	ɾ_ˈa	1.0
r_o	ɾ_u	1.0
r_n	ɾ_n	1.0
r_a	ɾ_a	1.0
p_r	β_ɾ	1.0
o_#>	#>	1.0
nː	ɲ	1.0
n_e	ŋ	1.0
mː	m	1.0
m	m	1.0
l_ˈe	ʎ_ˈe	1.0
l_t	ʧ	1.0
l_o	l_u	1.0
kː	k	1.0
k_j	ʎ	1.0
i_#>	s_#>	1.0
fː	f	1.0
f	f	1.0
e_r	ɾ	1.0
e_l	e_l	1.0
e_#>	#>	1.0
dː	-	1.0
b_ˈɛ	f_e	1.0
<#_ˈɔ	<#_ɡ_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_a	<#_a	1.0
<#	<#_ɡ	1.0
a	a	0.957
n	n	0.936
r	ɾ	0.932
ˈa	ˈa	0.917
ˈe	ˈe	0.913
k	k	0.878
w	w	0.846
ʤ	ʃ	0.833
o	u	0.833
ˈi	ˈi	0.828
p	p	0.825
ˈu	ˈu	0.773
b	b	0.765
ˈo	ˈo	0.758
e	e	0.721
t	t	0.688
ɡ	ɣ	0.667
r_ˈe	ɾ_ˈe	0.6
#>	s_#>	0.571
v	b	0.556
d	d	0.519
l	ʎ	0.514
tː	ʧ	0.5
tː	t	0.5
sː	ʃ	0.5
sː	s	0.5
kː_j	ˈe_ʝ	0.5
kː_j	ʝ	0.5
j	j	0.467
ˈɛ	ˈe	0.455
v	β	0.444
lː	ˈe_ʎ	0.429
#>	a_#>	0.429
ˈɔ	w_ˈe	0.419
r_ˈe	ɾ	0.4
l	l	0.4
i	e	0.375
ˈɛ	j_ˈe	0.364
ɡ	ɡ	0.333
i	i	0.312
i	-	0.312
d	-	0.296
ˈɔ	ˈo	0.29
lː	ʎ	0.286
lː	ɾ_m	0.286
t	ð	0.25
b	β	0.235
j	ʎ	0.2
j	-	0.2
ˈɔ	ˈe	0.194
d	ð	0.185
ˈɛ	j	0.182
p	β	0.175
ʤ	θ	0.167
w	o	0.154
e	ˈe	0.14
ˈu	ˈo	0.136
j	ʝ	0.133
o	o	0.131
ˈi	j	0.103
ˈɔ	-	0.097
ˈu	w	0.091
ˈo	ˈu	0.091
ˈo	-	0.091
ˈe	-	0.087
l	-	0.086
ˈi	ˈe	0.069
n	-	0.064
t	-	0.062
ˈo	w_ˈe	0.061
k	ɣ	0.061
k	-	0.061
