Friulian	Sicilian	probability
ˈeː	ˈi	1.0
ˈoː	ˈu	1.0
ˈu	ˈu	1.0
ˈɔ	ˈɔ	1.0
j	-	0.681
o	u	0.871
s	ʃː	0.111
t	-	0.111
w	-	0.051
ɲ	ɲː	0.431
ˈaː	ˈa_r	0.291
ˈi	ˈi	0.701
ˈiː	ˈɛ	0.781
ˈo	ˈu	0.641
ˈuː	ˈu	0.191
c	k	0.962
d	-	0.12
i	cː_ʊ	0.082
i	i	0.162
j	ɟː	0.132
k	k_ʊ	0.242
o	ˈu	0.062
r	ɽ	0.062
u	-	0.332
ŋ	ŋ	0.242
ŋ	n_ʊ	0.362
ɡ	-	0.152
ɲ	n	0.32
ʤ	ɪ_#>	0.362
ʤ	j	0.362
l	l	0.383
r	-	0.153
z	-	0.493
ʧ	ɕ	0.883
ˈe	ˈi	0.933
e	a	0.924
k	k	0.744
v	p	0.074
w	w	0.504
ɡ	k	0.104
ʤ	ʤ	0.054
ˈaː	ˈa	0.544
ˈo	ʊ	0.094
a	ɪ	0.105
b	v	0.055
b	b	0.945
d	ɾ	0.115
r	ɾ_ɪ	0.055
r	r	0.125
s	ɕ_ɪ	0.055
t	t_ʊ	0.155
t	t	0.445
w	ˈɔ	0.445
ɡ	ɡ	0.745
ʧ	ʦː_ʊ	0.05
ˈa	ˈa	0.985
ˈaː	ˈa_ɾ	0.165
ˈo	ˈɔ	0.265
ˈɛ	-	0.255
a	-	0.066
d	t	0.496
i	ɪ	0.356
j	i	0.096
l	ɖː	0.136
l	-	0.186
p	p	0.956
t	tː_ʊ	0.086
t	t_ɪ	0.106
v	v	0.926
ŋ	n_ɪ	0.356
ʤ	ʊ_#>	0.196
ˈi	ˈɛ	0.276
ˈɛ	ˈɛ	0.686
j	ˈi	0.067
l	l_ʊ	0.057
n	n	0.967
o	o	0.067
r	ɾ	0.47
z	z	0.507
ˈe	ˈe	0.067
a	a	0.828
i	ɪ_ɾ	0.108
u	ɪ	0.478
d	d	0.269
f	f	0.939
i	-	0.069
i	ʊ	0.169
l	ɖː_ʊ	0.169
m	m	0.919
s	ʃ	0.109
s	-	0.129
s	s	0.539
u	ʊ	0.19
ɲ	ɲː_ʊ	0.249
ˈiː	ɪ	0.219
ˈuː	ˈɔ	0.809
ˈɛ	ˈi	0.059
