Venetian	Occitan	probability
#>	s_#>	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɰ	<#_l	1.0
<#_ʤ	<#_ɡ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈɔ	<#_ɥ	1.0
a_r	ɾ	1.0
a_s	a_s	1.0
a_v	a_β	1.0
b	β	1.0
d_o	t_#>	1.0
e_#>	#>	1.0
i_#>	s_#>	1.0
j_ˈa	l_ˈa	1.0
j_ˈe	ˈɛ	1.0
k	k	1.0
l_#>	l_#>	1.0
m_ˈa	m_ˈa	1.0
o_#>	#>	1.0
o_ɰ	u_l	1.0
r_ˈa	ɾ_ˈa	1.0
s	s	1.0
s_e	j_s	1.0
s_o	ʦ_#>	1.0
s_t	s_t	1.0
w	-	1.0
w_ˈa	ˈa	1.0
z_e	ʦ_#>	1.0
z_o	ʤ_e	1.0
ŋ_#>	#>	1.0
ŋ_k	ŋ_k	1.0
ɡ_o	k_#>	1.0
ɰ_o	l_#>	1.0
ɲ	ɲ	1.0
ɲ_o	ɲ_ɔ_#>	1.0
ʤ	l	1.0
ʧ_o	l_#>	1.0
ˈa_m	ˈa_m_b	1.0
ˈa_n	ˈa_n	1.0
ˈa_z	ˈa_ʦ	1.0
ˈe_d	ˈe_j	1.0
ˈe_k	ˈe_k	1.0
ˈi_o	j_ˈe_w_#>	1.0
ˈo_z	ˈu_ʦ	1.0
ˈu_#>	u_z_ˈa_w_t_ɾ_e_s	1.0
ˈu_t	ˈu_t	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_s	ˈɔ_s	1.0
ˈɛ_r	ˈɛ_r	1.0
e	-	0.111
j	l	0.571
n	-	0.231
o	-	0.231
z	z	0.231
ˈa	ˈa	0.941
ˈo	ˈy	0.071
ˈɔ	ˈy	0.091
ˈɛ	j	0.111
ˈɛ	j_ˈɛ	0.111
<#	<#_l	0.462
l	ɾ	0.222
l	l	0.222
l	w	0.222
m	mː	0.182
r	ɾ_e	0.2
r_#>	e_#>	0.282
v	w	0.182
ŋ	m	0.182
ˈe	ˈe_l	0.062
ˈɔ	ˈu	0.182
e	e	0.593
j	ʎ	0.143
j	i	0.143
j	-	0.143
l	-	0.333
p	s	0.333
v	v	0.273
ŋ_t	n_t	0.273
ˈi	ˈi	0.933
ˈu	ˈu	0.133
ˈɔ	ˈɔ	0.273
<#	k	0.154
<#_s	<#	0.184
a_#>	#>	0.064
e	e_n	0.074
e	ɾ	0.074
e	ˈɛ_j	0.074
e	a	0.074
i	e	0.4
n	n	0.654
r	ɾ	0.4
v_e	w_ɾ	0.4
z	lː	0.154
ŋ	ŋ	0.364
ɰ	s	0.4
ˈɛ	ˈe	0.074
<#	<#_a	0.385
a	-	0.125
a	a_ð	0.125
a	a	0.75
d	z	0.25
d	ʤ	0.25
d	ð	0.5
n	n_d	0.115
t	-	0.115
t	t	0.615
v	β	0.545
ŋ	-	0.455
ɡ	-	0.385
ɡ	ɣ	0.615
ˈe	ˈɛ	0.25
ˈo	ɥ_ˈɔ	0.095
<#_s	<#_s	0.816
<#_z	<#	0.176
<#_z	<#_ʤ	0.706
a_#>	ɔ_#>	0.936
i	i	0.6
v_e	w_#>	0.6
ɰ	l	0.6
ʧ	ʎ	0.286
ʧ	l	0.286
ˈɔ	ɥ_ˈɛ	0.136
ˈɛ	ˈɛ_l	0.296
p	p	0.667
r	-	0.067
ŋ_t	n	0.727
ˈi	ˈi_l	0.067
ˈo	ˈu	0.667
ˈu	ˈy	0.867
ˈɛ	ˈɛ	0.407
<#_z	<#_ɡ	0.118
m	m	0.818
r_#>	#>	0.718
z	s	0.308
z	-	0.308
ˈe	ˈe	0.688
ˈɔ	ˈa_w	0.318
o	u	0.769
r	r	0.289
t	ʧ	0.269
ʧ	ˈɛ_l	0.429
ˈa	ˈa_j	0.059
ˈo	ˈɔ	0.119
