Québécois French	Québécois French	probability
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ʁ_w	r_ˈe	1.0
ʁ_#>	#>	1.0
ɲ	ɲ	1.0
ɪ	ˈi	1.0
ɛɪ̯	-	1.0
ɛ_ʁ	j	1.0
ɑ	ˈa	1.0
æɛ̯_ʁ	ˈɛ_r	1.0
w_ɛ	ˈe	1.0
t_#>	t_a_#>	1.0
s_ɛ	s_ˈɛ	1.0
s_#>	s_#>	1.0
p	p	1.0
o	ˈɔ_s	1.0
n_#>	#>	1.0
n	n	1.0
m_#>	m_a_#>	1.0
m	m	1.0
k	k	1.0
i_ʁ	ˈi	1.0
f	f	1.0
ã_#>	ˈa_ŋ_k_#>	1.0
aœ̯	ˈo_w	1.0
a_ʁ	a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
<#	<#_d	1.0
ʃ	ʨ	0.9
b	b	0.889
l	l	0.857
ɡ	ɡ	0.818
d	d	0.8
ɑɔ̯	ˈɔ	0.778
v	v	0.778
y	ˈu	0.714
e_#>	ˈe_#>	0.706
w	ˈe	0.647
<#_e	<#_ʃ	0.625
ɥ	w	0.6
øʏ̯	ˈɛ_k	0.6
z	ʒ	0.6
ʁ	r	0.596
ʒ	ʒ	0.571
ɒ̃ʊ̯̃	ˈo_n	0.556
t	t	0.533
s	s	0.515
ɔ	ˈɔ	0.5
ɔ	o	0.5
ã	ˈɛ_n	0.5
a	ˈa	0.5
a	a	0.5
<#_ʁ	<#_r	0.5
<#_ʁ	<#	0.5
#>	a_#>	0.471
æɛ̯	ˈa	0.455
j	j	0.45
oʊ̯	ˈɛ_l	0.429
œ	w_ˈɛ	0.417
ɥ	-	0.4
øʏ̯	ˈɛ	0.4
z	-	0.4
<#_e	<#	0.375
ɛ	j	0.333
œ	e	0.333
u	ˈo	0.333
u	-	0.333
ẽɪ̯̃	ˈi_n	0.312
ẽɪ̯̃	ˈa_n	0.312
i	ˈi	0.294
e_#>	#>	0.294
ʒ	-	0.286
y	-	0.286
oʊ̯	ˈa_w	0.286
œ	a	0.25
ẽɪ̯̃	n	0.25
w	ˈo	0.235
i	-	0.235
ɒ̃ʊ̯̃	ˈɔ_n	0.222
ɒ̃ʊ̯̃	n	0.222
ɑɔ̯	o	0.222
ã	ˈa	0.214
ɛ	ˈe	0.208
u	o	0.2
t	t_e	0.2
j	ˈɛ	0.2
j	d_l	0.2
d	d_e	0.2
ɡ	-	0.182
æɛ̯	r	0.182
i	j_ˈɛ	0.176
i	j	0.176
ɛ	ˈɛ	0.167
#>	t_#>	0.165
s	ʨ	0.152
s	ʧ	0.152
j	-	0.15
v	-	0.148
ʒ	ʥ	0.143
oʊ̯	ˈa	0.143
oʊ̯	-	0.143
ã	n	0.143
ã	a_n	0.143
æɛ̯	ˈɛ	0.136
æɛ̯	ˈe	0.136
u	ˈo_s	0.133
t	s_t	0.133
t	-	0.133
ɛ	w_ʃ	0.125
ẽɪ̯̃	ˈa	0.125
ʁ	e	0.123
w	-	0.118
i	ˈɛ	0.118
b	-	0.111
#>	e_#>	0.106
ʃ	ʥ	0.1
æɛ̯	j	0.091
ʁ	r_a	0.088
l	l_ˈɛ	0.086
ɛ	j_t	0.083
ɛ	-	0.083
v	ʒ_ɡ	0.074
ʁ	r_t	0.07
s	ʦ_a	0.061
s	s_e	0.061
s	-	0.061
l	-	0.057
ʁ	e_r	0.053
