Asturian	Bellunese	probability
d	d	1.0
f	f	1.0
i	i	1.0
j	j	1.0
k	k	1.0
p	p	1.0
t	t	1.0
u	o	1.0
w	w	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɡ	1.0
ɲ	n	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
l	-	0.541
ð	d	0.631
ʝ	j	0.521
ˈi	-	0.051
θ	θ	0.461
a	ˈa	0.062
b	v	0.682
ɾ	r	0.912
ˈe	e	0.132
ˈo	ˈu	0.062
θ	z	0.222
o	-	0.153
ʎ	l	0.913
ʝ	ʧ	0.183
ˈe	ˈe	0.733
ˈo	ˈo	0.73
ˈu	ˈo	0.183
e	o	0.284
n	ŋ	0.234
r	r	0.984
ʃ	ð	0.874
β	-	0.144
e	e	0.716
m	m	0.896
n	n	0.766
ʃ	s	0.126
ʝ	-	0.296
β	v	0.856
o	o	0.847
ʎ	j	0.087
ˈe	-	0.087
ˈu	ˈu	0.817
θ	s	0.317
b	b	0.318
m	ŋ	0.068
s	s	0.978
ɾ	-	0.088
ˈo	ˈɔ	0.208
a	a	0.899
l	l	0.459
ð	t	0.369
ˈi	ˈi	0.949
