West Flemish	East Low German	probability
b	b	0.878
b	-	0.122
d	d	0.679
d	-	0.186
d	ɾ	0.092
f	f	0.922
f	m	0.07
h	ç	0.385
h	-	0.371
h	x	0.244
iə̯	ae̯	1.0
j	j	1.0
k	k	0.53
k	kʰ	0.407
l	l	1.0
m	m	0.839
m	ɪ	0.161
n	n	0.953
p	p	0.888
p	f	0.061
p	b	0.051
s	s	0.492
s	ʃ	0.48
t	t	0.638
t	d	0.153
t	tʰ	0.106
t	-	0.079
v	f	0.818
v	m	0.083
v	b	0.062
w	l	0.955
z	z	0.786
z	s	0.081
z	h	0.069
ç	ç	1.0
ŋ	ŋ	0.846
ŋ	ç	0.154
ə	-	0.864
ə	ɾ	0.076
ə	ɪ	0.051
ɦ	ɡ	0.371
ɦ	j	0.249
ɦ	ç	0.142
ɦ	-	0.115
ɦ	ɣ	0.077
ɪ	ɪ	1.0
ɾ	æ	0.538
ɾ	r	0.383
ɾ	-	0.079
ʃ	ʃ	1.0
ʋ	v	0.755
ʋ	w	0.13
ʋ	-	0.115
ˈeː	ˈɛː	0.476
ˈeː	ˈɛ	0.185
ˈeː	ˈeː	0.155
ˈeː	ˈae̯	0.092
ˈeː	ˈœː	0.092
ˈi	ˈiː	0.943
ˈi	ˈɛː	0.057
ˈiə̯	ˈae̯	0.437
ˈiə̯	ˈiː	0.191
ˈiə̯	ˈyː	0.141
ˈiə̯	ˈɪ	0.13
ˈiə̯	ˈʏ	0.056
ˈoː	ˈuː	0.377
ˈoː	ˈaʊ̯	0.262
ˈoː	ˈɒː	0.083
ˈoː	ˈɔʏ̯	0.074
ˈoː	ˈøː	0.067
ˈoː	ˈɔ	0.057
ˈu	ˈʊ	0.565
ˈu	ˈuː	0.233
ˈu	ˈɔ	0.164
ˈuə̯	ˈaʊ̯	0.694
ˈuə̯	ˈɔʏ̯	0.306
ˈyː	ˈuː	0.881
ˈyː	ˈyː	0.07
ˈæ	ˈaː	0.299
ˈæ	ˈiː	0.237
ˈæ	ˈɛ	0.23
ˈæ	-	0.207
ˈøː	ˈœː	0.75
ˈøː	ˈɛː	0.16
ˈøː	ˈɒː	0.09
ˈœ	ˈʏ	0.443
ˈœ	ˈʊ	0.327
ˈœ	ˈiː	0.132
ˈœ	ˈɪ	0.098
ˈɑ	ˈa	0.769
ˈɑ	ˈaː	0.111
ˈɑ	ˈaʊ̯	0.069
ˈɑ	ˈɛː	0.051
ˈɒː	ˈɒː	0.608
ˈɒː	ˈa	0.159
ˈɒː	ˈaː	0.124
ˈɒː	ˈoː	0.075
ˈɔ	ˈɔ	0.523
ˈɔ	ˈœ	0.203
ˈɔ	ˈuː	0.099
ˈɔ	ˈʏ	0.083
ˈɔ	ˈa	0.06
ˈɛ	ˈɪ	0.648
ˈɛ	ˈɛ	0.257
ˈɛ	ˈœ	0.095
ˈɛː	ˈae̯	0.577
ˈɛː	ˈɔ	0.213
ˈɛː	ˈeː	0.133
ˈɛː	ˈiː	0.076
ˈɪ	ˈɪ	0.949
ˈɪ	ˈʏ	0.051
