Occitan	Franco-Provençal	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_w	1.0
<#_ˈɔ	<#_ˈo	1.0
a_β	ə_v	1.0
d_ɾ	d_ʁ_ə	1.0
e_n	ə_n	1.0
i_#>	o_#>	1.0
lː	l	1.0
m_#>	#>	1.0
n	n	1.0
n_#>	#>	1.0
n_t	t	1.0
r_#>	ʁ_#>	1.0
s_t	t	1.0
t	t	1.0
t_#>	#>	1.0
t_ɾ	t_ʁ	1.0
z	z	1.0
ŋ	-	1.0
ŋ_ɡ	ɡ	1.0
ɣ_ɾ	ʁ	1.0
ɥ_ˈɔ	w_ˈa	1.0
ɲ	ɲ	1.0
ɲ_#>	ˈɛ̃_#>	1.0
ɾ_e	ə_#>	1.0
ʎ	ʎ	1.0
ʤ_e	ð_o	1.0
ʦ_#>	ʃ_#>	1.0
ʧ_#>	#>	1.0
ˈa_j	ˈaː_ð	1.0
ˈa_l	ˈoː	1.0
ˈa_n	ˈa_n	1.0
ˈa_w	w_ˈe	1.0
ˈe_j	ˈɛː	1.0
ˈe_k	ˈɛ_t	1.0
ˈi_n	ˈe_n	1.0
ˈu_#>	ˈɔ̃_#>	1.0
ˈy_#>	#>	1.0
ˈɔ_s	ˈoː	1.0
ˈɛ_n	ˈɛ̃_#>	1.0
r	ð	0.1
r	-	0.1
s	s_ə	0.231
ˈi_#>	ˈi_#>	0.571
ˈu	ˈoː	0.1
k_#>	k_#>	0.182
l_#>	#>	0.12
s_#>	s_#>	0.222
ˈa	ˈa	0.372
ˈa_#>	ˈɑ̃_#>	0.2
ˈy	ˈɔ̃	0.182
ˈɛ	ˈɛ	0.222
<#_a	<#	0.333
<#_ʤ	<#_ʒ	0.3
<#_ˈa	<#_ˈɑː	0.3
k	k	0.333
m	m	0.833
u	o	0.583
ð	d	0.333
ɔ_#>	a_#>	0.873
ˈa	ˈe	0.093
ˈa	-	0.093
ˈe	ˈɛ̃	0.13
ˈe	w	0.13
ˈu	ˈɔ	0.133
ˈu	ˈø	0.133
ˈu	ˈo	0.133
ˈɔ	ˈø	0.143
ˈɛ	ˈɛː	0.083
β	b	0.333
#>	ˈe_#>	0.214
a	-	0.154
e	ɛ	0.174
e	-	0.174
j	-	0.714
l	l	0.864
s	ʃ	0.154
ɣ	v	0.4
ɥ	-	0.4
ɾ	ʁ	0.694
ˈa	ˈɑ̃	0.14
ˈa_#>	ˈa_#>	0.4
ˈe	ˈɛ	0.174
ˈi	ˈe	0.294
ˈy	w	0.364
ˈɔ	ˈu	0.214
ˈɔ	w	0.214
ˈɛ	ˈe	0.444
<#_k	<#_ʃ	0.5
<#_k	<#_k	0.5
e_#>	#>	0.5
e_#>	o_#>	0.5
i	i	0.5
i	j	0.5
j_ˈɛ	ˈi	0.5
j_ˈɛ	j_ˈø	0.5
p	-	0.5
p	p	0.5
u	ɔ	0.25
w	o	0.25
w	ˈoː	0.25
w	-	0.5
w_#>	f_#>	0.5
w_#>	#>	0.5
ɔ	i_#>	0.235
ɔ	ə_#>	0.765
ʤ	ð	0.5
ʤ	-	0.5
ˈa_#>	j_ˈe_#>	0.15
ˈa_#>	#>	0.25
ˈu_n	ˈɔ_n	0.5
ˈu_n	ˈɔ̃	0.5
ˈy	ˈu	0.455
β	v	0.5
#>	ʁ_#>	0.786
a	a	0.846
j	ˈe	0.286
l	ʎ	0.136
l_#>	l_#>	0.6
ɣ	ɡ	0.6
ɥ	w	0.6
ɾ	ð	0.306
ˈa	ˈaː	0.116
ˈɛ	ˈi	0.056
ˈɛ	-	0.056
<#_a	<#_a	0.667
<#_ʤ	<#_ð	0.7
<#_ˈa	<#	0.7
e	e	0.087
e	ʁ_ə	0.087
k	ʃ	0.667
m	-	0.167
u	u	0.167
ð	-	0.667
ɔ_#>	#>	0.127
ˈa	ˈa_j	0.07
ˈa	ˈɑː	0.07
ˈe	ˈi	0.087
ˈu	ˈu	0.167
ˈu	w_ˈɛː	0.167
ˈu	w	0.167
β	ˈe_v	0.167
e	ə	0.478
k_#>	#>	0.818
l_#>	ʎ_#>	0.28
r	ʁ	0.8
s	s	0.308
s	-	0.308
s_#>	#>	0.778
ˈe	ˈɛː	0.478
ˈi	ˈĩ	0.118
ˈi	ˈi	0.588
ˈi_#>	ˈĩ_#>	0.429
ˈɔ	ˈoː	0.429
ˈɛ	j_ˈe	0.139
