Old High German	Proto-Germanic	probability
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈuː	ˈuː	1.0
ˈuo̯	ˈɔː	1.0
ˈu	ˈu	1.0
ˈoː	ˈɑu̯	1.0
ˈou̯	ˈɑu̯	1.0
ˈo	ˈu	1.0
ˈio̯	ˈeu̯	1.0
ˈie̯	ˈeː	1.0
ˈi_s	ˈi_s	1.0
ˈeː	ˈɑi̯	1.0
ˈei̯_n	ɑi̯	1.0
ˈei̯	ˈɑi̯	1.0
ˈe	ˈɑ	1.0
ʦ	t	1.0
ɛ	ɛː	1.0
ə	-	1.0
ɑ_l	l_ɑ	1.0
ŋ	ŋ	1.0
xː	k	1.0
x_t	x_t	1.0
u	u	1.0
tː	ð	1.0
s̻ː	t	1.0
s_t	s_t	1.0
s_l	s_l	1.0
s	s	1.0
rː	r	1.0
r_t	r_ð	1.0
r_n	r_n	1.0
p	p	1.0
oː	ɔː	1.0
ou̯	ˈɑu̯	1.0
nː	nː	1.0
n_s	n_s	1.0
n_i	n_i	1.0
mː	mː	1.0
m_ˈi	m_ˈe	1.0
m	m	1.0
lː	lː	1.0
l_t	l_d	1.0
l	l	1.0
k	k	1.0
i_s	i_s	1.0
fː	p	1.0
eː	j_ɑ	1.0
d	θ	1.0
ˈɛ	ˈe	0.943
h	x	0.913
ˈi	ˈi	0.902
r	r	0.846
f	ɸ	0.84
n	n	0.828
w	w	0.799
ˈɑː	ˈɛː	0.797
ˈiː	ˈiː	0.767
ɑ	ɑ	0.765
ɡ	ɣ	0.743
e	i_j	0.667
o	ɔːː	0.632
b	b	0.615
i	i	0.614
ɑ_n	n	0.6
s̻	t	0.6
t	ð	0.584
kː	ɣ_j	0.566
x	k	0.565
x	x	0.435
kː	k	0.434
ɑ_n	n_ɑ	0.4
b	β	0.385
ˈiu̯	ˈiu̯	0.371
ˈiu̯	-	0.354
ɑ_r	r_ɑ̃	0.347
e	j_ɑ	0.333
ˈiu̯	ˈe	0.274
t	d	0.243
ɡ	ɡ	0.238
ɑ_r	r_ɑ	0.231
ɑ_r	r_u	0.231
s̻	t_ɑ	0.219
ˈɑː	ˈɑː	0.203
ɑ_r	r	0.19
o	w_ɑ	0.184
i	u	0.182
s̻	t_s	0.181
ˈiː	ˈi	0.178
r	z	0.125
o	-	0.125
n	ɑ_n	0.118
f	p	0.116
ˈi	ˈe	0.098
t	θ	0.098
ɑ	u	0.089
ɑ	e	0.087
h	xʷ	0.087
w	-	0.086
t	t	0.075
i	ɑ	0.075
i	j	0.064
i	iː	0.064
w	xʷ	0.059
o	ɔːu̯	0.059
ˈɛ	-	0.057
ˈiː	ˈĩː	0.055
w	wː	0.055
n	n_ɑ	0.053
