Logudorese	Spanish	probability
d	d	1.0
ĕ	-	1.0
f	f	1.0
nː	ɲ	1.0
p	p	1.0
rː	ɾ	1.0
z	s	1.0
ɖː	ʝ	1.0
ɲː	ɲ	1.0
ʣ	x	1.0
β	β	1.0
b	b	0.891
e	e	0.401
j	x	0.401
m	m	0.811
o	-	0.091
u	o	0.921
ˈa	ˈa	0.931
ˈi	e	0.071
l	-	0.052
r	ˈe_ɾ	0.052
r	r	0.092
s	-	0.142
t	t	0.832
ˈe	ˈe_j	0.052
ˈo	ˈo	0.452
b	ɡ	0.053
r	l	0.083
ˈe	j_ˈe	0.413
a	a	0.964
i	-	0.144
m	ŋ	0.154
n	-	0.224
ð	ð	0.624
ɡ	ɡ	0.104
ˈi	ˈe	0.424
ˈu	ˈu	0.634
e	o	0.085
e	-	0.225
k	θ	0.355
k	k	0.645
ɣ	θ	0.395
ɣ	ɣ	0.605
ˈi	ˈi	0.505
b	k	0.056
e	ˈe	0.16
n	n	0.776
ð	-	0.376
ɡ	-	0.896
ˈe	-	0.096
ˈu	ˈo	0.366
e	a	0.067
i	ˈi	0.057
l	l	0.948
r	ɾ	0.598
s	s	0.858
t	ʧ	0.168
ˈo	o	0.078
i	e	0.799
j	j	0.599
o	o	0.909
r	-	0.129
u	-	0.079
ˈe	ˈe	0.439
ˈo	w_ˈe	0.469
