Bokmål Norwegian	West Frisian	probability
b	b	1.0
d	d	0.67
d	t	0.277
d	-	0.053
f	f	1.0
h	h	1.0
i	ɪ	0.19
i	ə	0.19
j	-	0.304
j	ɡ	0.167
j	ˈiə̯	0.113
j	χ	0.11
j	h	0.11
k	k	0.893
k	χ	0.077
k	-	0.044
kʰ	k	1.0
kː	k	1.0
l	l	0.97
l	-	0.036
l_ʋ	l	1.0
lː	l	0.669
lː	t	0.299
m	m	0.952
m	-	0.053
mː	m	1.0
n	n	0.938
n	m	0.044
n	-	0.036
nː	n	0.911
nː	l	0.056
nː	r	0.049
p	p	1.0
pʰ	p	1.0
s	s	0.898
s	z	0.052
s	ɕ	0.032
s	χ	0.032
sː	s	1.0
t	t	1.0
tʰ	t	0.731
tʰ	d	0.249
tʰ	ʦ	0.037
tː	χ	0.668
tː	t	0.326
ç	ʦ_j	1.0
ŋ	ŋ	0.85
ŋ	χ	0.081
ŋː	ŋ	1.0
ə	ə	0.668
ə	-	0.331
ɡ	ɡ	0.487
ɡ	-	0.228
ɡ	χ	0.179
ɡ	ɣ	0.08
ɡː	χ	0.349
ɡː	ɣ	0.304
ɡː	j	0.125
ɪ	ɪ	0.758
ɪ	ə	0.095
ɳ	n	0.695
ɳ	r	0.289
ɾ	r	0.805
ɾ	-	0.124
ɾ	ˈɪ_r	0.039
ʂ	s	0.629
ʂ	m	0.361
ʃ	k	0.501
ʈ	t	0.501
ʈː	t	1.0
ʋ	v	0.454
ʋ	ʋ	0.289
ʋ	-	0.232
ʋ	ˈɪə̯	0.035
ˈeː	ˈɛ	0.251
ˈeː	ˈɪ	0.218
ˈeː	ˈi	0.165
ˈeː	ˈoə̯	0.125
ˈeː	ˈiə̯	0.125
ˈiː	ˈiː	0.342
ˈiː	ˈi	0.318
ˈiː	ˈɪ	0.158
ˈiː	j	0.111
ˈoː	ˈiə̯	0.362
ˈoː	ˈoə̯	0.187
ˈoː	ˈaː	0.187
ˈoː	ˈø	0.124
ˈoː	ˈuə̯	0.102
ˈuː	ˈuə̯	0.493
ˈuː	ˈoə̯	0.202
ˈuː	ˈoː	0.141
ˈuː	ˈaː	0.123
ˈuː	ə	0.043
ˈyː	ˈiə̯	0.351
ˈyː	j	0.324
ˈyː	j_ˈuə̯	0.209
ˈyː	ˈɪə̯	0.072
ˈæ	ˈɪ	0.574
ˈæ	ˈɛ	0.287
ˈæɪ̯	ˈɛi̯	0.534
ˈæɪ̯	ˈiə̯	0.214
ˈæɪ̯	ˈi	0.12
ˈæɪ̯	ˈiː	0.08
ˈæː	j	0.297
ˈæː	ˈaː	0.297
ˈæː	-	0.185
ˈæː	ˈɛ	0.115
ˈøː	ˈɪə̯	0.502
ˈøː	ˈiə̯	0.145
ˈøː	ˈeː	0.11
ˈøː	ˈa	0.083
ˈøː	ˈɛ	0.083
ˈœ	ˈɪ	0.259
ˈœ	-	0.129
ˈœ	ˈoə̯	0.129
ˈœ	ˈɵ	0.129
ˈœ	ˈø	0.098
ˈœʏ̯	ˈɪə̯	0.501
ˈɑ	ˈa	0.387
ˈɑ	ˈɔː	0.179
ˈɑ	ˈɪə̯	0.104
ˈɑ	ˈaː	0.091
ˈɑ	ˈɔ	0.06
ˈɑː	ˈa	0.375
ˈɑː	ˈɛː	0.183
ˈɑː	ˈaː	0.183
ˈɑː	ˈɛi̯	0.121
ˈɑː	ˈɪə̯	0.121
ˈɔ	ˈyː	0.232
ˈɔ	ˈuː	0.232
ˈɔ	ˈoə̯	0.232
ˈɔ	ˈa	0.144
ˈɔ	ˈɔ	0.095
ˈɛ	ˈɪ	0.232
ˈɛ	ˈɛː	0.13
ˈɛ	ˈɔ	0.113
ˈɛ	ˈaː	0.113
ˈɛ	ˈa	0.099
ˈɛː	ˈø	0.251
ˈɪ	ˈɪ	0.652
ˈɪ	ˈiː	0.102
ˈɪ	ˈɛ	0.102
ˈɪ	ˈi	0.081
ˈɪ	ˈa	0.063
ˈʉ	ˈɔ	0.474
ˈʉ	ˈuː	0.255
ˈʉ	ˈɔu̯	0.089
ˈʉ	ˈɪ	0.075
ˈʉ	ˈu	0.066
ˈʉː	ˈuː	0.418
ˈʉː	ˈoː	0.128
ˈʉː	ˈyː	0.097
ˈʉː	ˈɔː	0.097
ˈʉː	ˈu	0.097
ˈʊ	ˈy	0.263
ˈʊ	ˈuː	0.138
ˈʊ	ˈeː	0.138
ˈʊ	ˈɔ	0.125
ˈʊ	ˈu	0.125
ˈʏ	ˈɪ	0.324
ˈʏ	ˈyː	0.186
ˈʏ	ˈoə̯	0.186
ˈʏ	ˈɔ	0.186
ˈʏ	ˈɛː	0.089
