American English	Nynorsk Norwegian	probability
b	b	1.0
d	d	0.595
d	-	0.349
f	f	0.732
f	ʋ	0.174
f	-	0.058
h	h	0.952
i	e	0.644
i	ɑ	0.234
j	ˈoː	0.488
j	ˈʊ	0.28
j	ɡ	0.167
k	k	0.587
k	ʰkː_ɑ	0.199
k	ʰkː	0.114
k	ç	0.085
kʰ	kʰ	1.0
l	l	0.966
m	m	0.827
m	m_j	0.089
n	n	0.743
n	-	0.131
n	nː	0.089
n_d	nː	1.0
oʊ̯	-	0.608
oʊ̯	j	0.254
p	p	0.891
p	-	0.079
pʰ	pʰ	1.0
s	s	0.92
s	ʃ	0.059
t	t	0.558
t	ʰtː	0.218
t	t_ɑ	0.089
t	-	0.057
tʰ	tʰ	0.912
tʰ	ç	0.071
v	ʋ	0.563
v	m	0.273
v	-	0.157
w	ʋ	0.468
w	-	0.217
w	kʰ_ʋ	0.097
w	ˈɔ	0.082
w	v	0.055
w_ˈɪ	ˈʏ	1.0
w_ˈʊ	ˈʉ	1.0
z	s_e	0.784
z	s	0.119
ð	d	0.699
ð	nː	0.139
ð_ɚ	ɾ	1.0
ŋ	ŋː	0.617
ŋ	-	0.226
ŋ	ŋ	0.065
ŋ	ɲ	0.063
ə	e	0.384
ə	ˈɛ	0.253
ə	ɑ	0.151
ə	-	0.095
ɚ	ɾ	0.299
ɚ	e_ɾ	0.237
ɚ	ɾ_e	0.162
ɚ	-	0.096
ɚ	ɾ_ɑ	0.064
ɡ	ɡ	0.667
ɡ	ɡː	0.099
ɡ	-	0.096
ɡ	j	0.096
ɪ	ɪ	0.574
ɪ	e	0.275
ɫ	l	0.67
ɫ	lː	0.17
ɫ	ɡ_l	0.157
ɫ_d	lː	1.0
ɹ	ɾ	0.988
ɾ	t	1.0
ʃ	s_k	0.543
ʃ	ʃ	0.446
ʤ	ɡː	1.0
ʧ	ç	0.794
ʧ	k	0.158
ˈaɪ̯	ˈiː	0.253
ˈaɪ̯	ˈɛ	0.211
ˈaɪ̯	ˈʉː	0.112
ˈaɪ̯	ˈyː	0.094
ˈaɪ̯	ˈɪ	0.085
ˈaɪ̯	ˈɑ	0.064
ˈaɪ̯	ˈæʉ̯	0.054
ˈaɪ̯	ˈɔ	0.053
ˈaɪ̯_d	ˈiː	1.0
ˈaʊ̯	ˈʉː	0.618
ˈaʊ̯	ˈʊ	0.201
ˈaʊ̯	ˈʉ	0.175
ˈeɪ̯	ˈɑː	0.338
ˈeɪ̯	ˈɑ	0.231
ˈeɪ̯	ˈeː	0.098
ˈeɪ̯	ˈoː	0.098
ˈeɪ̯	ˈɛ	0.098
ˈeɪ̯	ˈæɪ̯	0.057
ˈeɪ̯	ˈɔ	0.057
ˈi	ˈeː	0.181
ˈi	ˈøː	0.157
ˈi	ˈoː	0.126
ˈi	ˈœʏ̯	0.105
ˈi	ˈæʉ̯	0.099
ˈi	ˈyː	0.086
ˈi	-	0.064
ˈi	ˈʉː	0.058
ˈoʊ̯	ˈæɪ̯	0.424
ˈoʊ̯	ˈoː	0.167
ˈoʊ̯	ˈɑ	0.101
ˈoʊ̯	ˈɑː	0.101
ˈoʊ̯	ˈøː	0.077
ˈoʊ̯	ˈʉ	0.056
ˈoʊ̯	ˈæːɪ̯	0.055
ˈu	ˈuː	0.45
ˈu	ˈoː	0.268
ˈu	-	0.092
ˈu	ˈyː	0.092
ˈu	ˈɑ	0.063
ˈæ	ˈɑ	0.526
ˈæ	ˈɑː	0.172
ˈæ	ˈɛ	0.099
ˈæ	ˈʊ	0.075
ˈæ	ˈeː	0.058
ˈæ	ˈæ	0.054
ˈɑ	ˈɑ	0.541
ˈɑ	ˈɑː	0.103
ˈɑ	ˈɔ	0.103
ˈɑ	ˈʉː	0.075
ˈɑ	ˈʏ	0.075
ˈɔ	ˈʊ	0.263
ˈɔ	ˈɑ	0.195
ˈɔ	ˈɔ	0.17
ˈɔ	ˈiː	0.112
ˈɔ	ˈɛː	0.112
ˈɔ	ˈɛ	0.06
ˈɔ	ˈuː	0.059
ˈɛ	ˈɛ	0.187
ˈɛ	ˈoː	0.139
ˈɛ	ˈøː	0.121
ˈɛ	ˈʉː	0.111
ˈɛ	-	0.103
ˈɛ	ˈɑː	0.059
ˈɛ	ˈeː	0.05
ˈɛ	ˈʏ	0.05
ˈɛ_d	ˈæʉ̯	1.0
ˈɝ	ˈuː	0.561
ˈɝ	ˈʏ	0.28
ˈɝ	ɾ	0.1
ˈɪ	ˈɪ	0.276
ˈɪ	ˈiː	0.195
ˈɪ	ˈʏ	0.191
ˈɪ	ˈʊ	0.078
ˈɪ	ˈeː	0.058
ˈɪ	ˈɛ	0.051
ˈɪ	ˈʉ	0.051
ˈʊ	ˈuː	0.822
ˈʊ	ˈʉ	0.106
ˈʌ	ˈuː	0.284
ˈʌ	ˈɔ	0.198
ˈʌ	-	0.103
ˈʌ	ˈæɪ̯	0.079
ˈʌ	ˈɑː	0.078
ˈʌ	ˈʊ	0.078
ˈʌ	ˈʉ	0.074
ˈʌ	ˈɑ	0.056
θ	tʰ	0.444
θ	ç	0.173
θ	nː	0.131
θ	ɾ	0.099
θ	-	0.056
θ	d	0.056
