Aragonese	Aragonese	probability
ˈe_θ	ʧ	1.0
ˈe_n	n_t	1.0
ˈe_j	ˈe	1.0
ˈa_ɾ	ˈa	1.0
ˈa_t	ˈu	1.0
ʧ	ʤ	1.0
ʝ_ˈe	ˈɛ	1.0
ʎ_a	ə	1.0
ʃ	ʃː	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_o	ɾ_ə	1.0
ɾ_e	ə	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_a	t_ə	1.0
z	s_u	1.0
w_ˈe	ˈɔ	1.0
w_ˈa	w_ˈa	1.0
p_l	k_j	1.0
p	p	1.0
o_s	j_ə	1.0
m_b	mː	1.0
m_a	m_ə	1.0
j_ˈe	ˈɛ	1.0
j_t	tː	1.0
i_β	v	1.0
f_l	ʃ	1.0
e_s	ʃ	1.0
e_n	ə_n	1.0
e_l	ə_l	1.0
b_ˈo	v_ˈu	1.0
b_e	v	1.0
a_θ	a	1.0
a_ɾ	r	1.0
a_ð	a_j	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#	1.0
<#_w	<#_w	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
#>	ə_#>	1.0
k	k	0.957
n	n	0.955
f	f	0.95
ˈa	ˈa	0.947
θ	ʃ	0.857
ˈi	ˈi	0.857
ˈu	ˈu	0.84
s	s	0.808
m	m	0.8
o	ə	0.772
d	d	0.769
ɲ	ɲː	0.75
b	v	0.75
a	ə	0.742
ð	t	0.727
r	r	0.667
t	t	0.643
w	w	0.64
l	l	0.625
ʝ	-	0.6
u	-	0.6
ɣ	k	0.538
ɾ	ɾ	0.526
ˈo	ˈu	0.5
i	i	0.5
i	-	0.5
j	j	0.476
e	ə	0.458
ʝ	t	0.4
u	u	0.4
β	v	0.375
ʎ	lː	0.368
ˈo	ˈo	0.333
r	rː	0.333
ʎ	ʎː	0.316
ʎ	kː	0.316
β	p	0.312
j	-	0.286
ˈe	ˈɔ	0.271
β	-	0.25
ɲ	nː	0.25
t	tː	0.25
e	i	0.25
b	b	0.25
ɣ	ɡ	0.231
ɣ	-	0.231
d	-	0.231
ˈe	ˈɛ	0.214
ˈe	ˈe	0.2
a	a	0.197
ð	-	0.182
ɾ	-	0.175
ˈe	ˈi	0.171
ˈo	ˈɔ	0.167
e	e	0.167
ɾ	r	0.158
s	-	0.154
θ	-	0.143
ˈi	i	0.143
j	ˈɛ	0.143
l	ɾ	0.125
l	lː	0.125
l	j	0.125
e	-	0.125
w	v_ə	0.12
ˈe	-	0.1
m	mː	0.1
m	-	0.1
j	t_ɾ	0.095
ð	dː	0.091
o	u	0.089
ɾ	ə	0.088
ˈu	ˈo	0.08
ˈu	-	0.08
w	ˈo	0.08
w	ə	0.08
w	-	0.08
t	-	0.071
β	bː	0.062
a	ˈa	0.061
ˈa	-	0.053
ɾ	ə_ɾ	0.053
o	j_ə	0.051
