Nynorsk Norwegian	Old English	probability
b	b	1.0
d	d	0.855
d	-	0.091
e	e	0.468
e	ɑ	0.239
e	-	0.108
e	o	0.068
f	f	0.964
h	h	1.0
j	j	0.247
j	ˈeo̯	0.236
j	-	0.178
j	ɡ	0.154
j	ˈe	0.089
j	l	0.076
k	k	0.631
k	ʧ	0.253
k	ʃː	0.053
kʰ	k	0.618
kʰ	ʍ	0.256
kʰ	ʧ	0.125
l	l	0.653
l	ɫ	0.127
l	-	0.07
l	l̥	0.06
lː	ɫ	0.675
lː	lː	0.217
lː	l	0.067
m	m	0.858
m	mː	0.076
mː	m	1.0
n	n	0.885
n	-	0.115
nː	nː	0.435
nː	n	0.349
nː	rː	0.106
nː	θ	0.096
p	p	0.881
p	pː	0.119
pʰ	p	1.0
s	s	0.877
s	ʃ	0.079
sː	s	1.0
t	t	1.0
tʰ	θ	0.547
tʰ	t	0.414
tː	t	1.0
v	w	1.0
ŋ	n	0.505
ŋ	i	0.495
ŋː	ŋ	0.985
ɑ	ɑ	0.837
ɑ	e	0.125
ɕ	ʧ	0.595
ɕ	θ	0.226
ɕ	k	0.101
ɕ	t	0.078
ɕː	tː	0.679
ɕː	ʧː	0.321
ə	ˈeːo̯	0.333
ə	-	0.303
ə	e	0.243
ə	o	0.12
ɛ	o	1.0
ɡ	ɡ	0.331
ɡ	j	0.328
ɡ	ɣ	0.139
ɡ	ʧ	0.114
ɡː	ʤ	0.854
ɡː	j	0.146
ɪ	e	1.0
ɲ	ŋ	1.0
ɾ	r	0.939
ʃ	ʃ	0.539
ʃ	s	0.419
ʉ	o	1.0
ʋ	w	0.488
ʋ	v	0.244
ʋ	f	0.228
ʰkː	ŋ_k	0.847
ʰkː	kː	0.153
ʰpː	pː	1.0
ʰtː	x	0.585
ʰtː	ç	0.415
ˈeː	ˈeː	0.247
ˈeː	ˈe	0.222
ˈeː	ˈi	0.21
ˈeː	ˈiy̯	0.177
ˈeː	ˈiː	0.067
ˈeː	ˈeːo̯	0.06
ˈiː	ˈiː	0.608
ˈiː	ˈi	0.154
ˈiː	ˈeːo̯	0.08
ˈiː	-	0.068
ˈoː	ˈoː	0.236
ˈoː	ˈɑː	0.206
ˈoː	ˈæː	0.202
ˈoː	ˈæːɑ̯	0.195
ˈoː	ˈu	0.081
ˈuː	ˈoː	0.57
ˈuː	-	0.224
ˈuː	ˈo	0.104
ˈyː	ˈeːo̯	0.581
ˈyː	ˈyː	0.231
ˈyː	ˈiːy̯	0.119
ˈyː	ˈæː	0.069
ˈæ	ˈeo̯	1.0
ˈæɪ̯	ˈɑː	0.923
ˈæɪ̯	-	0.077
ˈæʉ̯	ˈæːɑ̯	1.0
ˈæːɪ̯	ˈɑː	1.0
ˈøː	ˈeː	0.498
ˈøː	ˈe	0.192
ˈøː	e	0.104
ˈøː	ˈæː	0.095
ˈøː	ˈæːɑ̯	0.059
ˈøː	ˈɑː	0.052
ˈœ	ɫ	0.605
ˈœ	ˈe	0.265
ˈœ	ˈɛ	0.13
ˈœʏ̯	ˈiːy̯	0.636
ˈœʏ̯	ˈæːɑ̯	0.205
ˈœʏ̯	ˈeː	0.159
ˈɑ	ˈɑ	0.453
ˈɑ	ˈæɑ̯	0.293
ˈɑ	-	0.101
ˈɑ	ˈoː	0.071
ˈɑː	ˈæ	0.424
ˈɑː	ˈɑ	0.372
ˈɑː	ˈæɑ̯	0.165
ˈɔ	ˈo	0.562
ˈɔ	ˈu	0.143
ˈɔ	ˈy	0.074
ˈɔ	ˈi	0.051
ˈɛ	ˈe	0.2
ˈɛ	ˈeːo̯	0.182
ˈɛ	ˈeo̯	0.162
ˈɛ	ˈɛ	0.115
ˈɛ	ˈiy̯	0.109
ˈɛ	ˈiː	0.073
ˈɛ	ˈæː	0.058
ˈɛː	ˈeo̯	0.679
ˈɛː	ˈe	0.321
ˈɪ	ˈi	0.864
ˈɪ	ˈe	0.11
ˈʉ	ˈu	0.674
ˈʉ	w_ˈu	0.135
ˈʉ	ˈuː	0.094
ˈʉː	ˈuː	0.485
ˈʉː	ˈeːo̯	0.328
ˈʉː	ˈeo̯	0.059
ˈʉː	ˈo	0.059
ˈʊ	ˈo	0.766
ˈʊ	ˈy	0.123
ˈʊ	ˈæ	0.111
ˈʏ	ˈi	0.409
ˈʏ	ˈy	0.374
ˈʏ	ˈeo̯	0.075
ˈʏ	ˈeːo̯	0.062
