Limburgish	Swiss German	probability
#>	#>	0.878
#>	ə_#>	0.054
<#	<#	0.985
b	b̥	0.943
b	-	0.058
d	t	0.567
d	d̥	0.419
f	b̥	0.822
f	f	0.11
j	-	0.244
j	t	0.232
j	l	0.141
j	j	0.123
j	d̥	0.112
j	tː	0.097
k	χ	0.739
k	k	0.166
k	ɡ̊ː	0.064
k_#>	#>	1.0
l	l	0.954
m	m	0.954
n	n	0.872
n	-	0.062
n_#>	#>	1.0
n_t	ŋ	1.0
p	f	0.399
p	p͡f	0.344
p	fː	0.168
p	p	0.073
s	ʃ	0.532
s	s	0.354
s	χ_s	0.083
t	t	0.324
t	ʦ	0.207
t	sː	0.184
t	d̥	0.13
t	s	0.103
v	f	0.798
v	b̥	0.119
v	-	0.081
w	l	0.239
x	χ	0.523
x	ɡ̊	0.433
z	s	0.781
z	ʃ	0.218
ŋ	ŋ	0.814
ŋ	ɡ̊	0.174
ə	ə	0.651
ə	-	0.277
ə	i	0.057
ə_f	f	1.0
ə_x	ɡ̊	0.489
ɡ	ɡ̊	0.489
ɣ	ɡ̊	0.947
ɣ	-	0.055
ɦ	h	1.0
ɪ	i	1.0
ɪː	ˈi	0.239
ʀ	r	0.981
ʀ_s	ʃ	0.489
ʃ	ʃ	1.0
ʦ	ʃ	0.489
ˈaː	ˈɒ	0.521
ˈaː	ˈɒː	0.195
ˈaː	ˈa	0.166
ˈaː	ˈæ	0.107
ˈeː	ˈæ	0.273
ˈeː	ˈyː	0.209
ˈeː	ˈi	0.157
ˈeː	ˈiə̯	0.107
ˈeː	ˈe	0.088
ˈeː	ˈæː	0.067
ˈi	ˈeː	0.339
ˈi	ˈi	0.201
ˈi	ˈæː	0.201
ˈi	ˈøi̯	0.093
ˈi	ˈiə̯	0.073
ˈi	ˈɒː	0.051
ˈiː	ˈiː	0.754
ˈiː	ˈeː	0.094
ˈiː	ˈiə̯	0.066
ˈiː	ˈyː	0.066
ˈoː	ˈuə̯	0.538
ˈoː	ˈo	0.257
ˈoː	ˈoː	0.194
ˈu	ˈoː	0.826
ˈu	ˈøː	0.141
ˈuː	ˈuː	0.768
ˈuː	ˈoː	0.107
ˈuː	ˈu	0.095
ˈv	f	0.239
ˈyː	ˈøː	0.461
ˈyː	ˈyː	0.401
ˈyː	ˈo	0.067
ˈæ	ˈɒ	0.425
ˈæ	ˈæ	0.177
ˈæ	ˈø	0.089
ˈæː	ˈa	0.341
ˈæː	ˈɒː	0.341
ˈæː	ˈæ	0.192
ˈøː	ˈyə̯	0.516
ˈøː	ˈyː	0.252
ˈøː	ˈøː	0.105
ˈøː	ˈy	0.098
ˈœ	ˈu	0.488
ˈœ	ˈɒː	0.196
ˈœ	ˈou̯	0.181
ˈœi̯	ˈyː	0.477
ˈœi̯	ˈøi̯	0.477
ˈœː	ˈu	1.0
ˈɑ	ˈɒ	0.558
ˈɑ	ˈa	0.105
ˈɑ	ˈæ	0.105
ˈɑ	ˈæː	0.105
ˈɑ	ˈø	0.105
ˈɑː	ˈɒ	1.0
ˈɒː	ˈɒː	0.66
ˈɒː	ˈoː	0.138
ˈɒː	ˈo	0.096
ˈɒː	ˈɒ	0.055
ˈɔ	ˈo	0.6
ˈɔ	ˈu	0.25
ˈɔ	ˈuə̯	0.143
ˈɔu̯	ˈou̯	0.66
ˈɔu̯	ˈau̯	0.158
ˈɔː	ˈo	0.45
ˈɔː	ˈau̯	0.267
ˈɔː	ˈou̯	0.198
ˈɛ	ˈæ	0.372
ˈɛ	ˈi	0.245
ˈɛ	ˈe	0.214
ˈɛ	ˈiː	0.13
ˈɛi̯	ˈyː	0.489
ˈɛː	ˈæi̯	0.253
ˈɛː	ˈei̯	0.238
ˈɛː	ˈɛi̯	0.22
ˈɛː	ˈi	0.177
ˈɛː	ˈy	0.082
ˈɛːi̯	ˈei̯	1.0
ˈɪ	ˈæ	0.234
ˈɪ	ˈø	0.185
ˈɪ	ˈiː	0.154
ˈɪ	ˈi	0.131
ˈɪː	ˈi	0.779
ˈɪː	ˈe	0.098
ˈɪː	ˈy	0.098
ˈʊ	ˈu	0.489
ˈʊː	ˈuə̯	0.254
ˈʊː	ˈu	0.216
ˈʊː	ˈo	0.193
ˈʊː	ˈoː	0.164
ˈʊː	ˈɒː	0.082
ˈʊː	ˈuː	0.062
ˈʏ	ˈy	0.489
ˈʏː	ˈy	0.361
ˈʏː	ˈø	0.361
ˈʏː	ˈøi̯	0.203
β	ʋ	0.958
