Eastphalian	Saterland Frisian	probability
b	b	0.943
b	p	0.057
d	d	0.769
d	t	0.14
d	-	0.091
f	f	0.921
h	h	1.0
j	j	0.732
j	ɣ	0.242
k	k	0.857
k	s	0.138
l	l	0.98
m	m	0.889
m	-	0.111
n	n	0.684
n	ə	0.211
p	p	0.973
r	r	0.97
s	s	1.0
t	t	0.804
t	d	0.196
v	v	0.886
w	v	0.754
w	w	0.173
w	-	0.074
x	x	0.846
x	-	0.154
z	s	0.817
z	z	0.183
ç	x	0.884
ç	-	0.116
ŋ	ŋ	0.82
ŋ	ɣ	0.18
ɐ	r	0.68
ɐ	ə_r	0.223
ɒː	i	1.0
ə	ə	0.96
ɡ	z	0.489
ɡ	x	0.255
ɡ	ɣ	0.255
ɣ	ɣ	0.603
ɣ	x	0.218
ɣ	ɡ	0.179
ɪ	ɪ	0.569
ɪ	ə	0.431
ʃ	s	1.0
ˈa	ˈoːu̯	0.281
ˈa	ˈɔ	0.165
ˈa	ˈaː	0.155
ˈa	ˈɔː	0.101
ˈa	ˈa	0.078
ˈa	ˈiː	0.059
ˈa	ˈoː	0.058
ˈaʊ̯	ˈoːu̯	0.815
ˈaʊ̯	ˈu	0.128
ˈaʊ̯	ˈuː	0.057
ˈaː	ˈɛ	0.495
ˈaː	-	0.262
ˈaː	ˈoː	0.243
ˈeo̯	ˈoː	1.0
ˈeː	ˈeː	0.317
ˈeː	ˈiː	0.278
ˈeː	ˈeːu̯	0.193
ˈeː	ˈoː	0.112
ˈeː	ˈuː	0.059
ˈiː	ˈi	0.541
ˈiː	ˈiː	0.249
ˈiː	ˈɛɪ̯	0.136
ˈiː	k_ˈi	0.075
ˈoː	ˈoːu̯	0.331
ˈoː	ˈuː	0.319
ˈoː	ˈoː	0.264
ˈuː	ˈuː	0.793
ˈuː	ˈoːu̯	0.089
ˈuː	ˈɛɪ̯	0.086
ˈyː	j_ˈuː	0.663
ˈyː	ˈu	0.337
ˈøː	ˈeː	0.736
ˈøː	j	0.145
ˈøː	ˈuː	0.119
ˈœ	ˈɔ	0.402
ˈœ	ˈa	0.281
ˈœ	ˈɔː	0.123
ˈœ	ˈuː	0.111
ˈœ	ˈeː	0.084
ˈɒː	ˈɔː	0.283
ˈɒː	ˈoːu̯	0.221
ˈɒː	ˈoː	0.168
ˈɒː	ˈʊ	0.127
ˈɒː	ˈɛɪ̯	0.122
ˈɒː	ˈiː	0.079
ˈɔ	ˈɔː	0.233
ˈɔ	ˈuː	0.219
ˈɔ	ˈoːu̯	0.183
ˈɔ	ˈɔ	0.163
ˈɔ	ˈoː	0.114
ˈɔʏ̯	ˈɛɪ̯	0.928
ˈɔʏ̯	ˈeː	0.072
ˈɛ	ˈɔː	0.243
ˈɛ	ˈa	0.18
ˈɛ	ˈɛ	0.129
ˈɛ	ˈeː	0.115
ˈɛ	ˈʊ	0.112
ˈɛ	ˈi	0.092
ˈɛ	ˈiː	0.066
ˈɛ	ˈaːi̯	0.064
ˈɛə̯	ˈɛː	1.0
ˈɛɪ̯	j	0.421
ˈɛɪ̯	ˈeː	0.207
ˈɛɪ̯	ˈɛɪ̯	0.11
ˈɛɪ̯	ˈiː	0.079
ˈɛɪ̯	ˈaː	0.057
ˈɛː	ˈi	0.527
ˈɛː	ˈɔː	0.195
ˈɛː	ˈɛː	0.101
ˈɛː	ˈeː	0.06
ˈɛː	-	0.06
ˈɛː	ˈoː	0.057
ˈɪ	ˈɪ	0.48
ˈɪ	ˈiː	0.273
ˈɪ	j_ˈʊ	0.093
ˈɪ	ˈɔː	0.064
ˈʊ	ˈʊ	0.576
ˈʊ	ˈuː	0.127
ˈʊ	ˈɔ	0.106
ˈʊ	ˈu	0.078
ˈʏ	ˈɛː	0.436
ˈʏ	ˈyː	0.221
ˈʏ	ˈʊ	0.149
ˈʏ	ˈɔ	0.126
