Eastphalian	Saterland Frisian	probability
b	b	1.0
b_m	p	1.0
d	d	0.737
d	t	0.201
d	-	0.053
d_ɐ	r	1.0
f	f	0.896
f	x	0.063
f	-	0.044
h	h	1.0
j	j	0.662
j	ɣ	0.184
j	ˈaːi̯	0.123
k	k	0.845
k	s	0.122
k	h	0.041
l	l	0.951
m	m	0.989
m	-	0.037
n	n	0.71
n	ə	0.195
n	j_ə	0.068
n	-	0.035
p	p	0.944
p	d	0.059
r	r	0.883
r	-	0.068
r	r_j	0.045
s	s	1.0
t	t	0.835
t	d	0.164
v	v	0.862
v	ɣ	0.056
v	-	0.051
v	w	0.047
w	v	0.561
w	-	0.148
w	w	0.126
x	x	0.857
x	-	0.126
z	s	0.704
z	z	0.286
ç	x	0.879
ç	-	0.11
ŋ	ŋ	0.899
ŋ	ɣ	0.101
ɐ	r	0.91
ɐ	-	0.066
ɐ	ə	0.035
ə	ə	0.662
ə	-	0.336
ɡ	ɣ	0.508
ɣ	ɣ	0.692
ɣ	x	0.18
ɣ	ɡ	0.11
ɪ	ɪ	0.723
ɪ	ə	0.211
ʃ	s_k	0.966
ʃ	s	0.048
ˈa	ˈaː	0.189
ˈa	ˈoːu̯	0.189
ˈa	ˈɔː	0.138
ˈa	ˈɔ	0.109
ˈa	ˈɛː	0.076
ˈaʊ̯	ˈoːu̯	0.777
ˈaʊ̯	ˈuː	0.157
ˈaʊ̯	ˈu	0.062
ˈaː	ˈoː	0.216
ˈaː	ˈɛ	0.216
ˈaː	ˈɛː	0.199
ˈaː	ˈiː	0.126
ˈeo̯	ˈoː	1.0
ˈeː	ˈeː	0.295
ˈeː	ˈoː	0.194
ˈeː	j	0.136
ˈeː	ˈiː	0.13
ˈeː	ˈɛɪ̯	0.13
ˈiː	ˈi	0.597
ˈiː	ˈiː	0.259
ˈiː	ˈɛɪ̯	0.134
ˈoː	ˈuː	0.267
ˈoː	ˈoː	0.242
ˈoː	ˈʊ	0.242
ˈoː	ˈoːu̯	0.109
ˈoː_ɐ	ˈoːu̯	1.0
ˈuː	ˈuː	0.825
ˈuː	ˈu	0.094
ˈuː	ˈɛɪ̯	0.072
ˈyː	ˈuː	0.683
ˈyː	ˈu	0.229
ˈøː	ˈeː	0.667
ˈøː	ˈuː	0.333
ˈœ	ˈa	0.285
ˈœ	ˈɔ	0.166
ˈœ	ˈeː	0.145
ˈɒː	ˈɔː	0.491
ˈɒː	ˈɛɪ̯	0.243
ˈɒː	ˈoː	0.107
ˈɒː	ˈiː	0.073
ˈɒː	ˈoːu̯	0.073
ˈɔ	ˈɔ	0.237
ˈɔ	ˈɔː	0.232
ˈɔ	ˈoːu̯	0.162
ˈɔ	ˈoː	0.108
ˈɔ	ˈʊ	0.084
ˈɔʏ̯	ˈɛɪ̯	0.77
ˈɔʏ̯	ˈeː	0.229
ˈɛ	ˈʊ	0.195
ˈɛ	ˈɔː	0.15
ˈɛ	ˈaːi̯	0.102
ˈɛ	ˈi	0.099
ˈɛ	ˈa	0.097
ˈɛə̯	ˈɛː	0.508
ˈɛɪ̯	j_ˈoː	0.268
ˈɛɪ̯	ˈeː	0.192
ˈɛɪ̯	ˈɛɪ̯	0.126
ˈɛɪ̯	ˈaː	0.102
ˈɛɪ̯	ˈiː	0.102
ˈɛː	ˈi	0.252
ˈɛː	ˈɔː	0.252
ˈɛː	ˈɛː	0.125
ˈɛː	-	0.112
ˈɛː	ˈoː	0.112
ˈɪ	ˈɪ	0.589
ˈɪ	ˈiː	0.137
ˈɪ	j_ˈʊ	0.064
ˈɪ	ˈɛ	0.054
ˈɪ	ˈʊ	0.054
ˈʊ	ˈʊ	0.545
ˈʊ	ˈuː	0.17
ˈʊ	ˈoːu̯	0.112
ˈʊ	ˈu	0.09
ˈʊ	ˈɔ	0.07
ˈʏ	ˈɛː	0.441
ˈʏ	ˈyː	0.291
ˈʏ	ˈɔ	0.148
ˈʏ	ˈuː	0.066
