Standard Serbian	Slovak	probability
̌	-	1.0
̂	-	1.0
ʨ	eː	1.0
ʧ	ʧ	1.0
ʎ	ʎ	1.0
ʋ_o	ʋ_ɔ	1.0
ʋ	ʋ	1.0
ɲ	ɲ	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̌	uː	1.0
t_i	c	1.0
t_a	t_a	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
o_̂	ʊ̯ɔ	1.0
m	m	1.0
j_e	j_a	1.0
j	j	1.0
i_̂	i	1.0
eː_̌	ɪ̯ɛ	1.0
eː_n	ɛ_ɲ	1.0
e_̂	ɪ̯ɛ	1.0
a_n	n_iː	1.0
a_k	k_iː	1.0
z	z	0.928
p	p	0.909
oː	ɔ	0.877
n	n	0.869
k	k	0.866
b	b	0.857
iː	i	0.841
o	ɔ	0.824
aː	a	0.821
e	ɛ	0.806
t	t	0.789
u	v	0.728
ʦ	ʦ	0.684
d	d	0.665
a_̂	ɛ	0.641
a	a	0.631
ʒ	ʒ	0.617
uː	u	0.594
i	-	0.591
eː	ɛ	0.541
u_̂	u	0.514
u_̂	ɫ̩	0.486
l	ɫ	0.474
i	i	0.409
ʒ	ʒ̊	0.383
a_̂	aː	0.359
d	ɟ	0.323
ʦ	-	0.316
u	l̩	0.272
uː	ɫ̩	0.264
l	l	0.237
l	ʎ	0.232
t	c	0.211
eː	æ	0.197
e	-	0.194
aː	aː	0.179
o	-	0.176
iː	-	0.159
b	b̥	0.143
uː	uː	0.142
eː	a	0.142
a	ɛ	0.142
n	ɲ	0.131
oː	ʊ̯ɔ_ɫ	0.123
eː	ɪ̯a	0.12
a	-	0.109
a	ɔ	0.099
k	-	0.094
p	f	0.091
z	-	0.072
l	d_ɫ	0.057
