Asturian	Asturian	probability
θ_ˈe	s_e	1.0
θ_#>	z_#>	1.0
ˈe_ɾ	r	1.0
ˈe_u_#>	ɡ_#>	1.0
ˈe_n	ŋ	1.0
ˈa_ð	ˈɛ_d	1.0
ʧ	t	1.0
ʎ_ˈe	l_ˈa	1.0
ʎ	l	1.0
ʃ_u	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_u	e_r	1.0
ɾ_m	l	1.0
ɾ_e	e_r	1.0
ɾ_a	r_a	1.0
ɡ	ɡ	1.0
ɟ͡ʝ	-	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
u_#>	#>	1.0
t_a	t_a	1.0
s_ˈa	s_ˈa	1.0
r	r	1.0
p	p	1.0
n_ˈo	n_ˈo	1.0
m_e_#>	m_#>	1.0
l_#>	l_#>	1.0
k_u_#>	k_#>	1.0
k	k	1.0
j_ˈe	ˈɛ	1.0
f_e	b_ˈɛ	1.0
f	f	1.0
e_s	s	1.0
e_#>	#>	1.0
d	d	1.0
a_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈu	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
#>	t_#>	1.0
t	t	0.926
m	m	0.875
a	a	0.86
ɾ	r	0.79
ʃ	ð	0.778
ɣ	ɡ	0.778
n_u_#>	ŋ_#>	0.778
j	-	0.778
s	s	0.688
l	l	0.688
β	v	0.667
i	-	0.667
b	v	0.636
<#_ɡ	<#_ɡ	0.556
ˈa	ˈɛ	0.553
ʝ	ʧ	0.545
ð	d	0.538
n	ŋ	0.538
e	-	0.526
ɲ	ɲ	0.5
ɲ	-	0.5
w	ˈɔː	0.5
e_ɾ	r	0.5
e_ɾ	a_r	0.5
<#_ʎ	<#_ʧ	0.5
<#_ʎ	<#	0.5
n	n	0.462
ʝ	j	0.455
θ	θ	0.444
<#_ɡ	<#	0.444
w_ˈe	ˈɔ	0.438
ˈu	ˈo	0.429
o	u	0.429
ˈi	ˈe	0.407
u	u	0.4
u	-	0.4
b	b	0.364
o	-	0.357
θ	z	0.333
w	w	0.333
i	i	0.333
ˈa	ˈaː	0.319
e	e	0.316
s	-	0.312
ð	t	0.308
ˈu	ˈuː	0.286
ˈi	ˈiː	0.259
ˈo	ˈʌ	0.258
w_ˈe	ˈɔː	0.25
ˈo	ˈʌu̯	0.226
θ	-	0.222
ʃ	ʤ	0.222
ɣ	-	0.222
n_u_#>	#>	0.222
j	ˈæ	0.222
o	r	0.214
u	d	0.2
β	b	0.19
w_ˈe	ˈuː	0.188
l	-	0.188
ˈi	-	0.185
ˈe	ˈiː	0.17
ˈe	ˈa	0.17
w	ˈuː	0.167
ˈo	ˈɔː	0.161
e	a	0.158
ð	-	0.154
ˈe	ˈa_j	0.149
β	-	0.143
ˈu	ˈʌu̯	0.143
ˈu	-	0.143
ˈo	-	0.129
ˈe	ˈɛː	0.128
ˈa	ˈa	0.128
w_ˈe	ˈo	0.125
m	-	0.125
l	j	0.125
a	-	0.105
ˈo	ˈɔ	0.097
ˈe	ˈɛ	0.085
ˈe	ˈe	0.085
ˈi	j_ˈɔː	0.074
ˈi	e	0.074
t	θ	0.074
ˈo	ˈɛ	0.065
ˈo	ˈo	0.065
