German	East Low German	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#_j	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_tʰ	<#_d	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ʁ	<#_r	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaɪ̯	<#_ˈae̯	1.0
<#_ˈoː	<#	1.0
<#_ˈɛ	<#_ˈɛ	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b	-	1.0
b_n	m	1.0
b̥_#>	f_#>	1.0
d	-	1.0
d_ɐ	ɾ_æ	1.0
d̥_#>	d	1.0
f	f	1.0
f_#>	p_#>	1.0
f_n	p_n	1.0
k	k	1.0
k_n	k_n	1.0
k_s	s	1.0
l	l	1.0
l_#>	l_#>	1.0
l_ə	l_#>	1.0
l_ˈuː	l_ˈaʊ̯	1.0
m	m	1.0
m_ə	m	1.0
n_ə	n	1.0
p͡f	p	1.0
s	t	1.0
s_n	t_n	1.0
s_t	s_t	1.0
t_#>	t	1.0
t_n	d_n	1.0
t_ɐ	ɾ_æ	1.0
x	x	1.0
x_#>	k	1.0
x_t	x_t	1.0
x_ə	k	1.0
z_ə	s	1.0
ç	ç	1.0
ç_#>	k	1.0
ç_t	ç	1.0
ŋ_ɐ	ŋ_æ	1.0
ŋ_ə	ŋ	1.0
ɐ	æ	1.0
ɐ_#>	æ	1.0
ɐ_n	æ_n	1.0
ɐ_t	æ_t	1.0
ə_n	n	1.0
ɡ_n	ŋ	1.0
ɪ_ç	ɪ_ç	1.0
ʃ_#>	ʃ_#>	1.0
ʦ	t	1.0
ˈa_n	ˈa_n	1.0
ˈa_ɐ	ˈaː	1.0
ˈaɪ̯_#>	ˈae̯_#>	1.0
ˈaʊ̯_s	ˈuː_s	1.0
ˈaː_ɐ	ˈoː_æ	1.0
ˈiː_ɐ	ˈiː	1.0
ˈoː_t	ˈaʊ̯_t	1.0
ˈuː_#>	ˈaʊ̯_#>	1.0
ˈyː_s	ˈɔʏ̯_t	1.0
ˈɔ_l	ˈʊ_l	1.0
ˈɔʏ̯_ɐ	ˈyː_æ	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʊ_ɐ	æ	1.0
ˈʏ_k	ˈʏ_ç	1.0
ˈʏ_n	ˈʏ_n	1.0
t	-	0.231
v	w	0.571
s_#>	t	0.692
ˈaː	ˈɒː	0.562
ˈɛ	ˈʏ	0.2
<#_ɡ	<#_ɡ	0.643
ŋ	ŋ_k	0.333
ə	ˈaɪ̯_æ	0.143
ɡ	-	0.333
ˈa	ˈɒː	0.143
ˈeː	ˈɛ	0.333
ˈeː	ˈae̯	0.333
ˈeː	ˈeː	0.333
ˈiː	ˈiː	0.273
ˈɛ	ˈɛː	0.3
ˈʊ	ˈɔ	0.333
t	d	0.154
ɡ̊_#>	x_#>	0.4
ˈaɪ̯	ˈɪ	0.174
ˈaʊ̯	ˈuː	0.714
ˈuː	ˈaʊ̯	0.714
ˈɔ	ˈuː	0.4
t	t	0.615
ˈa	ˈɔ	0.095
ˈa	ˈaʊ̯	0.095
ˈaː	ˈɛː	0.125
ˈaː	ˈaː	0.125
ˈoː	ˈɒː	0.5
ˈoː	ˈaʊ̯	0.5
ˈyː	ˈœː	0.5
ˈyː	ˈɔʏ̯	0.5
ˈɛ	ˈɛ	0.5
ˈɛ_ɐ	ˈiː_æ	0.5
ˈɛ_ɐ	ˈaː	0.5
ˈɪ	ˈɛ	0.125
ˈɪ	ˈɪ	0.875
n	-	0.236
ɡ̊_#>	ç_#>	0.6
ʁ	-	0.16
ʁ	r	0.76
ˈaʊ̯	ˈaʊ̯	0.286
ˈuː	ˈɔʏ̯	0.286
ˈɔ	ˈɔ	0.6
<#_ɡ	<#_j	0.357
n	n	0.727
ŋ	ŋ	0.667
ə	-	0.857
ɡ	ɡ	0.667
ˈa	ˈa	0.667
ˈiː	ˈae̯	0.727
ˈʊ	ˈʊ	0.667
s_#>	s	0.308
ʁ	r_ˈʏ	0.08
ˈaɪ̯	ˈae̯	0.348
ˈaɪ̯	ˈiː	0.478
ˈaː	ˈa	0.188
v	v	0.429
