Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɑ̃	ˈa_n	1.0
ˈyː	-	1.0
ˈy	ˈu	1.0
ˈu	ˈu	1.0
ˈoː_t	ŭ	1.0
ˈoː	ˈo	1.0
ˈeː	-	1.0
ˈa_#>	#>	1.0
ʤ	-	1.0
ʒ	ʒ	1.0
ʀ_w	ɾ	1.0
ɲː	ʤ_e	1.0
ɛː	a_ʤ	1.0
ɔ̃	u_n	1.0
z	z	1.0
w_ˈa	ˈɔ_ɾ	1.0
v	b	1.0
uː	-	1.0
u	ʧ_ˈi	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k_l	k_ɾ	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
ẽ	ŋ	1.0
d_ˈiː	ˈa	1.0
d	d	1.0
b	b	1.0
<#_ʤ	<#_ʤ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a_w	<#_ˈa	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
k	k	0.818
f	f	0.815
ˈɔː	ˈa	0.75
a	a	0.714
ˈuː	ˈɔ	0.667
ˈẽ	ˈi_n	0.667
i	i	0.667
s	s	0.647
ʀ	ɾ	0.63
ɲ	n_ʤ	0.625
ɡ	ɡ	0.6
n	n_a	0.571
ʧ	k	0.562
ˈøː	ˈu	0.556
ˈɛ̃	ˈɛ_n	0.545
ˈe	ˈa_i	0.533
ˈi	ˈi	0.5
ˈa	ˈa	0.5
ɔ	ˈɔ	0.455
l	l	0.444
ˈɛ	ˈi	0.433
ˈɛː	-	0.429
#>	u_#>	0.418
ˈɔ	ˈu	0.4
ˈɔ	ˈo	0.4
ɡ	ɣ	0.4
ˈɔ̃	ˈɔ_n	0.364
ˈɔ̃	ˈo_n	0.364
#>	i_#>	0.342
ˈi	ˈɛ	0.333
ˈẽ	n_i	0.333
ʃ	s	0.333
ɛ	i	0.333
ɛ	a	0.333
ɛ	-	0.333
i	-	0.333
ˈiː	ˈɛ	0.312
ʧ	k_a	0.312
ˈɛː	ˈe	0.286
ˈɛː	ˈa_ð	0.286
a	-	0.286
l	ɾ	0.278
ˈɛ̃	n	0.273
ˈɔ̃	ˈu_n	0.273
ˈe	ˈa	0.267
ʃ	ʃ	0.267
ˈɔː	-	0.25
ˈiː	ˈa_i	0.25
ɲ	n	0.25
w	-	0.227
ˈøː	ˈɔ	0.222
ˈøː	ˈo_ɣ	0.222
ˈa	u	0.222
#>	a_#>	0.219
n	n	0.214
n	-	0.214
ˈɛ	ˈɛ	0.2
ˈɔ	ˈɔ	0.2
ˈe	i	0.2
ʃ	s_k	0.2
ʃ	-	0.2
ˈiː	ˈi	0.188
ˈɛ̃	-	0.182
ɔ	ˈo	0.182
ɔ	ɔ	0.182
ɔ	u	0.182
w	ˈi	0.182
w	w	0.182
s	ʧ	0.176
ˈuː	ˈo_u	0.167
ˈuː	ɾ_ˈu	0.167
ˈi	-	0.167
ˈa	ˈɔ	0.167
l	-	0.167
j	ɣ	0.154
j	a	0.154
ʀ	r	0.152
w	ˈa	0.136
ˈiː	ˈe	0.125
ˈiː	ˈa	0.125
ʧ	ʤ	0.125
ɲ	ɲ	0.125
j	ˈɛ	0.115
j	-	0.115
ˈa	-	0.111
l	l_ˈa	0.111
f	-	0.111
ˈɛ	ð_u	0.1
w	ˈo	0.091
w	ɾ	0.091
w	a	0.091
k	ɡ	0.091
k	-	0.091
ʀ	i	0.087
j	ɾ_i	0.077
j	ɭː_a	0.077
j	ɭː	0.077
j	ɖː_a	0.077
j	ð_a	0.077
j	i	0.077
f	β	0.074
ˈɛ	ˈe	0.067
ˈɛ	ʒ_i	0.067
ˈɛ	u	0.067
ˈɛ	-	0.067
s	ʦ	0.059
s	s_t	0.059
s	i_ʒ	0.059
