Luxembourgish	Luxembourgish	probability
ˈʊ	ˈuə̯	1.0
ˈɛː	-	1.0
ˈəʊ̯_d̥_#>	ˈɪə̯_#>	1.0
ˈɔ	-	1.0
ˈɑʊ̯	-	1.0
ˈɑ_l	ˈɪə̯	1.0
ˈæːʊ̯	ˈuː	1.0
ˈæ	-	1.0
ˈuː	ˈoə̯	1.0
ˈiː_ɐ	r	1.0
ˈiə̯	-	1.0
ˈaː_ʀ	ˈoə̯_n	1.0
ʦ	t	1.0
ʑ	ɣ	1.0
ʀ_ˈɜɪ̯	r_ˈiə̯	1.0
ɡ̊	-	1.0
ə_v̥	l	1.0
ə_f	v_ə	1.0
ɕ_#>	k_#>	1.0
z̥_#>	s_#>	1.0
w	v	1.0
v̥_#>	f_#>	1.0
tʰ	-	1.0
pʰ	p	1.0
p	p	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
kʰ	ʦ	1.0
j	j	1.0
h	h	1.0
f_#>	p_#>	1.0
e	ɪ	1.0
d_ɐ	r	1.0
b	b	1.0
<#_ˈaː	<#_ˈaː	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_d	<#_t	1.0
m	m	0.92
d	d	0.905
s	t	0.882
t	t	0.875
l	l	0.872
ɡ	ɡ	0.857
f	f	0.84
d̥	d̥	0.818
v	ʋ	0.773
ʀ	r	0.762
ɕ	χ	0.733
z	s	0.733
ʃ	s	0.667
ŋ	ŋ	0.667
n_d̥	n	0.667
n	n	0.636
ˈo	ˈɔ	0.625
ə	ə	0.62
ˈə	ˈɪ	0.6
ˈuə̯	ˈa	0.6
ˈu	-	0.6
ˈeː	-	0.6
k	k	0.556
χ	k_ə	0.5
χ	k	0.5
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈəʊ̯	-	0.5
ˈiː	j_ˈɔ	0.5
ˈiː	j	0.5
ɐ	r	0.452
ˈi	-	0.429
ˈæːɪ̯	ˈi	0.417
ˈuə̯	-	0.4
ˈoː	ˈiə̯	0.4
ˈoː	-	0.4
ɐ	ə_r	0.387
ˈo	-	0.375
ˈaː	ˈa	0.375
ˈæːɪ̯	ˈiː	0.333
ˈe	ˈɪ	0.333
ʃ	s_k	0.333
ŋ	n	0.333
n_d̥	n_ə	0.333
ˈi	ˈiə̯	0.286
ˈi	ˈeː	0.286
ˈɜɪ̯	ˈɪə̯	0.278
ˈɜɪ̯	ˈiə̯	0.278
#>	n_#>	0.273
ˈeː	ˈiə̯	0.267
ˈəʊ̯	ˈɪə̯	0.25
ˈəʊ̯	ˈoə̯	0.25
ˈæːɪ̯	ˈɛ	0.25
ˈaː	ˈɪə̯	0.25
ˈe	ˈɛː	0.222
ˈe	ˈiə̯	0.222
ˈe	j_ˈɔ	0.222
k	χ	0.222
k	ɣ_ə	0.222
ə	-	0.22
n	ə	0.205
ˈə	-	0.2
ˈɑɪ̯	ˈɛ_j	0.2
ˈɑɪ̯	ˈuː	0.2
ˈɑɪ̯	j_ˈuə̯	0.2
ˈɑɪ̯	j	0.2
ˈɑɪ̯	-	0.2
ˈɑ	ˈɪ	0.2
ˈɑ	ˈɔː	0.2
ˈɑ	-	0.2
ˈu	ˈuə̯	0.2
ˈu	ˈoː	0.2
ˈoː	ˈaː	0.2
d̥	n	0.182
#>	χ_#>	0.182
#>	ˈoː_#>	0.182
#>	k_ə_#>	0.182
#>	d̥_#>	0.182
ˈɜɪ̯	j_ˈɪ	0.167
f	p	0.16
ˈɑ	ˈiː	0.15
ˈɑ	ˈa	0.15
ʀ	-	0.143
ɡ	j	0.143
v	v	0.136
ˈə	ˈi	0.133
ˈeː	ˈɪə̯	0.133
ɕ	k_ə	0.133
ɕ	k	0.133
z	ɕ	0.133
z	s_ˈɪ	0.133
ˈaː	ˈɛː	0.125
ˈaː	ˈɛ	0.125
ˈaː	ˈaː	0.125
t	d̥	0.125
s	ˈi_t	0.118
ˈɜɪ̯	ˈeː	0.111
ˈɜɪ̯	-	0.111
ˈɑ	ˈi	0.1
ə	j	0.1
ɐ	-	0.097
ʀ	ˈoə̯	0.095
d	ʦ	0.095
v	ʋ_ˈaː	0.091
m	r_m	0.08
l	l_ˈɪ	0.077
n	-	0.068
ˈə	ˈøə̯	0.067
ɐ	ə	0.065
ə	z	0.06
ˈɜɪ̯	ˈu̯o	0.056
l	-	0.051
