Zeelandic	Zeelandic	probability
ˈɒː	-	1.0
ˈɑu̯	ˈɑ_w	1.0
ˈæi̯	ˈa	1.0
ˈyː	ˈɑi̯	1.0
ˈuːə̯	-	1.0
ˈuː	ˈʏ	1.0
ˈu	ˈʏ	1.0
ˈoː	-	1.0
ˈiːə̯	ˈɑ	1.0
ˈeː_t	s	1.0
ɾ_t	ʦ	1.0
ɫ_ə	w	1.0
ɪ	-	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_ə	s	1.0
x_ə_#>	k_#>	1.0
x_t	x_t	1.0
x_#>	ɡ̊_#>	1.0
w	-	1.0
v̥	b̥	1.0
s_x	ʃ	1.0
s_t	s_t	1.0
p	f	1.0
n_ə	n	1.0
n_#>	#>	1.0
m	m	1.0
k_ə	x	1.0
iː	ɑ	1.0
i	-	1.0
d̥_#>	#>	1.0
d_ɾ	t_r	1.0
d_ə	d̥	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_x	<#_ɡ	1.0
<#_t	<#_ʦ	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
<#	<#_h	1.0
#>	n_#>	1.0
n	n	0.944
s	ʃ	0.875
ʋ	v	0.812
z	z	0.8
v	f	0.792
ɫ	w	0.767
ɾ	r	0.737
ˈɑ	ˈɑ	0.722
ˈi	ˈai̯	0.667
ˈɪ	ˈɘ̟	0.615
ˈɪə̯	-	0.6
v̥_#>	f_#>	0.6
ˈɔ	ˈu	0.588
ˈeː	-	0.571
d̥	t	0.571
k	k	0.565
ˈʏ	ˈɘ̟	0.5
ˈʏ	ˈu	0.5
ˈøː	ˈu	0.5
ˈøː	-	0.5
t	s	0.5
ə	a	0.467
ˈiː	ˈi	0.462
ˈʊə̯	ˈu	0.455
ˈeː	ˈɑ	0.429
d̥	d̥	0.429
ˈɪə̯	ˈa	0.4
v̥_#>	#>	0.4
ˈʊə̯	ˈɑi̯	0.364
ˈɛː	ˈø	0.353
ˈi	ˈɘ̟	0.333
x	x	0.333
ˈɛː	-	0.294
ə	ɛ	0.289
ˈɑ	ˈɔ	0.278
t	t	0.278
ˈæ	ˈɛ	0.25
ˈæ	ˈi̯ø	0.25
ˈɔ	-	0.235
ˈiː	-	0.231
x	ɡ	0.222
x	ɟ	0.222
x	-	0.222
t	ʦ	0.222
z	ʃ	0.2
ʋ	v_ˈɛ	0.188
ˈʊə̯	-	0.182
ˈɛː	ˈɔ	0.176
ˈɛː	ˈɑ	0.176
ˈɔ	ˈɘ̟	0.176
k	x	0.174
ˈæ	ˈɘ̟	0.167
ˈæ	ˈa	0.167
ˈæ	-	0.167
ɫ	l	0.167
ɾ	-	0.158
ˈɪ	ˈei̯	0.154
ˈɪ	-	0.154
ˈiː	ˈɑi̯_ɛ	0.154
ˈiː	ˈɑi̯	0.154
k	ɡ̊	0.13
k	ç	0.13
v	v	0.125
s	s	0.125
ə	ə	0.111
v	-	0.083
ˈɪ	ˈɪ	0.077
ɫ	-	0.067
ə	n	0.067
ə	-	0.067
n	-	0.056
ɾ	ɛ_r	0.053
ɾ	r_ˈai̯	0.053
