Limburgish	Limburgish	probability
ˈʏː	-	1.0
ˈʊ	ˈʉ	1.0
ˈɛːi̯	-	1.0
ˈɛː_l	ˈœ	1.0
ˈɛː_k	k	1.0
ˈɔu̯	-	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈøː_ʀ	r	1.0
ˈøː_j	ɑ̃	1.0
ˈyː	rː	1.0
ˈoː	-	1.0
ʀ_ə_#>	nː_#>	1.0
ɪ	ʉ	1.0
ɣ̊_#>	#>	1.0
ɣ̊	ɣ	1.0
ɡ	-	1.0
ə_ʀ	r	1.0
ə_p	p	1.0
ə_m	m	1.0
ə_k	k	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
w	lː	1.0
v̥	v	1.0
s_l	l̥	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
m	m	1.0
i	ɔ̃	1.0
d̥	ð	1.0
d_ə	ɑ	1.0
b	b	1.0
<#_β	<#	1.0
<#_ʀ	<#_r	1.0
<#_ɦ	<#	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#	<#_ˈɛ	1.0
#>	ʉ_#>	1.0
ʀ	r	0.862
β	w	0.85
z	s	0.84
n	n	0.833
ˈɪː	ˈɪ	0.818
ˈuː	ˈɑːu̯	0.778
d̥_#>	d_#>	0.778
v	f	0.773
l	ɽ	0.763
ˈɪ	-	0.75
t	t	0.75
ʃ	s_ʨ	0.714
ˈu	ˈœː	0.667
k_#>	ɡ_#>	0.667
ˈɛ	-	0.625
ˈɛː	ˈiːe̯	0.615
ˈœ	ˈʏ	0.6
ˈøː	ˈyːœ̯	0.6
ˈæː	j	0.6
ŋ	ŋ_ɡ	0.6
p	p	0.6
d	d	0.594
ˈɒː	-	0.571
ˈɑː	ˈɑ	0.571
ɣ	ɡ	0.562
ˈɔː	ˈʉ	0.5
ˈɔː	ˈœː	0.5
ˈɔ	ˈʉ	0.5
ˈɔ	-	0.5
ˈæ	ˈɛ	0.5
ˈæ	ˈɑ	0.5
ˈiː	ˈɑːi̯	0.5
ɦ	ˈoː	0.5
ɦ	j	0.5
s	s	0.474
ˈɑ	-	0.444
ə	ɑ	0.431
ˈɒː	ˈɔː	0.429
ˈɑː	-	0.429
k	kʰ	0.417
j	ð	0.417
j	-	0.417
ˈœ	v	0.4
ˈøː	-	0.4
ˈæː	ˈɑ	0.4
ŋ	ŋ	0.4
ˈɛ	ˈɪ	0.375
ˈaː	ˈɑː	0.368
ˈi	-	0.364
d	tʰ	0.344
ˈɑ	ˈɑ	0.333
ˈu	ˈoː	0.333
k_#>	#>	0.333
ˈeː	-	0.31
ˈiː	ˈɪː	0.3
ʃ	s_k	0.286
ˈeː	j_ˈʉːə̯	0.276
ˈi	ˈɪː	0.273
ˈaː	-	0.263
ˈʊː	ˈʉ	0.261
ˈʊː	-	0.261
ˈɪ	ˈɛ	0.25
ɣ	ɣ	0.25
x	ɣ	0.25
x	tː	0.25
x	k_t	0.25
x	-	0.25
k	k	0.25
ˈɛː	-	0.231
ˈɑ	ˈæ	0.222
ˈuː	ˈʉː	0.222
d̥_#>	#>	0.222
ˈʊː	ˈʉːə̯	0.217
s	s_k	0.211
ˈiː	-	0.2
p	pː	0.2
p	pʰ	0.2
ɣ	ʥ	0.188
t	tː	0.188
ə	ɛ	0.185
ˈɪː	-	0.182
ˈi	ˈɪ	0.182
ˈi	ˈɔː	0.182
ˈʊː	ˈʉə̯	0.174
n	nː	0.167
j	l	0.167
z	s_j	0.16
ˈaː	ˈɑ	0.158
s	s_t	0.158
ˈɛː	ˈɛ	0.154
ə	-	0.154
β	w_ˈɛː	0.15
v	v	0.136
l	-	0.132
ə	ɔ	0.123
ˈaː	ˈɔː	0.105
ˈaː	ˈo	0.105
s	s_ʨ	0.105
l	lː	0.105
ˈeː	ˈʉːə̯	0.103
ˈeː	ˈɪː	0.103
ˈeː	ˈæ	0.103
ˈeː	j	0.103
v	-	0.091
ˈʊː	ˈɔː	0.087
k	ʨ	0.083
k	ɡː	0.083
k	kː	0.083
k	-	0.083
ʀ	-	0.069
ə	n	0.062
t	-	0.062
d	-	0.062
s	sː	0.053
