Kashubian	Kashubian	probability
ʧ_i	a_k	1.0
ʧ	-	1.0
ʦ_#>	t_#>	1.0
ʤ	-	1.0
ʣ	d	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ʉ	u	1.0
ɾ	r	1.0
ɲ	n	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɔ_#>	o_#>	1.0
z	z	1.0
x	x	1.0
v_j	ʋ	1.0
v	ʋ	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̝	r	1.0
r_i	a_r	1.0
p	p	1.0
õ	uː	1.0
m_ə	a_n	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_ɞ	iː	1.0
j_ã	eː	1.0
i_#>	#>	1.0
f	ʋ	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	̂	1.0
a_#>	a_#>	1.0
a	a	1.0
<#_u̯ɛ	<#_o	1.0
<#_p	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
#>	̂_#>	0.875
u̯ɛ	o	0.846
n	n	0.833
ˈ	̂	0.707
r	r	0.684
ʃ	ʧ	0.667
ɛ_ˈ	̂	0.667
w	l	0.55
ʦ	ʦ	0.5
ʦ	t_i	0.5
ɛ	e	0.5
ɔ_ˈ	̂	0.5
ɔ_ˈ	aː	0.5
i	iː	0.5
i	i	0.5
ã	e	0.5
ã	-	0.5
ə	iː	0.467
e	iː	0.444
ɞ	uː	0.429
ə	i	0.4
u	oː	0.385
w	-	0.35
ʃ	ʃ	0.333
ɛ_ˈ	e	0.333
e	-	0.333
r	-	0.316
ɔ	o	0.308
ɔ	e	0.308
u	-	0.308
j	i	0.3
j	-	0.3
ɞ	aː	0.286
ɞ	-	0.286
ɔ	oː	0.231
e	e	0.222
j	iː	0.2
j	e	0.2
n	-	0.167
ɔ	aː	0.154
u̯ɛ	oː	0.154
u	o	0.154
u	eː	0.154
ˈ	-	0.152
ɛ	r̩	0.15
ɛ	a	0.15
ə	uː	0.133
#>	a_#>	0.125
ˈ	̌	0.121
ɛ	i	0.1
ɛ	-	0.1
w	uː	0.1
