Catalan	Catalan	probability
ˈi_#>	ˈiː_#>	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	w_ˈɛː	1.0
ˈa_t	ˈɛː	1.0
ˈa_#>	ˈaː_#>	1.0
ʤ	-	1.0
ʒ	ʤ	1.0
ʎː	-	1.0
ʎ_#>	l_u_#>	1.0
ʃ_ə	ʃ_e	1.0
ʃ	ʃ	1.0
ɾ_ˈɛ	r_ˈe	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə_β	a_v	1.0
ə_ð	ɥ	1.0
ə_s	e	1.0
ə_n	e_n	1.0
ə_l	j	1.0
ə_#>	#>	1.0
ð_ə	a	1.0
w_ɾ	d	1.0
u_ɾ	w	1.0
t_ə	t_a	1.0
r_n	r_n	1.0
r_#>	#>	1.0
p_l	ʧ	1.0
p	p	1.0
n_ə	ŋ_a	1.0
n_#>	ŋ_t_e_#>	1.0
mː	-	1.0
m_#>	m_e_#>	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
k_#>	ɡ_u_#>	1.0
k	k	1.0
j_t	t	1.0
j	-	1.0
f_l	ʃ	1.0
f	f	1.0
d_ɾ	j	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
m	m	0.933
s	s	0.927
t	t	0.923
<#_b	<#_v	0.905
d	d	0.867
r	r	0.833
β	v	0.75
ˈa_l	ˈaː	0.75
b	b	0.733
ɾ_ə	r_u	0.714
s_#>	i_#>	0.714
ʧ	z_u	0.667
i	i	0.667
<#_ə	<#	0.667
ˈa	ˈa	0.653
ə	a	0.638
ʎ	l	0.632
w_#>	ʒ_e_#>	0.625
ð	-	0.6
ˈe	ˈe	0.586
ɲ	ɲ	0.583
u	u	0.556
#>	u_#>	0.547
l	l	0.545
ˈo	ˈu	0.522
ɾ	r	0.517
ˈi	ˈi	0.5
z	z	0.5
z	-	0.5
ˈɛ	ˈe	0.471
l	-	0.455
n	ŋ	0.421
ð	t	0.4
w_#>	#>	0.375
w	w	0.375
ʧ	sː	0.333
ŋ	ŋ	0.333
i	-	0.333
<#_ə	<#_a	0.333
ʎ	ʤ	0.316
n	ŋ_t	0.316
ˈɔ	ˈɔː	0.311
ˈa	ˈaː	0.286
ɾ_ə	r	0.286
s_#>	#>	0.286
ɾ	-	0.276
n	n	0.263
ˈo	ˈuː	0.261
β	-	0.25
ˈa_l	ˈaː_r	0.25
ɲ	n	0.25
ˈɔ	ˈøː	0.244
ˈu	ˈyː	0.241
ˈu	ˈy	0.241
ˈɛ	ˈeː	0.235
ŋ	ŋ_ɡ	0.222
ŋ	ŋ_k	0.222
ŋ	-	0.222
u	j	0.222
ˈi	ˈiː	0.219
#>	ŋ_#>	0.209
ˈu	ˈø	0.207
ɾ	j	0.207
ə	e	0.202
ˈɔ	ˈu	0.2
w	v	0.188
ˈɛ	ˈɛː	0.176
#>	e_#>	0.174
ˈe	ˈeː	0.172
ɲ	-	0.167
r	u	0.167
ˈɔ	ˈɔ	0.156
ˈi	-	0.156
ˈu	ˈu	0.138
ˈe	-	0.138
d	-	0.133
b	ʒ	0.133
b	-	0.133
ˈo	ˈy	0.13
ˈi	ˈeː	0.125
w	v_e	0.125
w	j_v	0.125
w	-	0.125
u	ɔː	0.111
u	w	0.111
ˈu	-	0.103
ˈe	ˈɛ	0.103
<#_b	<#	0.095
ˈɔ	ˈuː	0.089
ˈo	u	0.087
t	d_u	0.077
ə	u	0.074
ˈu	ˈuː	0.069
m	-	0.067
w	o	0.062
ˈa	ˈɛː	0.061
ˈɛ	ˈuː	0.059
ˈɛ	-	0.059
ʎ	-	0.053
ə	-	0.053
