Gallurese	Gallurese	probability
ʧː	-	1.0
ʦː	-	1.0
ʦ	θ	1.0
ʤ	-	1.0
ʣ	-	1.0
ʒ	θ	1.0
ʃː	θ	1.0
ɲː	ɲ	1.0
ɖː_i	l	1.0
ŋ	ŋ	1.0
z	s	1.0
w	β	1.0
v	b	1.0
u_#>	#>	1.0
sː	s	1.0
s	s	1.0
r_ˈa	ɾ_ˈa	1.0
r_u	ɾ_o	1.0
r_a	ɾ_a	1.0
r	ɾ	1.0
pː	β	1.0
p_u	p_o	1.0
p_j	ɟ͡ʝ	1.0
p_a	β	1.0
o	o	1.0
n_i_#>	n_#>	1.0
mː_a	m_b	1.0
mː	m	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l_u	l_o	1.0
l_t	ɾ	1.0
kː	k	1.0
i_#>	#>	1.0
fː	f	1.0
f	f	1.0
e	-	1.0
d_i	ˈe	1.0
cː	x	1.0
c	ɟ͡ʝ	1.0
bː	-	1.0
b_ˈa	b_ˈa	1.0
b_a	β_a	1.0
a_t	a_ð	1.0
a_p	a_β	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_θ	1.0
<#_ɟ	<#_x	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_a	<#_o	1.0
p	p	0.897
a	a	0.87
b	b	0.867
#>	ɾ_#>	0.862
n	n	0.86
<#_f	<#	0.846
ˈa	ˈa	0.842
ʧ	θ	0.833
ˈo	ˈo	0.824
u	o	0.804
k	k	0.796
ɖː	ʝ	0.769
t	t	0.719
ˈɔ	w_ˈe	0.641
d	d	0.625
rː	ɾ_n	0.6
nː	-	0.6
<#	<#_e	0.6
ˈu	ˈu	0.571
ˈi	ˈi	0.571
ɡ	ɡ	0.571
l	ɾ	0.536
ˈe	ˈe	0.5
ɟː	ʝ	0.5
ɟː	-	0.5
ɟ	ɟ͡ʝ	0.5
ɟ	e	0.5
l	l	0.464
i	e	0.458
ˈɛ	j_ˈe	0.429
ˈu	ˈo	0.429
ˈi	ˈe	0.429
ɡ	ɣ	0.429
tː	ʧ	0.429
ˈe	j	0.409
rː	ˈe_r	0.4
nː	ɲ	0.4
ˈɛ	ˈe	0.381
tː	t	0.357
j	j	0.333
ˈɔ	ˈo	0.308
t	ð	0.281
d	-	0.25
ɖː	x	0.231
j	β_j	0.222
j	s	0.222
j	-	0.222
tː	ð	0.214
<#	<#_ɡ	0.2
<#	<#_a	0.2
ˈɛ	ˈi	0.19
ˈo	w	0.176
ʧ	x	0.167
<#_f	<#_ˈi	0.154
i	i	0.146
b	β	0.133
d	ð	0.125
k	ɣ	0.122
p	β	0.103
n	-	0.093
ˈe	ɾ	0.091
i	o_s	0.083
i	-	0.083
ˈa	ˈe	0.07
#>	n_#>	0.069
#>	a_#>	0.069
i	β_e	0.062
a	e	0.058
ˈa	j_ˈe	0.053
u	e	0.052
ˈɔ	-	0.051
