Scots	Middle English	probability
θ	θ	1.0
ˈʌu̯	-	1.0
ˈɪ_n	ˈiː_n	1.0
ˈɛː	ˈæi̯	1.0
ˈəi̯	ˈiː	1.0
ˈɔɪ̯	ˈɛ_r	1.0
ˈøː	-	1.0
ˈø	ˈoː	1.0
ˈuː	ˈuː	1.0
ˈoː	ˈɔː	1.0
ˈo	ˈɔ	1.0
ˈi_n	ˈeː_n	1.0
ˈaːɪ̯	ˈiː	1.0
ˈaɪ̯	ˈiː_ə	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ʍ	ʍ	1.0
ʃ	ʃ	1.0
ɪ	iː	1.0
ɛ	ə	1.0
ə_t	i	1.0
ə_r	r	1.0
z	z	1.0
x	x	1.0
w	w	1.0
v	v	1.0
t	t	1.0
s_ˈɪ	s_ˈu	1.0
s	s	1.0
r_t	r_t	1.0
r_n	r_n	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
l_d	ɫ_d	1.0
kʰ	k	1.0
j_ˈu	ˈɛu̯	1.0
j	j	1.0
h	h	1.0
f	f	1.0
e	iː	1.0
d_ˈe	d_ˈɛː	1.0
d	d	1.0
b	b	1.0
r	r	0.97
k	k	0.918
ɡ	ɡ	0.797
ç	ç	0.793
ˈʌ	ˈu	0.77
ə	ə	0.768
ˈu	ˈuː	0.767
l	l	0.751
ˈɛ	ˈɛ	0.742
ˈɪ	ˈi	0.686
ˈe	ˈɔː	0.672
i	iː	0.611
ð	ð	0.597
ˈɑː	ˈɔː	0.498
ˈi	ˈeː	0.486
ˈa	ˈa	0.471
ŋ	ŋ_ɡ	0.471
ˈiː	ˈeː	0.45
ð	d	0.403
ˈeː	ˈa	0.402
ˈiː	ˈɛː	0.399
i	eː	0.389
ŋ	ŋ	0.368
ˈa	-	0.336
ˈe	ˈaː	0.328
l	ɫ	0.249
ˈeː	ˈɛː	0.246
ˈi	ˈɛː	0.244
ˈu	-	0.233
ˈʌ	-	0.23
ˈɑː	ˈa_ɫ	0.227
ç	x	0.207
ˈi	ˈi	0.206
ɡ	ʤ	0.203
ˈa	ˈɛ	0.193
ŋ	n_ɡ	0.161
ˈeː	ˈaː	0.14
ˈɪ	ˈu	0.135
ˈɛ	ˈa	0.13
ə	d_ə	0.116
ˈɑː	ˈɔu̯	0.112
ˈɑː	-	0.112
ˈeː	ˈɔː	0.106
ˈeː	ˈæi̯	0.106
k	ʧ	0.082
ˈɛ	ˈɛː	0.08
ˈiː	ˈiː_ə	0.079
ə	ɡ_ə	0.076
ˈiː	-	0.072
ˈɪ	ˈoː	0.069
ˈi	-	0.065
ˈɪ	ˈeː	0.059
ˈɪ	ˈiː	0.05
