Zeelandic	Middle English	probability
ˈɛː_n	n	1.0
ˈɔ_n	ˈuː	1.0
ˈɑu̯	-	1.0
ˈɑ_n	ˈoː	1.0
ˈæi̯	ˈɔː	1.0
ˈæ_x	ˈæi̯	1.0
ˈiːə̯	ˈeː	1.0
ɫ_ə	ɫ	1.0
ə_ɾ	r_ə	1.0
x_ə	ʤ	1.0
t	t	1.0
s_ɫ	s_l	1.0
s_x	ʃ	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː	eː	1.0
d̥	d	1.0
b	b	1.0
ɾ	r	0.973
z	s	0.881
ʋ	w	0.853
n	n	0.837
ŋ	ŋ	0.813
ɫ	l	0.776
ˈyː	ˈuː	0.766
ˈu	ˈu	0.755
ə_n	n	0.75
k	k	0.739
v	f	0.732
ə	ə	0.697
d	θ	0.664
ˈʏ	ˈu	0.662
n_ə	n_ə	0.661
ˈøː	ˈu	0.629
s	s	0.611
ˈæ	ˈɛ	0.548
ˈɪə̯	ˈɔː	0.525
ˈuː	ˈoː	0.507
ˈɒː	ˈa	0.5
ˈɒː	-	0.5
ˈʊə̯	ˈɛː	0.495
ˈuː	ˈeː	0.493
ˈɔ	ˈu	0.479
ˈi	ˈi	0.449
ˈɪ	ˈiː	0.445
x	ɡ	0.436
ˈɛː	ˈɛː	0.429
ˈɑ	ˈa	0.424
ˈɪ	ˈi	0.412
ˈiː	ˈeː	0.382
ˈøː	-	0.371
n_ə	n	0.339
ˈʏ	-	0.338
ˈiː	-	0.334
ˈɛː	ˈaː	0.333
ˈeː	ˈɛː	0.331
ˈeː	ˈɛ	0.331
ˈɔ	-	0.326
ˈɑ	ˈɔː	0.31
ˈi	ˈiː	0.301
ˈɪə̯	-	0.28
d	d	0.273
v	v	0.268
k	ʧ	0.261
ˈi	-	0.25
ə_n	i	0.25
s	ʃ	0.246
ˈu	-	0.245
ˈæ	ˈi	0.238
ˈyː	ˈiː	0.234
ˈʊə̯	ˈɔ	0.231
ə	ə_n	0.231
ˈæ	ˈa	0.214
x	ə	0.211
ˈɪə̯	ˈɛː	0.195
ŋ	n_ɡ	0.187
ˈeː	ˈi	0.169
ˈeː	-	0.169
ˈʊə̯	-	0.163
x	ç	0.162
ɫ	ɫ	0.151
ʋ	ʍ	0.147
ˈɛː	-	0.146
ˈɪ	ˈeː	0.143
s	k_s	0.143
ˈɑ	-	0.128
ˈɔ	ˈɔ	0.123
ˈiː	ˈɔu̯	0.123
z	z	0.119
x	ˈæi̯	0.115
n	-	0.115
ˈʊə̯	h	0.111
ˈɛː	ˈɛ	0.092
ˈiː	ˈiu̯	0.081
ˈiː	ˈi	0.08
x	x	0.076
ˈɔ	r	0.072
ɫ	l_ˈɛː	0.072
d	ð	0.063
ˈɑ	ˈaː	0.057
