Bellunese	Catalan	probability
ʤ	ɡ	1.0
l	ʎ	0.731
p	-	0.061
z	-	0.561
ˈe	-	0.051
ˈɛ	-	0.171
a	ə	0.932
f	-	0.082
j	l	0.352
k	k	0.922
m	m	0.922
n	n	0.812
o	ə	0.302
v	b	0.492
w	-	0.302
ɡ	ɡ	0.332
ɲ	ɲ	0.922
ʧ	ʎ	0.702
ˈo	ˈu	0.122
ˈo	ˈo	0.322
ˈɛ	ˈi	0.072
d	ð	0.323
d	d	0.553
f	f	0.913
i	ˈe	0.093
o	ˈo	0.063
o	ˈɔ	0.083
ɡ	-	0.123
ˈɔ	ˈo	0.063
b	k	0.064
i	-	0.314
j	ʎ	0.064
s	ʃ	0.144
s	ə_s	0.164
s	s	0.64
t	-	0.074
z	m	0.064
ŋ	ŋ	0.224
ɡ	ɣ	0.364
ˈi	-	0.054
e	ə	0.565
t	t	0.865
u	u	0.445
ŋ	-	0.075
ɡ	k	0.095
ˈe	ˈe	0.375
ˈɔ	ˈɔ	0.85
ˈɛ	ˈe	0.45
b	b	0.826
e	-	0.246
i	ə	0.126
j	-	0.476
n	r	0.06
o	w	0.176
o	u	0.346
r	r	0.316
t	ð	0.06
v	β	0.436
ŋ	n	0.276
ɡ	ʤ	0.086
ˈe	ˈɛ	0.536
ˈi	ˈi	0.926
i	i	0.467
u	ə	0.317
ð	-	0.127
ŋ	m	0.147
ŋ	ɲ	0.277
ˈo	ˈɔ	0.477
ˈɔ	ˈu	0.057
d	ʤ	0.08
j	i	0.098
k	-	0.058
l	l	0.248
m	mː	0.078
n	ɲ	0.078
r	ɾ	0.648
u	ˈu	0.238
z	s	0.088
z	z	0.238
ɲ	-	0.078
ʧ	k	0.298
ˈɛ	ˈɛ	0.298
θ	s	0.838
b	β	0.089
p	p	0.939
w	l	0.079
w	w	0.619
ð	ʒ	0.839
ˈa	ˈa	0.9
ˈo	ˈɛ	0.059
ˈu	ˈu	0.969
θ	-	0.119
