Macedonian	Macedonian	probability
ˈ_v	̀_x	1.0
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɾ	r	1.0
ɲ	n	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	d	1.0
ɛ_n	ə_n	1.0
ɛ_#>	i_#>	1.0
z̥	z̥	1.0
z	z	1.0
x	x	1.0
v	ʋ	1.0
r̩_ˈ	r	1.0
r̩	ə	1.0
r_#>	r_#>	1.0
r	r	1.0
p	p	1.0
o_ˈ	ɔː_́	1.0
o_k	ə_k	1.0
o_#>	ɔ_#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
e	-	1.0
d̥	d̥	1.0
d	d	1.0
c	ʧ	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	aː_̀	1.0
a_r	ə_r	1.0
a_#>	#>	1.0
<#_ɔ	<#_ɔː	1.0
<#_v	<#_ʋ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔː	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
s	s	0.944
t	t	0.913
k	k	0.885
a	a	0.652
i	iː	0.619
f_#>	ʋ_#>	0.571
ɫ	l	0.533
u	uː	0.5
ˈ	́	0.476
ɫ	w	0.467
ɔ	ə	0.429
f_#>	x_#>	0.429
o	oː	0.4
ɛ	eː	0.385
i	i	0.381
ˈ	̀	0.365
ɔ	ɔ	0.286
ɔ	oː	0.286
ɛ	ɛ	0.185
u	ə	0.167
u	u	0.167
u	oː	0.167
a	oː	0.152
a	aː	0.152
o	ɔː	0.143
o	oː_́	0.143
ˈ	-	0.135
ɛ	eː_́	0.123
k	-	0.115
o	ɔ	0.114
o	o	0.114
ɛ	ɛː	0.092
t	r_t	0.087
o	ə	0.086
ɛ	e	0.077
ɛ	ə	0.062
s	s_ə	0.056
