French	Sassarese	probability
ɲ	ɲː	1.0
ɥ	-	1.0
ɡ	ɡ	1.0
ɛ_ʁ	ˈɛ_j	1.0
z	-	1.0
p_w	p_ˈu	1.0
n	n	1.0
k_l	ʧ	1.0
j_ɛ	ˈɛ	1.0
i_ʁ	ˈi	1.0
d_ʁ	ˈi	1.0
d	d	1.0
k	k	0.871
f	f	0.85
m	m	0.846
p	p	0.769
b	b	0.767
w_a	ˈe	0.764
ʁ	r	0.741
ʒ	ʤ	0.733
y	ˈu	0.694
ə	i	0.693
œ	ˈo	0.658
ɔ	ˈɔ	0.535
t	t	0.534
ʃ	k	0.524
ø	u	0.519
v	v	0.504
s	s	0.482
ø	ˈɔ_ɡː	0.481
ɔ̃	ˈo_n	0.437
o	ˈa	0.422
i	ˈi	0.404
w	i	0.397
l	r	0.396
a	a	0.392
ɑ̃	ˈɛ_n	0.372
ɛ	ˈa	0.371
œ	ˈɔ	0.342
ɛ̃	ˈa_n	0.326
j	ʎː	0.32
ɛ	ˈe	0.314
u	u	0.309
ə	-	0.307
a	ˈa	0.3
o	ˈɔ	0.294
o	ˈɛ_dː	0.285
t	tː	0.281
u	ˈo	0.279
j	-	0.274
e	ˈa	0.274
l	j	0.27
ʒ	j_u	0.267
ɛ̃	ˈi_n	0.254
s	ʦ	0.251
u	ˈu	0.249
w_a	ˈi	0.236
b	-	0.233
p	pː	0.231
ɔ̃	ˈɔ_n	0.225
v	b	0.223
i	ˈe	0.207
w	ˈi	0.199
j	i	0.198
y	-	0.197
ɛ̃	n	0.191
ɑ̃	-	0.191
ɔ̃	u_n	0.188
ɑ̃	n	0.188
t	-	0.185
e	i	0.184
e	ˈi	0.183
e	ˈa_z	0.183
e	u	0.177
l	r_u	0.176
i	u	0.174
ʃ	kː	0.17
i	tː_u	0.163
ɔ	ˈo	0.159
ʃ	k_a	0.156
m	mː	0.154
ɛ	ˈɛ	0.152
ɔ̃	ˈo	0.15
w	-	0.14
w	ˈɔ_ʦ	0.132
w	ˈe	0.132
k	x	0.129
ɛ̃	ɲː_u	0.126
ɑ̃	ˈɛ	0.125
ɑ̃	ŋ	0.125
f	β	0.119
ɔ	ˈɔ_ɬ	0.116
v	a	0.114
ɛ	i	0.113
y	u	0.109
j	ʧː_i	0.109
ɛ̃	ˈi_ŋ	0.104
s	ʦː	0.104
s	-	0.104
l	dː	0.1
ɔ	u	0.098
j	ˈɛ	0.098
ʃ	xː	0.095
ʁ	rː	0.095
ɔ	-	0.091
a	i	0.091
v	bː	0.09
u	ˈɔ_dː	0.081
u	ˈo_j	0.081
ʁ	-	0.073
v	β	0.068
a	ˈɛ	0.066
a	dː_u	0.059
s	sː	0.058
l	lː	0.058
a	ˈi	0.058
ʁ	a_r	0.057
ʃ	k_ˈa	0.056
i	-	0.052
ɛ	a	0.051
