Romansch	Aromanian	probability
b	b	1.0
i	i	1.0
k	k	1.0
u	u	1.0
z	d	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʒ	z	1.0
ʥ	ʤ	1.0
ʦ	ʦ	1.0
ˈeː	e̯ˈa	1.0
ˈiə̯	ˈa	1.0
ˈo	o̯ˈa	1.0
ˈɔː	ˈo	1.0
j	-	0.91
l	-	0.11
n	n	0.861
t	t_u	0.061
w	-	0.751
ə	i	0.271
ʨ	ʦ	0.081
ʨ	k	0.881
ˈa	ˈi	0.161
ˈa	e̯ˈa	0.191
ˈe	e̯ˈa	0.61
ˈiː	ˈu	0.281
ˈu	ˈo	0.1
f	f	0.312
l	l	0.42
n	-	0.092
r	r_i	0.312
r	r	0.572
w	v	0.22
ˈa	ˈɨ	0.12
ˈi	ˈi	0.792
ˈɛ	ˈi	0.552
ˈɛː	ˈe	0.842
f	ç	0.393
ˈe	i	0.193
ˈiː	ˈi	0.663
ˈuː	ˈu	0.833
ˈɔ	ˈo	0.433
ˈɛ	ˈe	0.3
d	t	0.424
l	ʎ	0.204
p	k	0.24
s	ʃ	0.174
ɡ	ɡ	0.774
ʧ	ʦ	0.944
ˈa	ˈe	0.074
ˈa	ˈa	0.454
ˈaː	ˈa	0.944
ˈɔ	o̯ˈa	0.144
d	d	0.245
m	ɲ	0.295
t	t	0.665
ʃ	-	0.135
ˈiː	ˈə	0.055
ˈɔ	ˈɨ	0.325
d	ʣ	0.316
l	r	0.266
m	m	0.626
p	p	0.76
ɡ	b	0.226
ʧ	-	0.056
ˈaː	a	0.056
ˈu	ˈu	0.66
f	w	0.177
s	-	0.207
v	-	0.207
ʎ	k_ʎ	0.357
ˈe	ˈe	0.197
ˈuː	o̯ˈa	0.167
f	-	0.118
m	-	0.08
t	t_i	0.238
v	j	0.338
ə	-	0.128
ə	ə	0.598
ʃ	ʦ_i	0.178
ʃ	ʃ_t	0.208
ʃ	s	0.438
ʎ	ʎ	0.598
ˈi	ˈu	0.208
ˈu	o̯ˈa_m	0.068
ˈɔ	ˈa	0.098
ˈɛ	e̯ˈa	0.058
ˈɛː	ˈa	0.158
j	j	0.09
s	s	0.619
v	p	0.099
v	v	0.319
ˈu	o̯ˈa	0.079
