Ukrainian	Lower Sorbian	probability
e	i	1.0
j	j	1.0
kʲ	k	1.0
mʲ	mʲ	1.0
pʲ	pʲ	1.0
s	s	1.0
sʲ	s	1.0
w	v	1.0
z	z	1.0
zʲ	z	1.0
ʊ	ˈu	1.0
ʍ	-	1.0
ʦ	ʦ	1.0
ʦʲ	ʦ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
d	ʑ	0.351
i	e	0.611
m	m	0.721
tʲ	ʨ	0.071
ɐ	ˈa	0.141
ɔ	ˈɔ	0.191
ɫ	d_w	0.061
ʋʲ	-	0.171
ʒ	ʂ	0.481
ˈi	ˈɪ	0.341
b	b	0.202
lʲ	l	0.932
nʲ	ɲ	0.572
ɔ	ˈa	0.062
ɔ	ˈɛ	0.302
ɫ	-	0.052
ʋ	vʲ	0.302
ˈɔ	j	0.062
ˈɔ	w	0.112
ˈɔ	ˈɛ	0.172
b	-	0.063
d	d	0.523
p	pʲ	0.513
ɐ	e	0.153
ɔ	ɔ	0.3
ɛ	ˈe	0.213
ɦ	-	0.13
r	ʂ	0.054
r	rʲ	0.184
rʲ	r	0.454
t	ɕ	0.234
x	k	0.094
b	p	0.735
k	-	0.065
r	r	0.595
ɔ	-	0.145
ɦ	k	0.285
ɦ	ɡ	0.585
ˈɑ	ˈa	0.345
ˈɑ	a	0.655
ˈɛ	ˈe	0.455
ˈɛ	ˈa	0.545
ˈɪ	ˈɨ	0.385
rʲ	rʲ	0.546
t	t	0.766
x	x	0.906
ˈɔ	ˈɔ	0.546
ˈɪ	i	0.256
d	t	0.127
k	kʲ	0.257
n	n	0.97
p	p	0.487
r	-	0.167
ɐ	ˈɪ	0.087
ɛ	ɔ	0.787
ˈi	ɛ	0.087
ˈi	ˈɛ	0.127
k	k	0.678
lʲ	-	0.068
nʲ	n	0.428
ɫ	w	0.468
ʋ	v	0.698
i	ˈɪ	0.389
m	mʲ	0.279
tʲ	ɕ	0.929
ɐ	a	0.619
ɫ	l	0.419
ʋʲ	vʲ	0.829
ʒ	ʐ	0.519
ˈi	ˈɔ	0.409
ˈɔ	-	0.059
ˈɪ	ˈi	0.359
