Swabian	Old English	probability
a	ɑ	0.738
a	n	0.132
b	b	0.634
b	v	0.238
b	f	0.117
b̥	p	1.0
b̥͡f	pː	1.0
d	d	0.586
d	θ	0.195
d	t	0.132
e	-	0.621
e	lː	0.293
e	e	0.086
eə̯	iːy̯	1.0
f	f	0.639
f	p	0.278
h	h	1.0
i	i	1.0
j	j	1.0
k	k	1.0
kʰ	ʧ	0.77
kʰ	k	0.188
l	l	0.525
l	ɫ	0.352
l	l̥	0.052
m	m	0.871
m	-	0.107
n	n	0.852
n	-	0.129
p͡f	v	1.0
s	s	0.596
s	t	0.313
s	z	0.051
t	d	1.0
x	ç	0.391
x	x	0.301
x	ʧ	0.242
x	k	0.066
ç	ʧ	0.417
ç	k	0.368
ç	x	0.215
ŋ	ŋ	0.949
ŋ	n	0.051
ɐ	e	1.0
ə	e	1.0
ɡ	j	0.336
ɡ	ɡ	0.269
ɡ	k	0.09
ɡ	ɣ	0.088
ɡ	-	0.074
ɡ	ʤ	0.066
ɪ	i	1.0
ʁ	r	0.819
ʁ	r̥	0.07
ʁ	k	0.069
ʃ	s	0.497
ʃ	ʃ	0.475
ʋ	w	0.918
ʋ	ʍ	0.082
ʌ	e	0.461
ʌ	o	0.304
ʌ	r	0.179
ʌ	r_e	0.057
ʕ	r	0.869
ʕ	-	0.099
ʦ	t	0.927
ʦ	tː	0.073
ˈa	ˈɑ	0.368
ˈa	ˈæɑ̯	0.257
ˈa	ˈæ	0.134
ˈa	ˈoː	0.065
ˈa	ˈeː	0.063
ˈae̯	ˈeːo̯	0.269
ˈae̯	ˈi	0.219
ˈae̯	ˈɑː	0.218
ˈae̯	ˈiːy̯	0.129
ˈae̯	ˈyː	0.082
ˈae̯	ˈiː	0.056
ˈao̯	ˈuː	0.601
ˈao̯	ˈæːɑ̯	0.283
ˈao̯	w	0.058
ˈao̯	ˈyː	0.053
ˈaː	ˈæ	0.384
ˈaː	ˈɑ	0.248
ˈaː	ˈæːɑ̯	0.141
ˈaː	ˈoː	0.131
ˈaː	ˈe	0.096
ˈe	ˈi	0.88
ˈe	ˈe	0.06
ˈe	ˈeo̯	0.06
ˈeə̯	ˈiːy̯	0.612
ˈeə̯	ˈeo̯	0.234
ˈeə̯	ˈeː	0.154
ˈeː	ˈiːy̯	0.24
ˈeː	ˈɑː	0.216
ˈeː	ˈeːo̯	0.208
ˈeː	ˈi	0.147
ˈeː	ˈy	0.102
ˈeː	ˈe	0.087
ˈi	ˈi	0.442
ˈi	ˈeːo̯	0.227
ˈi	-	0.077
ˈi	ˈeo̯	0.073
ˈi	ˈeː	0.066
ˈi	ˈo	0.062
ˈi	ˈiy̯	0.053
ˈiə̯	ˈeːo̯	0.589
ˈiə̯	ˈeː	0.411
ˈiː	ˈeːo̯	0.461
ˈiː	ˈeː	0.359
ˈiː	ˈeo̯	0.18
ˈo	ˈu	0.662
ˈo	ˈo	0.118
ˈo	ˈoː	0.117
ˈo	ˈuː	0.059
ˈoː	ˈæːɑ̯	0.491
ˈoː	ˈu	0.316
ˈoː	ˈoː	0.1
ˈu	ˈy	0.403
ˈu	ˈeːo̯	0.155
ˈu	ˈo	0.155
ˈu	ˈoː	0.155
ˈu	ˈu	0.131
ˈuə̯	ˈoː	0.67
ˈuə̯	ˈeː	0.271
ˈuə̯	ˈuː	0.059
ˈuː	ˈoː	0.762
ˈuː	ˈuː	0.238
ˈɔ	ˈo	0.611
ˈɔ	ˈu	0.198
ˈɔ	ˈy	0.079
ˈɔ	ˈæːɑ̯	0.076
ˈɔe̯	ˈɑː	0.905
ˈɔe̯	ˈæː	0.095
ˈɔə̯	ˈoː	1.0
ˈɔː	ˈæː	0.367
ˈɔː	ˈɑ	0.315
ˈɔː	ˈæːɑ̯	0.248
ˈɔː	ˈo	0.071
ˈəi̯	ˈiː	0.68
ˈəi̯	ˈiːy̯	0.16
ˈəi̯	ˈeːo̯	0.115
ˈɛ	ˈe	0.391
ˈɛ	ˈɛ	0.196
ˈɛ	ˈeo̯	0.165
ˈɛ	ˈi	0.097
ˈɛ	-	0.068
ˈɛ	ˈiː	0.058
ˈɛː	ˈe	0.386
ˈɛː	ˈi	0.205
ˈɛː	ˈiy̯	0.205
ˈɛː	ˈiːy̯	0.205
ˈɪ	ˈi	0.75
ˈɪ	ˈyː	0.25
ˈʌ	ˈi	0.818
ˈʌ	ˈeo̯	0.182
