Swedish	Bavarian	probability
a	n	0.417
a	-	0.387
a	a	0.165
a	ə	0.034
b	b̥	1.0
d	d̥	0.647
d	t	0.276
d	s	0.039
d	d	0.033
d	-	0.029
e	a	0.486
f	f	1.0
h	h	0.979
h	-	0.035
j	-	0.501
j	ɡ̊	0.269
j	ˈe	0.156
j	d̥	0.068
jː	-	1.0
k	ç	0.329
k	x	0.303
k	k	0.224
k	ɡ̊	0.129
kʰ	kʰ	0.849
kʰ	-	0.123
kː	k	0.321
kː	ŋ	0.156
l	l	0.525
l	j	0.436
l	-	0.041
lː	j	0.74
lː	i	0.133
m	m	1.0
mː	m	1.0
n	n	0.732
n	-	0.226
n	d̥	0.042
nː	-	0.331
nː	l	0.219
nː	n	0.185
nː	ˈau̯	0.14
p	f	0.734
p	p͡f	0.179
pː	f	0.486
r	r	0.522
r	ɐ	0.19
r	-	0.148
r	d̥_a	0.084
r	a	0.049
r_ɛ	a	1.0
rː	d̥	1.0
s	s	0.622
s	ʃ	0.28
s	ʃ_ʋ	0.067
s	-	0.037
s_k	ʃ	1.0
sː	s	0.486
t	s	0.523
t	t	0.317
t	ʦ	0.084
t	d̥	0.066
tʰ	ʦ	0.693
tʰ	d̥	0.195
tʰ	b̥	0.092
tː	s	0.464
tː	x_t	0.259
tː	ʦ	0.122
v	ʋ	0.484
v	f	0.221
v	b̥	0.216
v	p	0.051
v	p͡f	0.031
ŋ	i	0.341
ŋ	ŋ	0.207
ŋ	-	0.115
ŋ	f	0.115
ŋː	ŋ	1.0
ɕ	ʦ	0.392
ɕ	kʰ	0.219
ɕ	d̥	0.219
ɖ	d̥	0.574
ɖ	t	0.279
ɛ	-	0.587
ɛ	a	0.274
ɛ	ə	0.113
ɛ_r	a	1.0
ɡ	ɡ̊	0.735
ɡ	-	0.078
ɡ	x	0.078
ɡ	ŋ	0.062
ɡ	ç	0.05
ɡː	ɡ̊	0.409
ɡː	-	0.212
ɧ	ʃ	0.506
ɧ	s	0.478
ɪ	i	0.258
ɪ	-	0.165
ɪ	ɪ	0.144
ɳ	ɐ	0.561
ɳ	n	0.425
ɵ	-	0.66
ɵ	ŋ	0.156
ʈː	ʦ	1.0
ʊ	-	0.361
ʊ	ˈeː	0.361
ʊ	n	0.202
ˈa	ˈa	0.252
ˈa	ˈo	0.238
ˈa	ˈɒ	0.13
ˈa	ˈoɐ̯	0.13
ˈa	ˈɔ	0.113
ˈeː	ˈoɐ̯	0.333
ˈeː	ˈai̯	0.214
ˈeː	ˈi	0.214
ˈeː	ˈeː	0.214
ˈeː_n	ˈoɐ̯	1.0
ˈiː	ˈai̯	0.78
ˈiː	-	0.141
ˈiː	ˈoɐ̯	0.05
ˈiː	ˈeɐ̯	0.037
ˈoː	ˈɔ	0.339
ˈoː	ˈoɐ̯	0.245
ˈoː	ˈu	0.141
ˈoː	ˈoː	0.067
ˈoː	-	0.065
ˈuː	ˈuɐ̯	0.631
ˈuː	ˈoɐ̯	0.155
ˈuː	ɐ	0.103
ˈuː	ˈau̯	0.103
ˈyː	ˈai̯	0.468
ˈyː	ˈi	0.211
ˈyː	ˈiɐ̯	0.135
ˈyː	ˈiː	0.091
ˈæ	ɐ	0.486
ˈæː	ˈe	0.45
ˈæː	ˈɛ	0.219
ˈæː	ˈi	0.122
ˈøː	ˈou̯	0.214
ˈøː	ˈɛː	0.127
ˈøː	ˈe	0.102
ˈøː	ˈaː	0.089
ˈøː	ˈɛ	0.084
ˈœ	ˈu	0.45
ˈœ	ˈai̯	0.088
ˈœ	ˈo	0.088
ˈœ	ˈʏ	0.081
ˈœ	ˈiɐ̯	0.081
ˈœː	ˈoɐ̯	0.66
ˈœː	ˈe	0.156
ˈɑː	ˈoː	0.381
ˈɑː	ˈa	0.186
ˈɑː	ˈɒ	0.162
ˈɑː	ˈi	0.107
ˈɑː	ˈo	0.107
ˈɔ	ˈu	0.274
ˈɔ	ˈo	0.158
ˈɔ	ˈɛ	0.158
ˈɔ	ˈoɐ̯	0.158
ˈɔ	ˈɒ	0.106
ˈɛ	ˈɛ	0.233
ˈɛ	ˈi	0.191
ˈɛ	ˈe	0.15
ˈɛ	ˈo	0.131
ˈɛ	ˈoɐ̯	0.131
ˈɛː	ˈɛ	0.193
ˈɛː	ˈaː	0.134
ˈɛː	ˈe	0.129
ˈɛː	ˈeː	0.129
ˈɛː	ˈiɐ̯	0.087
ˈɪ	ˈi	0.804
ˈɪ	r	0.091
ˈɪ	ˈiː	0.088
ˈɵ	ˈi	0.28
ˈɵ	ʋ_ˈo	0.244
ˈɵ	ˈau̯	0.14
ˈɵ	ˈu	0.129
ˈɵ	ˈo	0.072
ˈʉː	ˈau̯	0.324
ˈʉː	ˈiː	0.148
ˈʉː	ˈɔ	0.098
ˈʉː	ˈe	0.088
ˈʉː	ˈaː	0.085
ˈʊ	ˈeɐ̯	0.321
ˈʊ	ˈu	0.321
ˈʏ	ˈu	0.246
ˈʏ	ˈi	0.172
ˈʏ	ˈɛ	0.172
ˈʏ	ˈai̯	0.162
