Swedish	Bavarian	probability
a	n	0.683
a	a	0.254
b	b̥	1.0
d	d̥	0.731
d	t	0.236
f	f	1.0
h	h	0.978
j	ɡ̊	0.359
j	-	0.288
j	l	0.107
j	ˈe	0.107
j	d̥	0.054
jː	ŋ	1.0
k	x	0.493
k	ç	0.197
k	-	0.151
k	k	0.122
kʰ	kʰ	0.961
kː	k	0.336
kː	x	0.221
kː	ç	0.221
kː	ŋ	0.221
l	l	0.548
l	j	0.414
lː	i	0.768
lː	j	0.232
m	m	1.0
mː	m	1.0
n	n	0.87
n	-	0.13
nː	n	0.605
nː	ˈɒː	0.154
nː	ˈau̯	0.124
nː	ˈoɐ̯	0.083
p	f	0.945
p	p͡f	0.055
pʰ	p͡f	1.0
pː	f	1.0
r	r	0.487
r	ɐ	0.298
r	a	0.139
rː	d̥	1.0
s	s	0.524
s	ʃ	0.439
sː	s	1.0
t	s	0.773
t	t	0.193
tʰ	d̥	0.536
tʰ	ʦ	0.373
tʰ	b̥	0.072
tː	ʦ	0.417
tː	s	0.361
tː	x	0.223
v	ʋ	0.589
v	b̥	0.289
v	f	0.119
ŋ	ŋ	0.737
ŋ	i	0.18
ŋ	f	0.083
ŋː	ŋ	1.0
ɔ	eɐ̯	1.0
ɕ	kʰ	0.649
ɕ	d̥	0.267
ɕ	ʦ	0.084
ɖ	t	0.874
ɖ	d̥	0.126
ɛ	a	0.596
ɛ	-	0.356
ɡ	ɡ̊	0.831
ɡ	ŋ	0.081
ɡː	ɡ̊	0.761
ɡː	-	0.178
ɡː	k	0.061
ɧ	ʃ	0.532
ɧ	s	0.407
ɧ	-	0.061
ɪ	i	0.506
ɪ	-	0.247
ɪ	ɪ	0.247
ɳ	n	0.579
ɳ	ɐ	0.421
ɳː	r	1.0
ɵ	-	1.0
ʂ	ʃ	1.0
ʈ	t	1.0
ʈː	ʦ	1.0
ʊ	-	0.575
ʊ	n	0.425
ˈa	ˈa	0.342
ˈa	ˈo	0.193
ˈa	ˈoɐ̯	0.142
ˈa	ˈaː	0.094
ˈa	ˈɔ	0.084
ˈa	ˈɒ	0.075
ˈa	-	0.069
ˈeː	ˈoɐ̯	0.596
ˈeː	ˈai̯	0.138
ˈeː	ˈi	0.137
ˈeː	ˈeː	0.13
ˈiː	ˈai̯	0.76
ˈiː	ˈi	0.075
ˈiː	ˈoɐ̯	0.061
ˈiː	ˈeɐ̯	0.056
ˈoː	ˈɔ	0.267
ˈoː	ˈɛ	0.247
ˈoː	ˈoɐ̯	0.128
ˈoː	ˈoː	0.088
ˈoː	-	0.084
ˈoː	ˈeː	0.07
ˈoː	ˈɒː	0.066
ˈuː	ˈuɐ̯	0.802
ˈuː	ˈoɐ̯	0.123
ˈyː	ˈai̯	0.659
ˈyː	ˈi	0.218
ˈyː	ˈiɐ̯	0.082
ˈæ	ɐ	1.0
ˈæː	ˈi	0.511
ˈæː	ˈe	0.268
ˈæː	ˈeː	0.131
ˈæː	ˈɛ	0.09
ˈøː	ˈou̯	0.179
ˈøː	ˈe	0.137
ˈøː	ˈeɐ̯	0.11
ˈøː	-	0.102
ˈøː	ˈuɐ̯	0.091
ˈøː	ˈɛː	0.075
ˈøː	ˈaː	0.074
ˈøː	ˈoɐ̯	0.052
ˈœ	ˈo	0.32
ˈœ	ˈu	0.158
ˈœ	ˈai̯	0.124
ˈœ	ˈuɐ̯	0.124
ˈœ	ˈaː	0.107
ˈœ	ˈʏ	0.105
ˈœ	ˈiɐ̯	0.063
ˈœː	ˈi	0.538
ˈœː	ˈe	0.264
ˈœː	ˈoɐ̯	0.198
ˈɑː	ˈoː	0.374
ˈɑː	ˈa	0.329
ˈɑː	ˈɒ	0.106
ˈɑː	-	0.085
ˈɑː	ˈɒː	0.053
ˈɑː	ˈo	0.053
ˈɔ	ˈu	0.305
ˈɔ	ˈo	0.255
ˈɔ	ˈoɐ̯	0.239
ˈɔ	ˈɒ	0.108
ˈɛ	ˈo	0.257
ˈɛ	ˈɛ	0.171
ˈɛ	ˈi	0.165
ˈɛ	ˈe	0.111
ˈɛ	ˈeː	0.103
ˈɛ	ˈai̯	0.09
ˈɛː	ˈeː	0.26
ˈɛː	ˈoɐ̯	0.247
ˈɛː	ˈaː	0.171
ˈɛː	ˈe	0.104
ˈɛː	ˈiɐ̯	0.085
ˈɛː	ˈɛ	0.073
ˈɛː	ˈoː	0.06
ˈɪ	ˈi	0.866
ˈɪ	r	0.072
ˈɪ	ˈiː	0.062
ˈɵ	ˈu	0.258
ˈɵ	ˈi	0.242
ˈɵ	ˈaː	0.197
ˈɵ	ˈoː	0.105
ˈɵ	ˈau̯	0.061
ˈɵ	ˈʏ	0.06
ˈɵ	ʋ_ˈo	0.054
ˈʉː	ˈiɐ̯	0.337
ˈʉː	ˈau̯	0.28
ˈʉː	ˈiː	0.141
ˈʉː	ˈe	0.065
ˈʉː	ˈu	0.061
ˈʉː	ˈɔ	0.056
ˈʊ	ˈeɐ̯	0.5
ˈʊ	ˈu	0.5
ˈʏ	ˈu	0.576
ˈʏ	ˈi	0.172
ˈʏ	ˈɛ	0.14
ˈʏ	ˈai̯	0.112
