Latin	Campidanese	probability
ae̯	a	1.0
au̯	a	1.0
e	-	1.0
f	f	1.0
kː	k	1.0
nː	nː	1.0
rː	rː	1.0
tː	t	1.0
uː	u	1.0
ɛ̃	e	1.0
ɡʷ	ɡ_w	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈoː	ˈo	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈɔ	ˈo	1.0
eː	i	0.141
i	j	0.181
k	ʧ	0.1
kʷ	ʧ	0.331
m	-	0.091
r	-	0.061
r	r	0.891
ŋ	n	0.261
ɡ	b	0.261
ʊ	u	0.491
ˈa	-	0.071
ˈa	ˈa	0.901
ˈɛ	ˈe	0.951
ãː	a	0.892
b	v	0.112
kʷ	k_w	0.442
lʲ	-	0.742
lʲː	ɖː	0.702
oː	ˈo	0.192
p	p	0.722
s	s	0.682
w	b	0.582
ɛ	i	0.42
ɪ	-	0.262
ɫ	l	0.672
a	a	0.873
aː	a	0.823
iː	-	0.23
n	ɲː	0.063
n	n	0.873
p	-	0.063
w	-	0.393
ɪ	e	0.103
ɫ	r	0.153
ˈʊ	ˈo	0.103
i	-	0.794
lʲː	sː	0.124
lʲː	-	0.174
oː	o	0.74
ɔ	o	0.544
ɛ	-	0.134
ɛ̃ː	e	0.064
ɛ̃ː	i_n	0.064
ɪ	ˈi	0.174
ʊ	-	0.264
ˈiː	i	0.144
a	-	0.105
b	-	0.115
d	-	0.275
d	d	0.725
l	-	0.15
l	l	0.85
p	k	0.055
t	ð	0.335
t	t	0.535
ɛ̃ː	-	0.075
ɛ̃ː	i	0.715
ɫ	-	0.175
ʊ	i	0.245
ˈɪ	ˈi	0.965
b	b	0.636
p	β	0.16
s	i_s	0.126
ɔ	ˈo	0.06
ɡ	-	0.56
ɪ	i	0.46
ˈiː	ˈi	0.856
aː	ˈa	0.177
b	β	0.137
iː	i	0.77
k	-	0.217
k	k	0.297
kʷ	k	0.227
t	-	0.097
ɔ	-	0.37
ˈʊ	ˈu	0.897
ãː	-	0.078
k	ɣ	0.168
k	ʒ	0.198
lʲ	l	0.258
oː	u	0.068
ɛ	e	0.408
ɡ	ɡ	0.18
eː	e	0.859
m	m	0.909
s	z	0.099
ŋ	ŋ	0.739
ʊ̃ː	u	0.959
