Italian	Galician	probability
#>	#>	0.981
<#	<#	0.97
<#_f	<#	1.0
<#_p	<#	1.0
<#_w	<#	1.0
<#_ʤ	<#	1.0
a	ɐ	0.69
a	a	0.186
a	-	0.075
b	b	0.66
b	β	0.197
b	-	0.08
d	d	0.554
d	-	0.316
d	ð	0.096
e	ɪ	0.44
e	-	0.277
e	e	0.139
e_r	ɾ	0.786
e_r	ɐ	0.166
f	f	1.0
i	e	0.338
i	i	0.309
i	-	0.109
i	ɪ	0.107
i	j	0.071
i_#>	#>	1.0
j	-	0.499
j	ʧ	0.216
j	j	0.136
k	k	0.715
k	-	0.148
k	ɣ	0.134
k_k	ʎ	1.0
k_ˈa	ˈe	0.06
l	l	0.681
l	-	0.257
l_e	l	1.0
l_o	ʊ	1.0
l_ˈi	ˈi	0.496
l_ˈɛ	ˈɛ	0.246
m	m	0.923
m	-	0.075
n	n	0.658
n	-	0.181
n	ɲ	0.104
n_e	ŋ	0.838
n_e	ɐ	0.162
n_o	ŋ	0.711
n_o	ʊ	0.272
o	ʊ	0.741
o	o	0.098
p	p	0.767
p	β	0.205
r	ɾ	0.718
r	r	0.191
r	-	0.071
r_e	ɾ	1.0
s	s	0.791
s	-	0.119
s	ʃ	0.058
t	t	0.586
t	ð	0.217
t	-	0.102
t	j	0.09
u	u	0.45
u	e	0.223
u	i	0.127
v	b	0.584
v	β	0.343
v	v	0.065
w	-	0.632
w	w	0.319
w	a	0.051
z	s	0.367
z	ʎ	0.138
z	ɾ	0.092
ŋ	ŋ	0.708
ŋ	ɲ	0.133
ŋ	n	0.091
ɡ	ɡ	0.421
ɡ	ɣ	0.412
ɡ	-	0.091
ɲ	ɲ	0.495
ɲ	-	0.369
ɲ	n	0.063
ɲ	θ	0.063
ɲ_a	ɐ	0.496
ʃ	-	0.338
ʃ	θ	0.265
ʃ	ʃ	0.231
ʃ	j	0.152
ʎ	ʎ	0.493
ʎ	-	0.455
ʎ	l	0.051
ʎ_a	ɐ	0.246
ʣ	-	0.246
ʤ	ʃ	0.495
ʤ	-	0.404
ʤ	θ	0.052
ʦ	θ	0.768
ʦ	-	0.175
ʦ_o	ʊ	0.246
ʧ	θ	0.7
ʧ	-	0.141
ʧ	j	0.063
ʧ	s	0.051
ʧ_e	θ	1.0
ˈa	ˈa	0.747
ˈa	ˈɑ	0.135
ˈa	ˈe	0.053
ˈa_k	ˈa	0.496
ˈe	ˈe	0.772
ˈe	ˈi	0.136
ˈe	ˈɛ	0.06
ˈi	ˈi	0.806
ˈi	ˈe	0.142
ˈi_l	ˈi	1.0
ˈo	ˈo	0.691
ˈo	ˈɔ	0.19
ˈu	ˈu	0.783
ˈu	ˈo	0.11
ˈɔ	ˈɔ	0.497
ˈɔ	ˈo	0.397
ˈɔ_n	ˈo	1.0
ˈɛ	ˈɛ	0.593
ˈɛ	ˈe	0.405
ˈɛ_l	ˈɛ	1.0
ˈɛ_r	ˈɛ	1.0
