Slovenian	Russian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʋ_a	v_ə	1.0
ʃ	ʂ	1.0
ɡ	ɡ	1.0
ɛː_̀	ɪ	1.0
ɛː	-	1.0
ɔː_̀	ɐ	1.0
uː_́	ʊ	1.0
uː	u	1.0
u	ʉ	1.0
t_i	tʲ	1.0
s_ə	s	1.0
r_j	rʲ	1.0
o	o	1.0
j_a	a	1.0
iː_̀	ɨ_ˈ	1.0
eː_̀	ɪ	1.0
d̥	d̥	1.0
k	k	0.939
x	x	0.816
́	ˈ	0.803
aː_̀	a_ˈ	0.795
ɡ̊	ɡ̊	0.794
b̥	b̥	0.766
ɛ	e	0.749
i	ɨ	0.745
a	a	0.743
̀	ˈ	0.735
p	pʲ	0.683
b	b	0.673
ɔː	o	0.667
e	e	0.667
s	s	0.655
z	z	0.654
w	ɫ	0.653
oː	o	0.605
l	ɫ	0.6
t	t	0.586
d	d	0.581
n	n	0.571
ʋ	vʲ	0.555
ɔ	o	0.536
m	mʲ	0.506
r	r	0.5
m	m	0.494
iː	i	0.477
aː	o	0.472
ɔ	ə	0.464
n	nʲ	0.429
t	tʲ	0.414
l	lʲ	0.4
eː	e	0.374
aː	ə	0.354
w	ɫ_ɨ	0.347
z	zʲ	0.346
s	sʲ	0.345
ɔː	-	0.333
iː	ɨ	0.333
e	-	0.333
d	dʲ	0.327
b	bʲ	0.327
p	p	0.317
ə	-	0.3
r	rʲ	0.282
a	ə	0.257
i	i	0.255
ɛ	ɪ	0.251
oː	u	0.247
ʋ	v	0.239
b̥	b̥ʲ	0.234
eː	ɪ	0.224
eː	-	0.217
ə	ɵ	0.214
̀	-	0.206
ɡ̊	ɡʲ	0.206
aː_̀	ɐ	0.205
iː	-	0.19
ə	e	0.187
x	-	0.184
aː	a	0.174
r	ɐ_r	0.163
ə	ɪ	0.158
ʋ	-	0.155
ə	o	0.141
́	-	0.132
d	-	0.092
oː	ə	0.081
eː	ɵ	0.079
oː	ʊ	0.067
́	o_ˈ	0.066
k	j	0.061
̀	ɵ_ˈ	0.059
r	rʲ_ɪ	0.055
eː	ɛ	0.053
eː	æ	0.053
ʋ	v_ɨ	0.05
