Russian	Proto-Slavic	probability
<#_d	<#_d	1.0
<#_dʲ	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_lʲ	<#_l	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_sʲ	<#_s	1.0
<#_t	<#_t	1.0
<#_tʲ	<#_t	1.0
<#_v	<#_v	1.0
<#_vʲ	<#_v	1.0
<#_x	<#_x	1.0
<#_zʲ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʐ	<#_ʒ	1.0
<#_ʦ	<#_k	1.0
<#_ʨ	<#_ʧ	1.0
b	b	1.0
bʲ	b	1.0
d	d	1.0
dʲ	d	1.0
e_#>	e_#>	1.0
j	-	1.0
j_#>	j_ĭ_#>	1.0
k_ˈa	k_ǎ	1.0
kʲ_ɪ	k_ŭ	1.0
lʲ_#>	l_ĭ_#>	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
n_ɨ	n_ŭ	1.0
nʲ	n	1.0
p	p	1.0
p_#>	b_ŭ_#>	1.0
pʲ	p	1.0
r	r	1.0
r_ɨ	r	1.0
r_ˈo	r	1.0
rʲ	r	1.0
s	s	1.0
sʲ	s	1.0
t_#>	t_ŭ_#>	1.0
tʲ	t_i	1.0
tʲ_#>	t_ĭ_#>	1.0
v	v	1.0
vʲ	v	1.0
x	x	1.0
z	z	1.0
zʲ	z	1.0
ə	o	1.0
ɡ	ɡ	1.0
ɪ_j	ŭ_j	1.0
ɪ_tʲ	ẽ_t	1.0
ɫ_#>	l_ŭ_#>	1.0
ɫ_ə	l	1.0
ɫ_ɨ	l_ŭ	1.0
ʊ	õː	1.0
ʦ	ʦ	1.0
ʦ_ə	ʦ_e	1.0
ʨ	k_t	1.0
ˈa_#>	ǎ_#>	1.0
ˈæ	ẽ̂ː	1.0
ɐ	o	0.571
ˈe	ɛ̌ː	0.091
ˈe	ĭ̌	0.091
ˈe	ĭ	0.091
ˈi	ǐ	0.571
ˈo	ǒ	0.231
t	d_ŭ	0.2
ə_#>	a_#>	0.412
ˈe	ɛˀ	0.182
ˈe	ɛ̌	0.182
ɐ	ǒ	0.143
ɐ	-	0.143
ɐ	e	0.143
ɪ	ɛ	0.083
ɪ	ẽː	0.083
ɪ	-	0.083
ɪ	e	0.583
#>	ŭ_#>	0.484
<#_z	<#_z	0.4
k_#>	k_ŭ_#>	0.714
ɨ	-	0.444
ɫ	d_l	0.154
ˈa	aˀ	0.714
ˈo	ôː	0.154
ˈɨ	ɨˀ	0.4
lʲ	ʎ	0.25
lʲ	l	0.75
ʂ	ʒ_ĭ	0.5
ʂ	ʒ	0.5
ˈo	ŭ̂	0.115
ˈo_ɫ	ĭ̂_l	0.5
ˈo_ɫ	l	0.5
ˈɵ	ĭ̌ː	0.25
ˈɵ	ĭ̌	0.375
ˈɵ	ě	0.375
#>	ĭ_#>	0.516
<#_z	<#	0.6
k_#>	ɡ_ŭ_#>	0.286
ɨ	ŭ	0.556
ɫ	l	0.846
ˈa	ẽ	0.286
ˈe	ê	0.136
ˈo	ô	0.346
ˈɨ	ɨ̌	0.6
ɪ	ɛː	0.167
ˈe	ɛ̂ː	0.227
ˈo	-	0.077
ˈo	ŭ̌	0.077
t	t	0.8
ə_#>	o_#>	0.588
ˈi	i	0.429
