Latin	Catalan	probability
a	ə	0.86
a	-	0.118
ae̯	ə	0.776
ae̯	i	0.181
au̯	u	0.5
au̯	ə	0.5
aː	ə	0.724
aː	ˈa	0.12
aː	w	0.104
aː	-	0.05
ãː	ə	0.882
ãː	-	0.09
b	b	0.585
b	β	0.292
b	-	0.06
b_ɛ	w	1.0
d	d	0.578
d	-	0.353
d_i	ʧ	0.591
d_i	ʒ	0.403
d_ʊ̃ː	t	0.518
e	ə	0.436
e	-	0.213
e	w	0.158
e	j	0.117
eː	-	0.285
eː	ˈe	0.275
eː	ə	0.129
eː	i	0.112
f	f	1.0
h	-	1.0
h_ˈɔ	ˈɔ	1.0
i	-	0.514
i	ŋ	0.115
i	i	0.114
i	ˈe	0.076
i	ˈi	0.076
i	j	0.057
i	ɾ	0.057
i_ʊ̃ː	w	1.0
iː	i	0.524
iː	-	0.228
iː	ˈi	0.199
j	ʒ	1.0
k	k	0.581
k	-	0.166
k	ɣ	0.095
k	s	0.089
k	ɡ	0.054
k_i	s	0.667
k_i	ʧ	0.333
k_oː	k	1.0
k_s	ʃ	0.574
k_s	s	0.298
k_t	t	1.0
k_ɛ̃ː	w	0.744
k_ɛ̃ː	s	0.245
k_ʊ̃ː	k	1.0
k_ˈɛ	ˈi	1.0
kʷ	k	0.412
kʷ	ɣ_w	0.237
kʷ	s	0.133
kʷ	k_w	0.109
kʷ	-	0.069
l	ʎ	0.647
l	l	0.268
l	-	0.075
lʲ	-	0.465
lʲ	ʎ	0.373
lʲ	l	0.16
lʲ_ãː	ə	1.0
lʲ_i	ʎ	1.0
lʲ_ʊ̃ː	ʎ	0.518
m	m	0.952
m_ɛ̃ː	m	1.0
n	n	0.608
n	-	0.346
n_e	ɲ	0.518
n_i	ɲ	1.0
n_n	ɲ	0.605
n_n	m	0.381
n_t	n	1.0
o	u	1.0
oː	u	0.512
oː	-	0.273
oː	ə	0.083
oː	ˈɔ	0.078
oː	ˈo	0.064
oː_s	s	1.0
p	p	0.771
p	-	0.104
p	β	0.088
p_ɛ	β	1.0
r	ɾ	0.437
r	-	0.312
