Ligurian	Ligurian	probability
ˈɔː	ˈɒ	1.0
ˈøː	ˈɒ	1.0
ˈyː	ˈu	1.0
ˈu_ŋ_#>	ˈo_#>	1.0
ˈi_ŋ_#>	ˈi_#>	1.0
ˈeː_u	ˈɛ	1.0
ˈe_ŋ	ˈe	1.0
ˈaː_r	ˈa_l	1.0
ˈa_ŋ_#>	ˈa_#>	1.0
ˈa_s	ˈa	1.0
ˈa	ˈa	1.0
ʤ_u_#>	ʎ_#>	1.0
ʒ_e_#>	w_#>	1.0
ʒ	-	1.0
ɲ	ɲ	1.0
ɥ	e_ð	1.0
ɡ_u_#>	k_#>	1.0
ɔː	o	1.0
ŋ_#>	#>	1.0
z_u	ʧ	1.0
y	e	1.0
v_u	w	1.0
v_e	w	1.0
t_e_#>	t_#>	1.0
t_e	mː	1.0
t_a	t_ɜ	1.0
sː	ʧ	1.0
s_e	s_e	1.0
r_ˈe	ɾ_ˈæ	1.0
p	p	1.0
o	w	1.0
m_e_#>	m_#>	1.0
m	m	1.0
l_u_#>	ʎ_#>	1.0
k	k	1.0
j_v	w	1.0
i_#>	s_#>	1.0
f	f	1.0
e_#>	#>	1.0
d_u	t	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈɛː	<#_ˈa	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_v	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_z	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ˈe	1.0
<#_a	<#_a	1.0
s	s	0.942
u_#>	#>	0.898
ˈi	ˈi	0.867
l	ʎ	0.852
t	t	0.844
ˈɔ	ˈɒ	0.778
n	n	0.769
v	v	0.75
b	b	0.733
ˈø	ˈu	0.714
ʃ	ʃ	0.714
ˈy	ˈu	0.7
d	d	0.682
ɡ	ɣ	0.667
ŋ_a	n_ɐ	0.667
ŋ	n	0.607
ʧ	p_l	0.6
i	i	0.6
z	-	0.571
e	e	0.529
ˈe	ˈæ	0.5
ˈe	ˈe	0.5
j_#>	s_#>	0.5
j_#>	r_#>	0.5
ˈiː	ˈi	0.467
r	ɾ	0.467
ʤ	ʎ	0.438
ˈɛː	ˈæ	0.429
ˈɛ	ˈe	0.429
ˈu	ˈɒ	0.429
z	z	0.429
a	ɐ	0.414
ʧ	k_l	0.4
r	r	0.4
i	-	0.4
ˈaː	ˈa_r	0.382
ˈaː	ˈa	0.382
ˈu	ˈo	0.381
ʤ	ʤ	0.375
w	w	0.375
ˈuː	ˈo	0.333
ˈiː	ˈi_r	0.333
ŋ_a	n_ɜ	0.333
u	o	0.333
ˈy	ˈo	0.3
e	ɜ	0.294
ˈɛ	ˈe_j	0.286
ˈɛ	-	0.286
ˈø	-	0.286
ʃ	-	0.286
#>	s_#>	0.286
ˈuː	ˈɒ	0.267
b	-	0.267
ˈeː	ˈæ	0.25
ˈeː	ˈe	0.25
ŋ	ŋ	0.25
w	-	0.25
v	β	0.25
j	ɾ	0.25
a	ɞ	0.243
u	r	0.238
#>	r_#>	0.238
#>	l_#>	0.238
n	ɲ	0.231
d	-	0.227
ˈɔ	-	0.222
ˈiː	-	0.2
ˈeː	ˈi	0.2
j	o	0.2
j	-	0.2
ˈu	ˈu	0.19
u	-	0.19
a	ɜ	0.186
ˈaː	ˈa_l	0.176
e	e_r	0.176
ɡ	ɡ	0.167
ɡ	k	0.167
a	a	0.157
t	-	0.156
j	i	0.15
l	l	0.148
ˈɛː	ˈa_t	0.143
ˈɛː	ˈa	0.143
ˈɛː	e	0.143
ˈɛː	-	0.143
ŋ	-	0.143
u	u	0.143
#>	w_#>	0.143
ˈuː	ˈæ	0.133
ˈuː	ˈo_l	0.133
ˈuː	-	0.133
ˈi	-	0.133
ʤ	ɡ_l	0.125
w	ˈa_ɾ	0.125
w	o_ɾ	0.125
w	o	0.125
u_#>	e_#>	0.102
ˈeː	ˈæ_l	0.1
ˈeː	ʎ	0.1
ˈeː	-	0.1
j	e_l	0.1
j	d_ɾ	0.1
u	w	0.095
#>	ɐ_#>	0.095
d	w_ɾ	0.091
r	-	0.089
ʤ	ɫː	0.062
ˈaː	r	0.059
s	-	0.058
