Pennsylvania German	East Low German	probability
b	b	1.0
b̥	f	1.0
h	h	1.0
j	j	1.0
kʰ	kʰ	1.0
l	l	1.0
m	m	1.0
p	p	1.0
t	t	1.0
ˈaʊ̯	ˈuː	1.0
d̥	-	0.061
f	f	0.71
v	-	0.091
v	b	0.161
ŋ	ŋ_k	0.1
ə	n	0.741
ɡ̊	x	0.441
ʋ	v	0.821
ʦ	tʰ	0.701
ˈaɪ̯	ˈyː	0.181
ˈeː	ˈɛ	0.051
ˈɛ	ˈɛ	0.511
s	s	0.212
ç	k	0.612
ə	ŋ	0.052
ɣ	-	0.152
ˈaɪ̯	ˈʏ	0.052
ˈaɪ̯	ˈiː	0.652
ˈeː	ˈeː	0.12
ˈoː	ˈaʊ̯	0.422
ˈɔː	ˈɒː	0.252
ˈɛ	ˈiː	0.112
ˈɛː	ˈaː	0.862
f	p	0.253
k	ç	0.313
ɑ	æ	0.863
ɡ	ɡ	0.413
ʃ	s	0.173
ˈa	n_#>	0.273
ˈaː	ˈaː	0.63
ˈiː	ˈae̯	0.493
ˈuː	ˈɔʏ̯	0.073
ˈʊ	ˈɔ	0.193
d̥	d	0.474
n	n	0.984
x	k	0.424
ɾ	-	0.174
ˈeː	ˈae̯_n	0.144
ˈɔ	ˈɔ	0.464
ˈɔː	ˈoː	0.24
ˈɛ	ˈʏ	0.084
d̥	t	0.465
ɪ	ɪ	0.5
ɪ	-	0.5
ˈa	ˈɒː	0.055
ˈaɪ̯	ˈɪ	0.115
ˈeː	ˈae̯	0.685
ˈiː	ˈɔʏ̯	0.25
ˈʊ	ˈʊ	0.745
x	x	0.576
ˈiː	ˈaɪ̯	0.16
ˈɔː	ˈɛː	0.066
ˈɔː	ˈa	0.086
ˈɔː	ˈaʊ̯	0.286
ˈɪ	ˈɪ	0.76
d	ɾ	0.197
k	k	0.687
ɑ	-	0.137
ə	-	0.207
ɡ	j	0.587
ʃ	ʃ	0.827
ˈaː	ˈuː_æ	0.37
ˈiː	ˈiː	0.097
ˈuː	ˈaʊ̯	0.927
ˈɔ	ˈʊ	0.317
ˈɔː	ˈaː	0.07
ˈɪ	ˈʏ	0.17
s	z	0.38
v	v	0.748
ç	ç	0.388
ɣ	ɡ	0.848
ɾ	r	0.808
ˈa	ç_#>	0.068
ˈoː	ˈɒː	0.578
ˈɛ	ˈœː	0.068
ˈɛ	ˈɛː	0.188
ˈɛː	ˈiː	0.138
d	d	0.769
s	t	0.409
ŋ	ŋ	0.9
ɡ̊	ç	0.559
ʋ	w	0.179
ʦ	t	0.299
ˈa	ˈa	0.479
ˈɔ	ˈɒː	0.219
