Galician	Galician	probability
θ_#>	s_#>	1.0
β_ɪ	w	1.0
ˈo_ð	ˈu	1.0
ˈo_w	ˈa_w	1.0
ˈo_j	ˈy	1.0
ˈe_ɾ	ʀ_ə	1.0
ˈa_#>	ˈa_n_ɔ_#>	1.0
ʊ_#>	#>	1.0
ɾ_ɐ	ʀ_ɔ	1.0
ɾ_t	ˈɔ	1.0
ɾ_#>	#>	1.0
ɲ_ʊ	ɲ	1.0
ɪ	ə	1.0
ɣ_ʊ	k	1.0
ɔ	u	1.0
ɑ	ã	1.0
ɐ	ɔ	1.0
w_ˈa	ˈa	1.0
w	-	1.0
v	-	1.0
s_ʊ	ˈɔ_s	1.0
s_t	t	1.0
s_#>	#>	1.0
r	ʀ	1.0
n_t	ŋ	1.0
n_d	ŋ	1.0
l_#>	l_#>	1.0
k_ɐ	ʧ_ɔ	1.0
j_t	j	1.0
i	-	1.0
e_s	ɪ	1.0
a_t	ɥ	1.0
<#_ˈa	<#_ˈã	1.0
<#_ʃ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
ɟ	ʎ	0.933
p	p	0.897
ɪ_#>	#>	0.895
ŋ	ŋ	0.895
ʊ	ə	0.846
f	f	0.842
d	d	0.833
ˈa	ˈa	0.822
m	m	0.8
ˈɛ	ˈe	0.792
t	t	0.727
ɡ	ɡ	0.7
ɾ	ʀ	0.672
ˈɑ	ˈã	0.667
ˈi	ˈi	0.667
<#_l	<#_l	0.667
k	k	0.641
j	j	0.615
β	b	0.579
a	ɒ	0.579
ɣ	-	0.571
θ	s	0.55
o	-	0.529
l	l	0.529
ʧ	p_l	0.5
ð	d	0.5
ð	-	0.5
u	y	0.5
u	-	0.5
e	ə	0.5
s	s	0.444
n	ŋ	0.438
ˈɔ	w_ˈɔ	0.429
ʃ	ʤ	0.429
ɣ	ɡ	0.429
a	-	0.421
ˈo	ˈu	0.417
b	v	0.414
b	b	0.414
j	-	0.385
ɲ	ɲ	0.375
ɲ	ŋ	0.375
n	-	0.375
#>	ə_#>	0.375
#>	l_#>	0.375
ˈu	ˈy	0.368
ˈe	ˈɪ	0.366
k	ʧ	0.359
ˈɑ	ˈa	0.333
s	-	0.333
<#_l	<#_ʎ	0.333
ˈɔ	w	0.321
ɡ	k	0.3
o	u	0.294
ʃ	j_s	0.286
ʃ	-	0.286
ʧ	k_l	0.25
ʧ	f_l	0.25
ɲ	n	0.25
e	ɒ	0.25
e	-	0.25
#>	ɔ_#>	0.25
ˈe	ˈe	0.244
l	w	0.235
l	-	0.235
ˈo	ˈœ	0.222
s	t	0.222
β	w	0.211
ˈu	ˈu	0.211
ˈɛ	-	0.208
θ	-	0.2
n	n	0.188
ˈi	ˈĩ	0.185
t	ʧ	0.182
ˈɔ	-	0.179
b	vʲ	0.172
d	dʲ	0.167
ˈu	ˈỹ	0.158
ˈu	w_ˈẽ	0.158
f	fʲ	0.158
ʊ	ˈɔ	0.154
θ	z	0.15
ˈo	w_ˈɔ̃	0.139
o	ˈũ	0.118
ˈo	w	0.111
ˈo	-	0.111
β	v	0.105
β	-	0.105
ˈu	-	0.105
ɪ_#>	ʀ_#>	0.105
ŋ	-	0.105
θ	ʃ	0.1
m	mʲ	0.1
m	-	0.1
ˈe	ˈẽ	0.098
ˈe	-	0.098
t	-	0.091
ˈa	ˈã	0.089
ɾ	ˈa	0.082
ɾ	ʀ_ə	0.082
ˈi	ˈɪ	0.074
ˈi	-	0.074
ˈɔ	ˈɔ	0.071
p	-	0.069
ɟ	lː	0.067
o	ũ	0.059
