Ladin	Ladin	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_k	ˈa	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈo_n	ˈɔ̃	1.0
ˈi_n	ˈĩ	1.0
ˈe_d	w_ˈɛː	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_w	ˈoː	1.0
ˈa_t	ˈa	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_m	ˈɑ̃	1.0
ʧ	s	1.0
ŋ	-	1.0
w_r	ʁ	1.0
u	y	1.0
t_#>	#>	1.0
t	t	1.0
s_#>	#>	1.0
r_t	ʁ	1.0
r_n	ʁ	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
m_a	m	1.0
k_ˈu	k	1.0
k_#>	#>	1.0
k	k	1.0
j_ˈɛ	ˈi	1.0
i	-	1.0
f	f	1.0
e_r	ʁ_o	1.0
d_l	ʎ	1.0
b	b	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
<#_ʃ	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#	1.0
<#_d	<#	1.0
<#_a	<#_a	1.0
v	v	0.852
s	s	0.84
m	m	0.84
ˈe_j	ˈɛː	0.818
l_#>	l_#>	0.812
ʦ	-	0.75
ɡ	ɡ	0.75
<#_ʒ	<#_ð	0.714
r	ʁ	0.711
w	w	0.706
ʨ	ʃ	0.667
f_#>	f_#>	0.667
a	a	0.667
l	l	0.652
ˈa	ˈa	0.632
ˈu	-	0.625
w_ˈɛ	ˈoː	0.6
o	-	0.6
ˈi	ˈi	0.588
ˈe_#>	ˈa_#>	0.571
d	d	0.571
n	n	0.56
ʃ_#>	ʃ_#>	0.556
ʥ	ʃ	0.5
ʥ	-	0.5
ʒ	z	0.5
ʒ	-	0.5
ɲ	ˈɛ̃	0.5
ɲ	ɲ	0.5
o_r	ɔ	0.5
o_r	o_ð	0.5
<#_ˈa	<#_ˈɑː	0.5
<#_ˈa	<#	0.5
ʃ_#>	#>	0.444
ˈɛ	ˈe	0.442
ˈe	ˈɛ	0.435
ˈe_#>	ˈe_#>	0.429
d	-	0.429
ˈɔ	ˈoː	0.412
w_ˈɛ	ˈo	0.4
o	ɔ	0.4
j	j	0.389
ˈu	w	0.375
ˈa	-	0.368
e	-	0.345
ˈo	-	0.333
f_#>	#>	0.333
#>	ˈe_#>	0.333
#>	ʎ_#>	0.333
#>	a_#>	0.333
e	ə	0.31
ˈi	ˈe	0.294
ˈo	ˈo	0.292
<#_ʒ	<#	0.286
j	-	0.278
ʨ	s	0.25
ʦ	ʦ	0.25
ɡ	-	0.25
a	ə	0.222
r	ð	0.211
l_#>	#>	0.188
ˈe_j	ˈɛː_ʁ	0.182
ˈɔ	ˈɔ	0.176
ˈɔ	ˈu	0.176
w	-	0.176
ˈe	ˈɛː	0.174
ˈe	-	0.174
m	-	0.16
ˈɛ	ˈɛ	0.14
e	ʁ_ə	0.138
ˈe	ˈaː	0.13
l	ʎ	0.13
l	-	0.13
ˈo	w	0.125
ˈo	j	0.125
n	ˈɛ̃	0.12
n	ˈɔ̃	0.12
n	ˈĩ	0.12
ˈɔ	ˈø	0.118
ˈɔ	-	0.118
ˈi	-	0.118
w	ˈø	0.118
j	ˈi	0.111
j	ʒ	0.111
j	e	0.111
e	o	0.103
ˈɛ	ˈɛː	0.093
ˈɛ	ˈaː	0.093
ˈe	w	0.087
l	j	0.087
ˈo	ˈɔ	0.083
ʨ	-	0.083
s	e	0.08
s	-	0.08
n	-	0.08
r	-	0.079
a	-	0.079
v	ð	0.074
v	-	0.074
ˈɛ	ˈø	0.07
ˈɛ	-	0.07
e	ˈɛː	0.069
