Old Norse	Luxembourgish	probability
a	ə	0.661
a	ˈaː	0.199
a	-	0.14
b	b	0.963
c	ʃ	0.739
c	ɕ	0.261
cʰ	kʰ	1.0
cː	k	1.0
d	d	0.493
d	t	0.301
d	-	0.206
f	f	1.0
h	h	1.0
i	ɐ	0.598
i	-	0.374
j	-	0.409
j	ˈɜɪ̯	0.314
j	ˈiː	0.257
k	ɕ	0.491
k	χ	0.2
k	-	0.153
k	k	0.096
k	ʃ	0.06
kʰ	kʰ	0.864
kʰ	f	0.136
kː	k	0.538
kː	ŋ_k	0.462
l	l	0.982
lː	l	1.0
l̥	l	1.0
m	m	1.0
mː	m	0.807
mː	ə	0.193
n	n	0.86
n	-	0.11
nː	n	0.854
nː	ŋ	0.103
p	f	0.885
p	p	0.115
pː	p	1.0
r	-	0.657
r	ʀ	0.225
r	ɐ	0.118
rː	ɐ	1.0
r̥	ʀ	1.0
s	z	0.409
s	ʃ	0.327
s	-	0.156
s	s	0.093
sː	s	1.0
t	s	0.615
t	t	0.218
t	ʦ	0.167
tʰ	ʦ	0.939
tʰ	b	0.061
tː	ɕ	0.649
tː	t	0.183
tː	χ	0.095
u	ə	0.327
u	ŋ	0.283
u	e	0.282
u	ˈɑ	0.108
v	v	0.493
v	w	0.225
v	f	0.105
v	ə_f	0.075
v	m	0.056
w	-	1.0
x	v	1.0
ç	h	1.0
ð	t	0.645
ð	d	0.251
ð	-	0.105
ŋ	ŋ	0.796
ŋ	-	0.204
ɑ	ə	0.939
ɑ	-	0.061
ɑː	e	1.0
ɟ	ɡ	0.662
ɟ	ʑ	0.272
ɟ	-	0.066
ɟː	k	1.0
ɡ	ɡ	0.408
ɡ	k	0.222
ɡ	ɕ	0.195
ɡ	-	0.175
ɡː	k	0.882
ɡː	-	0.118
ɣ	-	0.413
ɣ	ɕ	0.338
ɣ	χ	0.142
ɣ	ʦ	0.108
ɾ	ɐ	1.0
ʝː	-	1.0
ʦ	t	1.0
ˈa	ˈɑ	0.756
ˈa	ˈaː	0.244
ˈe	ˈuə̯	0.173
ˈe	ˈɛː	0.173
ˈe	ˈiə̯	0.122
ˈe	ˈeː	0.121
ˈe	-	0.111
ˈe	ˈe	0.066
ˈe	ˈɛ	0.066
ˈeː	ˈiː	0.654
ˈeː	ˈɜɪ̯	0.168
ˈeː	ˈɑɪ̯	0.141
ˈi	ˈɑ	0.607
ˈi	ˈə	0.234
ˈi	ˈe	0.091
ˈiː	ˈæːɪ̯	0.511
ˈiː	ˈe	0.202
ˈiː	ˈæɪ̯	0.193
ˈiː	ˈɑɪ̯	0.072
ˈo	ˈuː	0.329
ˈo	ˈaː	0.212
ˈo	ˈi	0.181
ˈo	ˈo	0.115
ˈoː	-	0.51
ˈoː	ʀ	0.151
ˈoː	ˈʊ	0.088
ˈoː	ˈu	0.065
ˈoː	ˈi	0.056
ˈu	ˈɔ	0.223
ˈu	ˈo	0.219
ˈu	ˈə	0.209
ˈu	ˈu	0.087
ˈu	v_ˈo	0.081
ˈuː	ˈæːʊ̯	0.494
ˈuː	-	0.413
ˈuː	ˈu	0.067
ˈy	ˈe	0.382
ˈy	ˈaː	0.252
ˈy	ˈɑ	0.121
ˈy	ˈo	0.07
ˈy	ˈə	0.07
ˈy	ˈiː	0.057
ˈyː	ˈɑɪ̯	0.515
ˈyː	ˈəʊ̯	0.23
ˈyː	ˈæːʊ̯	0.098
ˈyː	ˈɜɪ̯	0.098
ˈøy̯	ˈɜɪ̯	0.482
ˈøy̯	ˈeː	0.25
ˈøy̯	ˈaː	0.169
ˈøy̯	ˈəʊ̯	0.098
ˈøː	ˈe	0.332
ˈøː	ˈi	0.211
ˈøː	ˈu	0.211
ˈøː	ˈɜɪ̯	0.197
ˈɑ	ˈaː	0.487
ˈɑ	ˈɑ	0.219
ˈɑ	ˈɛː	0.1
ˈɑ	ˈoː	0.078
ˈɑu̯	ˈaː	0.668
ˈɑu̯	ˈəʊ̯	0.288
ˈɑː	ˈoː	0.291
ˈɑː	ˈəʊ̯	0.238
ˈɑː	ˈɜɪ̯	0.221
ˈɑː	ˈuə̯	0.092
ˈɑː	ˈi	0.065
ˈɒu̯	ˈo	0.551
ˈɒu̯	ˈəʊ̯	0.225
ˈɒu̯	ˈɜɪ̯	0.225
ˈɔ	ɐ	0.354
ˈɔ	ˈɑ	0.351
ˈɔ	ˈɛː	0.107
ˈɔ	ˈə	0.106
ˈɔ	ˈiə̯	0.082
ˈɔː	ˈu	1.0
ˈɛ	ˈɛ	0.348
ˈɛ	ˈaː	0.198
ˈɛ	ˈæ	0.128
ˈɛ	ˈuə̯	0.091
ˈɛ	ˈeː	0.079
ˈɛ	ˈə	0.07
ˈɛ	ˈɑɪ̯	0.052
ˈɛi̯	ˈeː	0.956
ˈɛː	-	0.677
ˈɛː	ˈɜɪ̯	0.188
ˈɛː	ˈaː	0.135
θ	d	1.0
