Bavarian	Pennsylvania German	probability
a	ɑ	0.644
a	ə	0.309
b̥	b	0.649
b̥	v	0.134
b̥	p	0.115
b̥	-	0.102
d	d	1.0
d̥	d	0.556
d̥	t	0.413
eɐ̯	eː	1.0
f	f	1.0
h	h	0.961
i	l	0.505
i	ɪ	0.495
j	l	0.864
j	j	0.136
k	k	1.0
kʰ	kʰ	0.888
kʰ	ɡ	0.091
l	l	0.956
m	m	0.844
m	v	0.123
n	n	0.556
n	ə	0.334
n	-	0.11
p	p	1.0
p͡f	pʰ	0.518
p͡f	p	0.482
r	ɾ	0.914
r	ɑ	0.059
s	s	0.909
s	ʃ	0.059
t	t	0.622
t	d	0.34
x	x	0.799
x	ç	0.201
ç	ç	1.0
ŋ	ŋ	0.577
ŋ	j	0.199
ŋ	ɪ	0.112
ŋ	-	0.09
ɐ	ɑ	0.798
ɐ	ɾ	0.109
ɐ	ɾ_ɪ	0.093
ə	m	0.669
ə	ə	0.331
ɡ̊	ɡ	0.506
ɡ̊	k	0.307
ɡ̊	-	0.098
ɡ̊	ç	0.075
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.973
ʦ	ʦ	0.881
ʦ	s	0.119
ˈa	ˈa	0.562
ˈa	ˈɔː	0.375
ˈa	ˈaː	0.063
ˈai̯	ˈaɪ̯	0.974
ˈau̯	ˈaʊ̯	0.734
ˈau̯	ˈɔː	0.227
ˈaː	ˈɔː	0.853
ˈaː	ˈaʊ̯	0.063
ˈaː	ˈʊ	0.061
ˈe	ˈeː	0.412
ˈe	ˈɛ	0.334
ˈe	ˈɛː	0.173
ˈe	ˈiː	0.081
ˈeɐ̯	ˈiː	0.504
ˈeɐ̯	ˈʊ	0.312
ˈeɐ̯	ˈeː	0.183
ˈeː	ˈɛ	0.732
ˈeː	ˈeː	0.186
ˈeː	ˈiː	0.082
ˈi	ˈɪ	0.724
ˈi	ˈɛ	0.089
ˈi	ˈɛː	0.067
ˈi	ˈeː	0.056
ˈiɐ̯	ˈiː	0.901
ˈiɐ̯	ˈɪ	0.099
ˈiː	ˈɪ	0.595
ˈiː	ˈiː	0.405
ˈo	ˈa	0.393
ˈo	ˈɔ	0.319
ˈo	ˈʊ	0.125
ˈo	ˈɔː	0.105
ˈo	ˈɛ	0.058
ˈou̯	ˈoː	1.0
ˈoɐ̯	ˈeː	0.381
ˈoɐ̯	ˈaː	0.375
ˈoɐ̯	ˈoː	0.083
ˈoɐ̯	ˈɔː	0.061
ˈoː	ˈa	0.377
ˈoː	ˈoː	0.304
ˈoː	ˈɔː	0.126
ˈoː	ˈɔ	0.104
ˈoː	ˈaː	0.089
ˈu	ˈʊ	0.503
ˈu	ˈɪ	0.291
ˈu	ˈiː	0.097
ˈu	ˈoː	0.074
ˈuɐ̯	ˈuː	0.928
ˈuɐ̯	ˈʊ	0.072
ˈy	ˈɪ	1.0
ˈɑː	ˈɛː	1.0
ˈɒ	ˈa	0.654
ˈɒ	ˈɛ	0.228
ˈɒ	ˈɔː	0.118
ˈɒː	ˈɔː	0.576
ˈɒː	ˈa	0.258
ˈɒː	ˈoː	0.165
ˈɔ	ˈa	0.469
ˈɔ	ˈoː	0.319
ˈɔ	ˈɔ	0.124
ˈɔ	ˈɔː	0.088
ˈɛ	ˈɛ	0.61
ˈɛ	ˈɛː	0.272
ˈɛ	ˈʊ	0.118
ˈɛː	ˈeː	0.644
ˈɛː	ˈɛː	0.356
ˈʏ	ˈɪ	1.0
