Lengadocian	Lengadocian	probability
ˈɛ_j	ˈɛ	1.0
ˈy	ˈu	1.0
ˈu_n	ˈɔ_n	1.0
ˈi	ˈi	1.0
ˈe_#>	ˈɛ_n_#>	1.0
ˈa_w	ˈɔ	1.0
ˈa_j	ˈɛ	1.0
ˈa_#>	ˈe_#>	1.0
ʧ	t	1.0
ʎ_ɔ	a	1.0
ʎ	j	1.0
ʀ_t	r_t	1.0
ɾ_ˈa	r_ˈa	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ	ŋ	1.0
u	o	1.0
t	t	1.0
p_ˈa	p_w	1.0
p_#>	f_#>	1.0
p	p	1.0
nː	m_e	1.0
n_#>	n_t_#>	1.0
n	n	1.0
mː	t	1.0
m_#>	m_#>	1.0
m	m	1.0
lː	ʒ	1.0
l_ˈa	l_ˈɛ	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈɛ	1.0
j_s	ʃ	1.0
f	f	1.0
d	d	1.0
<#_ʀ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e_s	<#_ʃ	1.0
a	a	0.895
ɔ	a	0.891
ʀ	r	0.889
ɾ	r	0.857
ˈa	ˈa	0.841
z	-	0.833
ɥ	w	0.8
j	j	0.8
ˈu	ˈo	0.759
l	l	0.75
<#_ˈa	<#_ˈa	0.75
ð	d	0.727
ˈɛ	ˈɛ	0.725
ɣ	ɡ	0.714
ɾ_e	e_r	0.7
ˈɔ	ˈɔ	0.65
s_#>	s_#>	0.625
β	v	0.615
i	i	0.6
e	e	0.586
<#_a	<#_a	0.571
ʤ	ʒ	0.562
k	k	0.556
ˈe	ˈe	0.533
#>	n_#>	0.517
w_#>	f_#>	0.5
w_#>	#>	0.5
k	ʨ	0.444
<#_a	<#	0.429
b	v	0.412
b	b	0.412
ˈe	ˈe_j	0.4
i	-	0.4
w	-	0.385
ʦ	ʃ	0.375
ʦ	w_ʃ	0.375
e	-	0.345
s	s	0.333
w	w	0.308
ɾ_e	e	0.3
s	ʨ	0.292
ɣ	-	0.286
ð	t	0.273
ʦ	ʦ	0.25
s	ʧ	0.25
<#_ˈa	<#	0.25
β	-	0.231
ɥ	-	0.2
j	-	0.2
ʤ	d	0.188
z	z	0.167
ˈa	ˈɛ	0.159
β	l_b	0.154
w	ˈɛ_f	0.154
w	ˈɛ	0.154
ˈɔ	ˈɛ	0.15
ɾ	-	0.143
l	-	0.143
#>	r_#>	0.138
#>	a_#>	0.138
ˈɛ	ˈe	0.125
ʤ	ʥ	0.125
ʤ	-	0.125
s_#>	p_#>	0.125
s_#>	j_#>	0.125
s_#>	#>	0.125
s	ʃ	0.125
b	-	0.118
ʀ	-	0.111
l	d_l	0.107
a	o	0.105
ˈu	ˈu	0.103
#>	ˈe_#>	0.103
#>	w_r_#>	0.103
ˈɛ	j_ˈɛ	0.1
ˈɔ	w_ˈɛ	0.1
ˈɔ	w	0.1
ˈu	ˈɔ	0.069
ˈu	ˈo_w	0.069
e	j_ˈɛ	0.069
ˈe	ˈɛ	0.067
b	ʒ_ɡ	0.059
