Romansch	Catalan	probability
b	b	1.0
i	ə	1.0
k	k	1.0
m	m	1.0
o	u	1.0
p	p	1.0
t	t	1.0
u	u	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʎ	ʎ	1.0
ʥ	ʒ	1.0
ʧ	s	1.0
ˈaː	ˈa	1.0
ˈeː	ˈɛ	1.0
ˈiə̯	ˈɛ	1.0
ˈuː	ˈo	1.0
ˈɔː	ˈɔ	1.0
r	r	0.501
ʃ	s	0.341
f	w	0.192
j	-	0.853
l	ʎ	0.453
s	s	0.923
ʨ	k	0.813
ˈiː	ˈu	0.3
d	d	0.684
v	-	0.084
w	w	0.074
ˈe	ˈe	0.214
ˈi	ˈi	0.434
ˈɔ	ˈɔ	0.384
ˈɛː	ˈe	0.234
n	ɲ	0.065
n	n	0.935
r	ɾ	0.325
ʃ	w	0.205
ˈa	ˈɛ	0.095
ˈu	ˈo	0.205
d	ð	0.316
r	ɾ_ə	0.156
w	-	0.926
ə	ə	0.966
ʃ	-	0.356
ˈa	ˈe	0.056
ˈe	ˈɛ	0.786
ˈi	ˈu	0.566
ˈu	ˈɔ	0.536
ˈɔ	ˈa	0.616
ˈɛː	ˈe_ʎ	0.766
j	w	0.147
s	ʃ	0.077
v	β	0.257
ʨ	t	0.187
ˈiː	ˈi	0.7
ˈɛ	ˈɔ	0.137
ˈɛ	ˈi	0.187
f	f	0.808
l	l	0.518
ˈɛ	ˈɛ	0.288
ˈɛ	ˈe	0.388
v	b	0.659
ʃ	ʃ	0.09
ˈa	ˈa	0.849
ˈu	ˈu	0.259
