American English	Dutch	probability
b	b	1.0
d	d	0.497
d	t	0.478
f	v	0.77
f	f	0.16
f	χ	0.062
h	ɦ	0.977
h	-	0.045
i	ə_χ	0.461
i	ɪ	0.304
i	ə	0.181
j	j	0.784
j	χ	0.14
k	k	0.782
k	k_ə	0.201
k_s	s	1.0
kʰ	k	1.0
l	ɫ	0.874
l	l	0.12
m	m	1.0
n	n	0.956
oʊ̯	-	0.384
oʊ̯	ə	0.291
p	p	1.0
pʰ	p	1.0
s	z	0.472
s	s	0.459
s	n_s	0.066
t	t	0.612
t	χ_t	0.216
t	t_ə	0.169
tʰ	t	1.0
v	v_ə	0.435
v	f	0.259
v	ə_f	0.127
v	b	0.117
v	v	0.048
w	ʋ	0.91
w	-	0.087
z	s	0.488
z	z_ə	0.488
ð	d	0.77
ð	-	0.229
ŋ	ŋ	1.0
ə	-	0.506
ə	ə	0.216
ə	ˈɛ	0.174
ɚ	ɾ	0.695
ɚ	ə_ɾ	0.226
ɚ	-	0.045
ɚ	ɾ_ə	0.042
ɡ	χ	0.839
ɡ	-	0.116
ɪ	-	0.343
ɪ	ə	0.343
ɫ	ɫ	0.579
ɫ	ə_ɫ	0.161
ɫ	l	0.088
ɫ	ˈɑu̯	0.058
ɫ	ɫ_ə	0.058
ɫ_d	t	1.0
ɹ	ɾ	0.932
ɹ	ˈɔ_ɾ	0.055
ɾ	t_ə	1.0
ʃ	s_χ	0.524
ʃ	s	0.416
ʤ	χ	1.0
ʧ	k	1.0
ˈaɪ̯	ˈɪ	0.286
ˈaɪ̯	ˈɛi̯	0.256
ˈaɪ̯	ˈoː_χ	0.118
ˈaɪ̯	ˈœy̯	0.081
ˈaɪ̯	ˈɑ	0.07
ˈaʊ̯	ˈœy̯	0.617
ˈaʊ̯	ˈɔ	0.121
ˈaʊ̯	ˈu	0.12
ˈaʊ̯	ˈoː	0.12
ˈeɪ̯	ˈaː	0.358
ˈeɪ̯	ˈɑ	0.347
ˈeɪ̯	ˈeː	0.081
ˈeɪ̯	ˈɑ_χ	0.07
ˈeɪ̯	ˈoː	0.067
ˈi	ˈoː	0.254
ˈi	ˈi	0.247
ˈi	ˈaː	0.192
ˈi	ˈu	0.118
ˈi	ˈɛi̯	0.075
ˈoʊ̯	ˈeː	0.222
ˈoʊ̯	ˈɑu̯	0.21
ˈoʊ̯	ˈɛi̯	0.135
ˈoʊ̯	ˈoː	0.12
ˈoʊ̯	ˈøː	0.07
ˈu	ˈu	0.315
ˈu	ˈɑ	0.315
ˈu	ˈaː	0.117
ˈu	w	0.113
ˈu	ˈeː	0.113
ˈæ	ˈɑ	0.864
ˈæ	ˈɛ	0.125
ˈɑ	ˈɑ	0.284
ˈɑ	ˈɔ	0.247
ˈɑ	ˈɛ	0.139
ˈɑ	ˈaː	0.118
ˈɑ	-	0.091
ˈɔ	ˈoː	0.389
ˈɔ	ˈɑ	0.245
ˈɔ	ˈi	0.122
ˈɔ	ˈɔ	0.094
ˈɔ	ˈɛ	0.076
ˈɛ	ˈoː	0.185
ˈɛ	ˈeː	0.185
ˈɛ	ˈaː	0.177
ˈɛ	ˈɛ	0.108
ˈɛ	-	0.094
ˈɛ_ð	ˈeː	1.0
ˈɝ	ˈaː	0.349
ˈɝ	ˈɛ	0.349
ˈɝ	ɾ	0.124
ˈɝ	ˈɔ	0.08
ˈɪ	ˈɪ	0.429
ˈɪ	ˈʏ	0.166
ˈɪ	ˈɛ	0.144
ˈɪ	ˈɛi̯	0.076
ˈɪ	ˈeː	0.067
ˈʊ	ˈɔ	0.538
ˈʊ	ˈu	0.432
ˈʌ	ˈɔ	0.341
ˈʌ	ˈu	0.26
ˈʌ	ˈoː	0.162
ˈʌ	ˈɑ	0.146
ˈʌ	ˈeː	0.073
θ	d	0.685
θ	t	0.137
θ	n_t	0.119
θ	-	0.051
