Eastphalian	German	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_k	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_ʃ	1.0
<#_t	<#_ʦ	1.0
<#_v	<#_v	1.0
<#_z	<#_z	1.0
<#_ɣ	<#_ɡ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈɛɪ̯	<#_ˈaɪ̯	1.0
<#_ˈɪ	<#_ˈɪ	1.0
b_m	f_n	1.0
d	t	1.0
f_#>	b̥_#>	1.0
j	ɡ	1.0
k_n	k_n	1.0
k_ə	x_ə	1.0
l	l	1.0
l_#>	l_#>	1.0
l_f	l_f	1.0
n_ə	n	1.0
n_ʃ	n_ʃ	1.0
r	ʁ	1.0
s	s	1.0
s_#>	s_#>	1.0
t_n	s_n	1.0
t_ɐ	s_ɐ	1.0
v_n	b_n	1.0
w	v	1.0
z_ə	z_ə	1.0
ç	ç	1.0
ŋ_#>	ŋ_#>	1.0
ɐ_m	ɐ_m	1.0
ɡ_n	ɡ_n	1.0
ɣ	ɡ	1.0
ɣ_ə	k_n	1.0
ɪ	ɪ	1.0
ʃ_#>	ʃ_#>	1.0
ˈa_n	ˈa_n	1.0
ˈa_ɐ	ˈɛ_ɐ	1.0
ˈaʊ̯	ˈuː	1.0
ˈaː	ˈaː	1.0
ˈeo̯_m	ˈaʊ̯_m	1.0
ˈiː	ˈaɪ̯	1.0
ˈiː_#>	ˈiː_ɐ	1.0
ˈuː	ˈaʊ̯	1.0
ˈyː_ɐ	ˈɔʏ̯_ɐ	1.0
ˈœ	ˈœ	1.0
ˈɒː_n	ˈoː_n	1.0
ˈɛɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɛː	ˈaː	1.0
ˈɪ_n	ˈɪ_n	1.0
ˈʊ_n	ˈʊ_n	1.0
t	t	0.211
ə	-	0.241
d_#>	d̥_#>	0.722
m	n	0.2
p	f	0.2
ŋ	ɡ_n	0.222
ˈeo̯	ˈaʊ̯	0.2
ˈɛ	ˈaː	0.182
k_#>	x_#>	0.333
p	p͡f	0.3
ˈɔ	ˈʊ	0.333
ˈɔʏ̯	ˈuː	0.333
ˈɛ	ˈɪ	0.273
ˈɪ	ˈɪ	0.833
<#_j	<#_j	0.4
t	ʦ	0.184
t_ə	s_ə	0.4
x	x	0.714
ɐ	d_ɐ	0.094
ˈɛɪ̯	ˈiː	0.524
ˈʏ	ˈʏ	0.714
<#_d	<#_d	0.5
<#_d	<#_tʰ	0.5
k	k	0.5
k	ç	0.5
n	n_#>	0.5
p	f_#>	0.5
v	b	0.5
v	v	0.5
ˈa	ˈaː	0.125
ˈa	ˈa	0.875
ˈeː	ˈɛ	0.5
ˈeː	ˈeː	0.5
ˈɒː	ˈa	0.25
ˈɒː	ˈaː	0.75
ˈɔ	ˈa	0.25
ˈɛ	ˈɛ	0.545
ˈʊ	ˈɔ	0.5
ˈʊ	ˈʊ	0.5
<#_j	<#_ɡ	0.6
t_ə	t	0.6
x	ɡ̊_#>	0.286
ˈoː	ˈyː	0.286
ˈoː	ˈoː	0.286
ˈɛɪ̯	ˈaɪ̯	0.286
ˈʏ	ˈɔʏ̯	0.286
k_#>	ç_#>	0.667
n	ə_n	0.217
t	s_#>	0.237
ˈɔ	ˈɔ	0.417
ˈɔʏ̯	ˈyː	0.667
ˈɪ	ˈaɪ̯	0.167
d_#>	t_#>	0.278
m	m	0.8
t	t_#>	0.368
ŋ	ŋ	0.778
ɐ	ɐ	0.188
ˈeo̯	ˈoː	0.8
n	n	0.239
ɐ	ɐ_#>	0.719
ə	ə_#>	0.759
ˈoː	ˈɔ	0.429
ˈɛɪ̯	ˈeː	0.19
