Neapolitan	Portuguese	probability
b	b	1.0
e	ɨ	1.0
f	f	1.0
m	m	1.0
mː	m	1.0
o	u	1.0
rː	ʁ	1.0
w	w	1.0
ŋ	ˈĩ	1.0
ʎː	ʎ	1.0
ʤ	ʒ	1.0
ʤː	-	1.0
ʦ	s	1.0
ʦː	s	1.0
j	j	0.061
p	β	0.181
tː	j_t	0.221
ə	u	0.391
ˈe	ˈɛ	0.11
ˈu	<#_i	0.211
i	-	0.132
l	-	0.272
n	ɲ	0.262
n	n	0.312
nː	n	0.622
r	ʁ	0.202
t	-	0.102
tː	t	0.742
ʧː	j̃_#>	0.112
ʧː	ɾ_#>	0.112
ˈa	ˈɐ̃	0.102
ˈe	ˈɐ	0.152
ˈe	ˈe	0.572
ˈo	ˈɔ	0.312
ˈu	ˈo	0.172
ˈu	ˈu	0.442
ˈɔ	ˈõ	0.142
ˈɔ	ˈo_w	0.162
a	ɐ	0.913
p	p	0.803
u	-	0.133
ɲː	-	0.293
ɾ	-	0.213
ʃː	s	0.563
ˈɛ	ˈɛ	0.693
i	i	0.134
j	ʒ	0.224
k	k	0.744
kː	-	0.624
lː	l	0.744
sː	l	0.494
v	v	0.84
ˈa	ˈɐ	0.304
ˈu	ˈõ	0.084
s	ʃ	0.215
s	s	0.785
ə	ɨ	0.125
ɡ	ɣ	0.295
ɡ	ɡ	0.705
ˈɔ	ˈɔ	0.35
i	ɨ	0.656
j	ˈɐ_j	0.196
k	ɣ	0.256
kː	k	0.376
lː	-	0.256
sː	s	0.506
v	b	0.146
ə	ɐ	0.306
ˈa	ˈa_ɾ	0.16
ˈi	ˈi	0.436
ˈɔ	ˈo	0.326
a	-	0.087
u	u	0.867
ɲː	ɲ	0.707
ʃː	ʃ	0.437
ʧː	-	0.637
ˈe	ˈɐ_j	0.087
ˈi	ˈe	0.337
ˈo	ˈu	0.07
ˈɛ	ˈɐ	0.07
d	d	0.968
i	ˈi	0.078
l	l	0.728
n	-	0.38
nː	d	0.378
r	ɾ	0.698
ə	-	0.128
ɾ	ɾ	0.758
ʃ	ʃ	0.428
ʃ	s	0.508
ˈa	ˈa	0.358
ˈi	ˈɐ	0.138
ˈo	ˈo	0.618
ˈɛ	ˈe_ɾ	0.068
j	-	0.519
r	-	0.099
t	t	0.389
t	ð	0.509
ʧː	ʃ_#>	0.139
ˈɛ	ˈe	0.169
