Bellunese	Western Lombard	probability
b	b	1.0
d	d	1.0
f	f	1.0
i	i	1.0
l	l	1.0
m	m	1.0
p	p	1.0
r	r	1.0
s	s	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
ˈo	ˈɔ	0.291
ˈu	ˈyː	0.31
e	e	0.882
n	-	0.102
z	z	0.362
ˈo	ˈyː	0.222
w	-	0.243
ð	ʤ	0.873
ŋ	m	0.093
ˈe	ˈeː	0.13
ˈo	ˈøː	0.093
j	j	0.724
t	t	0.824
z	-	0.224
z	s	0.414
ˈa	ˈa	0.824
ˈe	ˈɛ	0.084
ˈu	ˈy	0.334
θ	ʦ	0.214
a	a	0.925
ˈe	ˈy	0.095
ˈɛ	ˈe	0.105
ˈɛ	ˈɛ	0.895
a	-	0.056
j	-	0.276
k	k	0.966
o	u	0.926
t	ʧ	0.176
v	ʋ	0.996
ˈa	ˈaː	0.176
ˈe	e	0.116
ˈo	ˈu	0.276
ˈu	<#_a	0.356
ˈɔ	ˈø	0.136
θ	ʃ	0.16
θ	ʧ	0.626
w	w	0.757
ð	ʦ	0.127
ŋ	ɲ	0.907
ˈe	ˈe_j	0.057
ˈɔ	ˈu	0.167
ˈɔ	ˈɔ	0.697
e	i	0.118
n	n	0.898
ˈe	ˈe	0.518
ˈo	ˈø	0.119
