North Frisian	German	probability
ˈɔu̯	ˈoː	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈa	1.0
ˈyː_#>	ˈuː_#>	1.0
ˈi_t	ˈaɪ̯_s	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_d	ˈaɪ̯_t	1.0
ˈeː_#>	ˈiː_ɐ_#>	1.0
ˈai̯	ˈɪ	1.0
ʃ	ʃ	1.0
ɡ	ɡ	1.0
ə_v	b̥	1.0
ə_r	ɐ	1.0
z_ə	s_n	1.0
w	ə	1.0
v_#>	f_#>	1.0
v	v	1.0
s_t	s_t	1.0
s_l	ʃ_l	1.0
r_s	s	1.0
r_n	ɐ_n	1.0
p_ə	f_n	1.0
m	m	1.0
l	l	1.0
k_#>	ç_#>	1.0
j_ˈa	ˈɛ	1.0
j_#>	k_n_#>	1.0
j	ɡ	1.0
i	ɪ	1.0
h	h	1.0
f_r	f_ʁ	1.0
f	f	1.0
dʲ_ə	t_n	1.0
dʲ	t	1.0
d_#>	d̥_#>	1.0
b	b	1.0
<#_ˈeː	<#_ˈa	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
n	n	0.875
ŋ	ŋ	0.833
ˈɒ	ˈa	0.75
tʲ	s	0.75
ˈɛi̯	ˈaː	0.714
ˈøː	ˈaʊ̯	0.667
f_#>	b̥_#>	0.667
p	f	0.625
r	ɐ	0.6
nʲ	n	0.571
x	x	0.556
#>	d̥_#>	0.556
d	tʰ	0.536
ˈɛː	ˈɛ	0.5
ˈɛː	ˈaː	0.5
ˈɛ	ˈyː	0.5
ˈɛ	ˈuː	0.5
ˈi	ˈaɪ̯	0.5
ˈaː	ˈɪ	0.5
ˈaː	ˈɔ	0.5
lʲ	l_t	0.5
lʲ	l	0.5
j_ə	ɡ_n	0.5
j_ə	ɡ	0.5
d_ə	ɡ_n	0.5
d_ə	s	0.5
s	z	0.488
ˈuː	ˈaʊ̯	0.462
ˈeː	ˈɛ	0.444
x	ç	0.444
ˈyː	ˈaʊ̯	0.429
v_ə	b_n	0.429
nʲ	d̥	0.429
ˈœ	ˈuː	0.417
r	ʁ	0.4
k	kʰ	0.4
ˈʊ	ˈʊ	0.389
p	p͡f	0.375
ˈiː	ˈiː	0.37
ˈiː	ˈaɪ̯	0.37
t	ʦ	0.364
t	t	0.364
ˈyː	ˈoː	0.357
ə	n	0.342
ˈɔː	ˈɔ	0.333
ˈɔː	ˈaː	0.333
ˈɔː	ˈa	0.333
ˈøː	ˈɔʏ̯	0.333
ˈi	ˈɪ	0.333
ˈeː	ˈaː	0.333
f_#>	#>	0.333
ˈuː	ˈa	0.308
s	ʃ	0.293
ə	ə_n	0.289
ˈɛi̯	ˈyː	0.286
ˈa	ˈɪ	0.286
v_ə	f	0.286
v_ə	b	0.286
d	t	0.286
ˈɒ	ˈaː	0.25
ˈœ	ˈa_n	0.25
tʲ	d	0.25
k	k	0.24
ˈuː	ˈoː	0.231
ˈʊ	ˈa	0.222
ˈeː	ˈʏ	0.222
#>	ɡ̊_#>	0.222
#>	ç_#>	0.222
s	s	0.22
ˈyː	ˈɔʏ̯	0.214
ˈa	ˈɛ	0.214
ˈa	ˈa	0.214
t	d	0.205
k	x	0.2
ˈiː	ˈeː	0.185
ə	ə	0.184
d	d	0.179
ˈʊ	ˈɪ	0.167
ˈœ	ˈɪ	0.167
ˈœ	ˈa	0.167
ˈi	ˈeː	0.167
ŋ	ç	0.167
k	ç	0.16
ˈa	ˈʏ	0.143
ˈa	ˈaɪ̯	0.143
ə	-	0.132
ˈʊ	ˈɔ	0.111
ˈʊ	v_ˈɔ	0.111
n	-	0.075
ˈiː	ˈøː	0.074
t	s	0.068
ə	d_n	0.053
